term;definition;source;info_semantica
reunión plenaria de alto nivel de la Asamblea General sobre los Objetivos de Desarrollo del Milenio;;"Consejo-ES; véase la sede electrónica de la reunión: <a href=""http://www.un.org/es/mdg/summit2010/"" target=""_blank"">http://www.un.org/es/mdg/summit2010/</a> y la nota informativa dirigida a las delegaciones <a href=""http://www.un.org/es/comun/docs/?symbol=A/65/HLPM/INF/1"" target=""_blank"">http://www.un.org/es/comun/docs/?symbol=A/65/HLPM/INF/1</a> .";"Variants: reunión plenaria de alto nivel de la Asamblea General sobre los Objetivos de Desarrollo del Milenio | Domains: INTERNATIONAL ORGANISATIONS | Context: Reunión de los jefes de Estado o de Gobierno de los Estados Miembros de las Naciones Unidas que se celebrará en Nueva York del 20 al 22 de septiembre de 2010, para examinar la marcha de la realización de los objetivos de desarrollo del milenio IATE:927771 y acelerar su cumplimiento para 2015. | Ref: Consejo-ES; véase la sede electrónica de la reunión: http://www.un.org/es/mdg/summit2010/ y la nota informativa dirigida a las delegaciones http://www.un.org/es/comun/docs/?symbol=A/65/HLPM/INF/1 ."
patrocinador;"Patrocinador: Una persona o entidad que apoya financieramente o materialmente a una organización, evento o actividad.

Ejemplos:

1. El gobierno es el principal patrocinador del festival cultural anual.
2. La empresa local ha sido un patrocinador importante de la liga de fútbol durante muchos años.
3. El club de teatro recibe patrocinio de varias empresas locales.
4. El patrocinador principal del equipo de baloncesto es una compañía de ropa deportiva.
5. La fundación de caridad recibe patrocinio de varios donantes privados.
6. El patrocinador principal del festival de cine es una cadena de televisión.
7. La universidad recibe patrocinio de varias empresas para sus programas de investigación.
8. El patrocinador principal del equipo de fútbol es una compañía de bebidas energéticas.
9. La empresa de tecnología recibe patrocinio de varias organizaciones";Consejo-ES a partir de la ficha FR.;Variants: patrocinador | Domains: INTERNATIONAL ORGANISATIONS | Context: Estado miembro o grupo de Estados miembros de las Naciones Unidas que presenta un proyecto de resolución. | Ref: Consejo-ES a partir de la ficha FR.
Resolución 1325 del Consejo de Seguridad de las Naciones Unidas;"La Resolución 1325 del Consejo de Seguridad de las Naciones Unidas es una resolución aprobada por el Consejo de Seguridad de las Naciones Unidas el 31 de octubre de 2000. La resolución se centra en la protección de las mujeres y las niñas en situaciones de conflicto y posconflicto, así como en el papel que desempeñan en la construcción y consolidación de una paz duradera.

La resolución 1325 fue adoptada después de que los miembros del Consejo de Seguridad reconocieran la importancia de incluir a las mujeres en todos los aspectos de la gestión de la paz y la seguridad internacionales. La resolución establece cinco principios básicos:

1. Reconocimiento de la vulnerabilidad de las mujeres y las niñas en situaciones de conflicto y posconflicto.
2. Promoción de la participación de las mujeres en todas las fases de la gestión de la paz y";"Consejo-ES a partir del texto de la resolución: <a href=""http://www.un.org/en/ga/search/view_doc.asp?symbol=S/RES/1325(2000)&amp;referer=/english/&amp;Lang=S"" target=""_blank"">http://www.un.org/en/ga/search/view_doc.asp?symbol=S/RES/1325(2000)&amp;referer=/english/&amp;Lang=S</a> [26.3.2018]";Variants: Resolución 1325 del Consejo de Seguridad de las Naciones Unidas | Domains: INTERNATIONAL ORGANISATIONS | Context: Resolución adoptada por el Consejo de Seguridad de las Naciones Unidas en octubre de 2000 con objeto de reforzar las necesidades específicas de protección de las mujeres y las niñas en situaciones de conflicto y posconflicto y de afianzar su papel en la construcción y consolidación de una paz duradera. | Ref: Consejo-ES a partir del texto de la resolución: http://www.un.org/en/ga/search/view_doc.asp?symbol=S/RES/1325(2000)&referer=/english/&Lang=S [26.3.2018]
Estimaciones mundiales sobre el trabajo infantil: resultados y tendencias;;"Consejo-ES a partir de OIT, Estimaciones mundiales sobre el trabajo infantil, Ginebra, 2017 <a href=""https://www.ilo.org/wcmsp5/groups/public/@ed_norm/@ipec/documents/publication/wcms_596481.pdf"" target=""_blank"">https://www.ilo.org/wcmsp5/groups/public/@ed_norm/@ipec/documents/publication/wcms_596481.pdf</a> [23.8.2018]";Variants: Estimaciones mundiales sobre el trabajo infantil: resultados y tendencias | Domains: INTERNATIONAL ORGANISATIONS | Context: Informe estadístico cuatrienal de la OIT sobre los datos relativos al trabajo infantil. | Ref: Consejo-ES a partir de OIT, Estimaciones mundiales sobre el trabajo infantil, Ginebra, 2017 https://www.ilo.org/wcmsp5/groups/public/@ed_norm/@ipec/documents/publication/wcms_596481.pdf [23.8.2018]
Oficina de las Naciones Unidas en Viena;La Oficina de las Naciones Unidas en Viena (ONUV) es una agencia de las Naciones Unidas que se encuentra en Viena, Austria. Fue creada en 1979 como parte de la reforma de las Naciones Unidas para mejorar la eficiencia y la coordinación de sus actividades. La ONUV administra y ejecuta el Programa de las Naciones Unidas para el Uso Pacífico del Espacio Exterior (UNOOSA), así como otros programas relacionados con el espacio exterior, la ciencia y la tecnología. También proporciona servicios comunes, como servicios de conferencias, servicios de información, servicios de seguridad y vigilancia, servicios de adquisición y servicios de apoyo general, a las organizaciones con sede en el Centro Internacional de Viena. La ONUV colabora estrechamente con la Oficina de las Naciones Unidas contra la Droga y el Delito (UNODC).;"Naciones Unidas: Información sobre la ONUV <a href=""http://www.unvienna.org/unov/es/about_unov.html"" target=""_blank"">http://www.unvienna.org/unov/es/about_unov.html</a>";Variants: Oficina de las Naciones Unidas en Viena | Domains: INTERNATIONAL ORGANISATIONS | Context: La ONUV administra y ejecuta el programa de las Naciones Unidas sobre la utilización del espacio ultraterrestre con fines pacíficos y presta servicios comunes (como servicios de conferencias, servicios de información, servicios de seguridad y vigilancia, servicios de adquisición y servicios de apoyo general) a las organizaciones con sede en el Centro Internacional de Viena IATE:900475 . La ONUV colabora estrechamente con la Oficina de las Naciones Unidas contra la Droga y el Delito (UNODC) IATE:908831 . | Ref: Naciones Unidas: Información sobre la ONUV http://www.unvienna.org/unov/es/about_unov.html
Grupo de Respuesta a la Crisis Mundial en materia de Alimentación, Energía y Finanzas;"El Grupo de Respuesta a la Crisis Mundial en materia de Alimentación, Energía y Finanzas es un grupo de trabajo internacional creado por el Secretario General de las Naciones Unidas en respuesta a la invasión rusa de Ucrania y a las repercusiones de la pandemia de COVID-19. El Grupo está compuesto por treinta y dos miembros y tiene como objetivo coordinar una acción política mundial de alto nivel para enfrentar los problemas de seguridad alimentaria, energética y financiera que plantea la actual crisis.

Ejemplos:

El Grupo de Respuesta a la Crisis Mundial en materia de Alimentación, Energía y Finanzas ha anunciado planes para ayudar a los países más vulnerables a superar la crisis económica global.

La ONU ha lanzado un plan de acción para enfrentar la crisis alimentaria mundial, que incluye medidas para aumentar la producción agrícola y mejorar la distribución de alimentos.";"Consejo-ES, a partir de:<div>- UNTERM,<a href=""https://unterm.un.org/unterm/display/record/determ/na/091f46c2-4b0c-4342-9d9d-ed25ac34881a"" target=""_blank""> Global Crisis Response Group on Food, Energy and Finance<time datetime=""6.9.2022""> (6.9.2022)</time></a></div><div>- Naciones Unidas &gt; <a href=""https://news.un.org/pages/global-crisis-response-group/"" target=""_blank"">Global Crisis Response Group on Food, Energy and Finance<time datetime=""6.9.2022""> (6.9.2022)</time></a></div>";Variants: Grupo de Respuesta a la Crisis Mundial en materia de Alimentación, Energía y Finanzas | Domains: INTERNATIONAL ORGANISATIONS | Context: Grupo creado por el secretario general de las Naciones Unidas el 14 de marzo de 2022 en respuesta a las posibles consecuencias de la invasión rusa de Ucrania y a las repercusiones de la pandemia de COVID-19. El Grupo, formado por treinta y dos miembros, pretende coordinar una acción política mundial de alto nivel para hacer frente a los problemas en materia de seguridad alimentaria, energía y finanzas que plantea la actual crisis. | Ref: Consejo-ES, a partir de: - UNTERM, Global Crisis Response Group on Food, Energy and Finance (6.9.2022) - Naciones Unidas > Global Crisis Response Group on Food, Energy and Finance (6.9.2022)
Comisión de Verificación de Poderes;"La Comisión de Verificación de Poderes es un organismo que se encarga de verificar las credenciales de los representantes de los Estados miembros de las Naciones Unidas durante las sesiones de la Asamblea General. La comisión está compuesta por nueve miembros nombrados al inicio de cada período de sesiones de la Asamblea General, a propuesta del presidente. Su función principal es garantizar que solo los representantes legítimos participen en las deliberaciones de la Asamblea General.

La Comisión de Verificación de Poderes realiza su trabajo siguiendo un procedimiento establecido. Primero, revisa las credenciales presentadas por los representantes de los Estados miembros. Luego, solicita información adicional si es necesario. Finalmente, emite un informe con sus conclusiones sobre la validez de las credenciales.

La Comisión de Verificación de Poderes tiene un papel importante en la democracia internacional. Garantiza que solo los representantes elegidos por los pueblos participen en las deliberaciones";"Naciones Unidas, UNTERM (base terminológica) <a href=""http://unterm.un.org/dgaacs/unterm.nsf/WebView/573EF892A550586C852569FA00003049?OpenDocument"" target=""_blank"">http://unterm.un.org/dgaacs/unterm.nsf/WebView/573EF892A550586C852569FA00003049?OpenDocument</a><br>61.° período de sesiones de la Asamblea General: Comisión de Verificación de Poderes <a href=""http://www.un.org/spanish/aboutun/organs/ga/61/credent.shtml"" target=""_blank"">http://www.un.org/spanish/aboutun/organs/ga/61/credent.shtml</a>";Variants: Comisión de Verificación de Poderes | Domains: INTERNATIONAL ORGANISATIONS | Context: Compuesta por nueve miembros nombrados al inicio de cada período de sesiones de la Asamblea General de las Naciones Unidas IATE:791491 , a propuesta de su presidente. Se encarga de comprobar las credenciales de los representantes. | Ref: Naciones Unidas, UNTERM (base terminológica) http://unterm.un.org/dgaacs/unterm.nsf/WebView/573EF892A550586C852569FA00003049?OpenDocument 61.° período de sesiones de la Asamblea General: Comisión de Verificación de Poderes http://www.un.org/spanish/aboutun/organs/ga/61/credent.shtml
Centro Conjunto de Logística de las Naciones Unidas;;"ONU, Base de datos terminológica (UNTERM) <a href=""http://unterm.un.org/DGAACS/unterm.nsf/WebView/09562A3C5284E22A85256FA9005794CB?OpenDocument"" target=""_blank"">http://unterm.un.org/DGAACS/unterm.nsf/WebView/09562A3C5284E22A85256FA9005794CB?OpenDocument</a>";Variants: Centro Conjunto de Logística de las Naciones Unidas | Domains: INTERNATIONAL ORGANISATIONS | Context: Entidad de apoyo de las agencias de las Naciones Unidas que intervienen en una determinada zona de crisis. Puede crear centros conjuntos de logística en dichas zonas y brindar apoyo logístico a escala reducida. | Ref: ONU, Base de datos terminológica (UNTERM) http://unterm.un.org/DGAACS/unterm.nsf/WebView/09562A3C5284E22A85256FA9005794CB?OpenDocument
Grupo de Expertos sobre el Yemen;;"Resolución 2140 (2014) del Consejo de Seguridad de las Naciones Unidas, apdo. 21 <a href=""http://undocs.org/es/S/RES/2140(2014)"" target=""_blank"">http://undocs.org/es/S/RES/2140(2014)</a> [3.9.2018].";Variants: Grupo de Expertos sobre el Yemen | Domains: INTERNATIONAL ORGANISATIONS | Context: Grupo de hasta cuatro expertos, establecido por un periodo inicial de 13 meses en virtud de la Resolución 2140 (2014) del Consejo de Seguridad de las Naciones Unidas, para ayudar al Comité de Sanciones creado en virtud de la misma resolución, en particular: - presentándole información pertinente para perfeccionar y actualizar la información sobre la lista de personas sujetas a sanciones - reuniendo y analizando la información facilitada por Estados, órganos competentes de las Naciones Unidas, organizaciones regionales y demás partes interesadas sobre la aplicación de las medidas establecidas en la resolución, en particular sobre incidentes que menoscaben el proceso de transición política. | Ref: Resolución 2140 (2014) del Consejo de Seguridad de las Naciones Unidas, apdo. 21 http://undocs.org/es/S/RES/2140(2014) [3.9.2018].
Día Universal del Niño;"El Día Universal del Niño es una celebración internacional que se realiza cada año el 20 de noviembre. Fue establecido por la Asamblea General de las Naciones Unidas en 1954 y se celebra desde 1956. El día está dedicado a la fraternidad y la comprensión entre los niños del mundo entero y se destina a actividades propias para promover los ideales y objetivos de la Carta de las Naciones Unidas, así como el bienestar de los niños del mundo, y también a intensificar y extender los esfuerzos de las Naciones Unidas a favor y en nombre de los niños del mundo.

El tema principal del Día Universal del Niño cambia cada año y se centra en diferentes aspectos relacionados con los derechos de los niños. En 2021, el tema principal fue ""Los niños en el tiempo de COVID-19: la igualdad, la justicia y la protección"". Este tema enfatizó la importancia de garantizar la iguald";"Texto de la Resolución 836 (IX): <a href=""http://www.un.org/spanish/documents/ga/res/9/ares9.htm"" target=""_blank"">http://www.un.org/spanish/documents/ga/res/9/ares9.htm</a>";"Variants: Día Universal del Niño | Domains: INTERNATIONAL ORGANISATIONS | Context: Se celebra desde 1956 por Resolución 836 (IX) de la Asamblea General de las Naciones Unidas; se consagra ""a la fraternidad y la comprensión entre los niños del mundo entero"" y se destina a ""actividades propias para promover los ideales y objetivos de la Carta de las Naciones Unidas, así como el bienestar de los niños del mundo, y también a intensificar y extender los esfuerzos de las Naciones Unidas a favor y en nombre de los niños del mundo"". | Ref: Texto de la Resolución 836 (IX): http://www.un.org/spanish/documents/ga/res/9/ares9.htm"
