term;definition;source;info_semantica
reunión plenaria de alto nivel de la Asamblea General sobre los Objetivos de Desarrollo del Milenio;"""No hay información suficiente para definir el término.""";"Consejo-ES; véase la sede electrónica de la reunión: <a href=""http://www.un.org/es/mdg/summit2010/"" target=""_blank"">http://www.un.org/es/mdg/summit2010/</a> y la nota informativa dirigida a las delegaciones <a href=""http://www.un.org/es/comun/docs/?symbol=A/65/HLPM/INF/1"" target=""_blank"">http://www.un.org/es/comun/docs/?symbol=A/65/HLPM/INF/1</a> .";"Variants: reunión plenaria de alto nivel de la Asamblea General sobre los Objetivos de Desarrollo del Milenio | Domains: INTERNATIONAL ORGANISATIONS | Context: Reunión de los jefes de Estado o de Gobierno de los Estados Miembros de las Naciones Unidas que se celebrará en Nueva York del 20 al 22 de septiembre de 2010, para examinar la marcha de la realización de los objetivos de desarrollo del milenio IATE:927771 y acelerar su cumplimiento para 2015. | Ref: Consejo-ES; véase la sede electrónica de la reunión: http://www.un.org/es/mdg/summit2010/ y la nota informativa dirigida a las delegaciones http://www.un.org/es/comun/docs/?symbol=A/65/HLPM/INF/1 ."
patrocinador;"""Patrocinador"" se refiere a un estado miembro o grupo de estados miembros de las Naciones Unidas que presenta un proyecto de resolución. El patrocinador principal es el estado o grupo de estados que presenta el proyecto de resolución, mientras que el copatrocinio implica un respaldo irrestricto dado por uno o más países al proyecto de texto presentado por otro. En este contexto, el patrocinador desempeña un papel fundamental en la presentación y promoción de la resolución ante el Consejo de Seguridad o otras instancias de la ONU.";Consejo-ES a partir de la ficha FR.;Variants: patrocinador | Domains: INTERNATIONAL ORGANISATIONS | Context: Estado miembro o grupo de Estados miembros de las Naciones Unidas que presenta un proyecto de resolución. | Ref: Consejo-ES a partir de la ficha FR.
Resolución 1325 del Consejo de Seguridad de las Naciones Unidas;La Resolución 1325 del Consejo de Seguridad de las Naciones Unidas es una expresión oficial de la opinión o voluntad del Consejo de Seguridad de las Naciones Unidas que se adoptó en octubre de 2000 con objeto de reforzar las necesidades específicas de protección de las mujeres y las niñas en situaciones de conflicto y posconflicto y de afianzar su papel en la construcción y consolidación de una paz duradera.;"Consejo-ES a partir del texto de la resolución: <a href=""http://www.un.org/en/ga/search/view_doc.asp?symbol=S/RES/1325(2000)&amp;referer=/english/&amp;Lang=S"" target=""_blank"">http://www.un.org/en/ga/search/view_doc.asp?symbol=S/RES/1325(2000)&amp;referer=/english/&amp;Lang=S</a> [26.3.2018]";Variants: Resolución 1325 del Consejo de Seguridad de las Naciones Unidas | Domains: INTERNATIONAL ORGANISATIONS | Context: Resolución adoptada por el Consejo de Seguridad de las Naciones Unidas en octubre de 2000 con objeto de reforzar las necesidades específicas de protección de las mujeres y las niñas en situaciones de conflicto y posconflicto y de afianzar su papel en la construcción y consolidación de una paz duradera. | Ref: Consejo-ES a partir del texto de la resolución: http://www.un.org/en/ga/search/view_doc.asp?symbol=S/RES/1325(2000)&referer=/english/&Lang=S [26.3.2018]
Estimaciones mundiales sobre el trabajo infantil: resultados y tendencias;"""Estimaciones mundiales sobre el trabajo infantil: resultados y tendencias"" se refiere a un informe estadístico publicado cada cuatro años por la Organización Internacional del Trabajo (OIT), que presenta estimaciones globales sobre el trabajo infantil, incluyendo sus resultados y tendencias. Este informe proporciona datos e indicadores sobre el trabajo infantil en todo el mundo, con el objetivo de apoyar políticas y acciones para erradicar este problema.";"Consejo-ES a partir de OIT, Estimaciones mundiales sobre el trabajo infantil, Ginebra, 2017 <a href=""https://www.ilo.org/wcmsp5/groups/public/@ed_norm/@ipec/documents/publication/wcms_596481.pdf"" target=""_blank"">https://www.ilo.org/wcmsp5/groups/public/@ed_norm/@ipec/documents/publication/wcms_596481.pdf</a> [23.8.2018]";Variants: Estimaciones mundiales sobre el trabajo infantil: resultados y tendencias | Domains: INTERNATIONAL ORGANISATIONS | Context: Informe estadístico cuatrienal de la OIT sobre los datos relativos al trabajo infantil. | Ref: Consejo-ES a partir de OIT, Estimaciones mundiales sobre el trabajo infantil, Ginebra, 2017 https://www.ilo.org/wcmsp5/groups/public/@ed_norm/@ipec/documents/publication/wcms_596481.pdf [23.8.2018]
Oficina de las Naciones Unidas en Viena;La Oficina de las Naciones Unidas en Viena es una institución de las Naciones Unidas con sede en Viena, Austria, que brinda servicios administrativos y técnicos a otras organizaciones internacionales con sede en el Centro Internacional de Viena, así como apoya programas y actividades relacionadas con la exploración espacial y la cooperación internacional.;"Naciones Unidas: Información sobre la ONUV <a href=""http://www.unvienna.org/unov/es/about_unov.html"" target=""_blank"">http://www.unvienna.org/unov/es/about_unov.html</a>";Variants: Oficina de las Naciones Unidas en Viena | Domains: INTERNATIONAL ORGANISATIONS | Context: La ONUV administra y ejecuta el programa de las Naciones Unidas sobre la utilización del espacio ultraterrestre con fines pacíficos y presta servicios comunes (como servicios de conferencias, servicios de información, servicios de seguridad y vigilancia, servicios de adquisición y servicios de apoyo general) a las organizaciones con sede en el Centro Internacional de Viena IATE:900475 . La ONUV colabora estrechamente con la Oficina de las Naciones Unidas contra la Droga y el Delito (UNODC) IATE:908831 . | Ref: Naciones Unidas: Información sobre la ONUV http://www.unvienna.org/unov/es/about_unov.html
Grupo de Respuesta a la Crisis Mundial en materia de Alimentación, Energía y Finanzas;El Grupo de Respuesta a la Crisis Mundial en materia de Alimentación, Energía y Finanzas es un grupo creado por el secretario general de las Naciones Unidas en respuesta a las posibles consecuencias de la invasión rusa de Ucrania y a las repercusiones de la pandemia de COVID-19. Su objetivo es coordinar una acción política mundial de alto nivel para abordar los problemas relacionados con la seguridad alimentaria, la energía y las finanzas que plantea la actual crisis. El Grupo está formado por 32 miembros y se creó el 14 de marzo de 2022.;"Consejo-ES, a partir de:<div>- UNTERM,<a href=""https://unterm.un.org/unterm/display/record/determ/na/091f46c2-4b0c-4342-9d9d-ed25ac34881a"" target=""_blank""> Global Crisis Response Group on Food, Energy and Finance<time datetime=""6.9.2022""> (6.9.2022)</time></a></div><div>- Naciones Unidas &gt; <a href=""https://news.un.org/pages/global-crisis-response-group/"" target=""_blank"">Global Crisis Response Group on Food, Energy and Finance<time datetime=""6.9.2022""> (6.9.2022)</time></a></div>";Variants: Grupo de Respuesta a la Crisis Mundial en materia de Alimentación, Energía y Finanzas | Domains: INTERNATIONAL ORGANISATIONS | Context: Grupo creado por el secretario general de las Naciones Unidas el 14 de marzo de 2022 en respuesta a las posibles consecuencias de la invasión rusa de Ucrania y a las repercusiones de la pandemia de COVID-19. El Grupo, formado por treinta y dos miembros, pretende coordinar una acción política mundial de alto nivel para hacer frente a los problemas en materia de seguridad alimentaria, energía y finanzas que plantea la actual crisis. | Ref: Consejo-ES, a partir de: - UNTERM, Global Crisis Response Group on Food, Energy and Finance (6.9.2022) - Naciones Unidas > Global Crisis Response Group on Food, Energy and Finance (6.9.2022)
Comisión de Verificación de Poderes;La Comisión de Verificación de Poderes es una institución de la ONU que se encarga de verificar las credenciales de los representantes ante la Asamblea General. Su composición está compuesta por 9 miembros elegidos por el Presidente de la Asamblea General.;"Naciones Unidas, UNTERM (base terminológica) <a href=""http://unterm.un.org/dgaacs/unterm.nsf/WebView/573EF892A550586C852569FA00003049?OpenDocument"" target=""_blank"">http://unterm.un.org/dgaacs/unterm.nsf/WebView/573EF892A550586C852569FA00003049?OpenDocument</a><br>61.° período de sesiones de la Asamblea General: Comisión de Verificación de Poderes <a href=""http://www.un.org/spanish/aboutun/organs/ga/61/credent.shtml"" target=""_blank"">http://www.un.org/spanish/aboutun/organs/ga/61/credent.shtml</a>";Variants: Comisión de Verificación de Poderes | Domains: INTERNATIONAL ORGANISATIONS | Context: Compuesta por nueve miembros nombrados al inicio de cada período de sesiones de la Asamblea General de las Naciones Unidas IATE:791491 , a propuesta de su presidente. Se encarga de comprobar las credenciales de los representantes. | Ref: Naciones Unidas, UNTERM (base terminológica) http://unterm.un.org/dgaacs/unterm.nsf/WebView/573EF892A550586C852569FA00003049?OpenDocument 61.° período de sesiones de la Asamblea General: Comisión de Verificación de Poderes http://www.un.org/spanish/aboutun/organs/ga/61/credent.shtml
Centro Conjunto de Logística de las Naciones Unidas;El Centro Conjunto de Logística de las Naciones Unidas es una entidad de apoyo de las agencias de las Naciones Unidas que brinda apoyo logístico a escala reducida a las mismas en zonas de crisis, creando centros conjuntos de logística en dichas áreas.;"ONU, Base de datos terminológica (UNTERM) <a href=""http://unterm.un.org/DGAACS/unterm.nsf/WebView/09562A3C5284E22A85256FA9005794CB?OpenDocument"" target=""_blank"">http://unterm.un.org/DGAACS/unterm.nsf/WebView/09562A3C5284E22A85256FA9005794CB?OpenDocument</a>";Variants: Centro Conjunto de Logística de las Naciones Unidas | Domains: INTERNATIONAL ORGANISATIONS | Context: Entidad de apoyo de las agencias de las Naciones Unidas que intervienen en una determinada zona de crisis. Puede crear centros conjuntos de logística en dichas zonas y brindar apoyo logístico a escala reducida. | Ref: ONU, Base de datos terminológica (UNTERM) http://unterm.un.org/DGAACS/unterm.nsf/WebView/09562A3C5284E22A85256FA9005794CB?OpenDocument
Grupo de Expertos sobre el Yemen;"""El Grupo de Expertos sobre el Yemen es un grupo de hasta cuatro expertos establecido por un período inicial de 13 meses en virtud de la Resolución 2140 (2014) del Consejo de Seguridad de las Naciones Unidas, cuya función es ayudar al Comité de Sanciones creado en virtud de la misma resolución en la recopilación e interpretación de información relevante para mejorar y actualizar la lista de personas sujetas a sanciones, así como analizar la información proporcionada por estados, organismos de las Naciones Unidas, organizaciones regionales y otras partes interesadas sobre la implementación de las medidas adoptadas en la resolución, incluidos incidentes que socavan el proceso de transición política."".";"Resolución 2140 (2014) del Consejo de Seguridad de las Naciones Unidas, apdo. 21 <a href=""http://undocs.org/es/S/RES/2140(2014)"" target=""_blank"">http://undocs.org/es/S/RES/2140(2014)</a> [3.9.2018].";Variants: Grupo de Expertos sobre el Yemen | Domains: INTERNATIONAL ORGANISATIONS | Context: Grupo de hasta cuatro expertos, establecido por un periodo inicial de 13 meses en virtud de la Resolución 2140 (2014) del Consejo de Seguridad de las Naciones Unidas, para ayudar al Comité de Sanciones creado en virtud de la misma resolución, en particular: - presentándole información pertinente para perfeccionar y actualizar la información sobre la lista de personas sujetas a sanciones - reuniendo y analizando la información facilitada por Estados, órganos competentes de las Naciones Unidas, organizaciones regionales y demás partes interesadas sobre la aplicación de las medidas establecidas en la resolución, en particular sobre incidentes que menoscaben el proceso de transición política. | Ref: Resolución 2140 (2014) del Consejo de Seguridad de las Naciones Unidas, apdo. 21 http://undocs.org/es/S/RES/2140(2014) [3.9.2018].
Día Universal del Niño;El Día Universal del Niño es una celebración internacional que se celebra anualmente desde 1956, según lo establecido por la Resolución 836 (IX) de la Asamblea General de las Naciones Unidas. Su objetivo es promover la fraternidad y la comprensión entre los niños del mundo y trabajar hacia su bienestar, al tiempo que se intensifican y extienden los esfuerzos de la Organización de las Naciones Unidas en favor de los niños. Esta celebración tiene como fin principal honrar la Carta de las Naciones Unidas y sus objetivos, así como destacar la importancia de la protección y el apoyo a los niños en todo el mundo.;"Texto de la Resolución 836 (IX): <a href=""http://www.un.org/spanish/documents/ga/res/9/ares9.htm"" target=""_blank"">http://www.un.org/spanish/documents/ga/res/9/ares9.htm</a>";"Variants: Día Universal del Niño | Domains: INTERNATIONAL ORGANISATIONS | Context: Se celebra desde 1956 por Resolución 836 (IX) de la Asamblea General de las Naciones Unidas; se consagra ""a la fraternidad y la comprensión entre los niños del mundo entero"" y se destina a ""actividades propias para promover los ideales y objetivos de la Carta de las Naciones Unidas, así como el bienestar de los niños del mundo, y también a intensificar y extender los esfuerzos de las Naciones Unidas a favor y en nombre de los niños del mundo"". | Ref: Texto de la Resolución 836 (IX): http://www.un.org/spanish/documents/ga/res/9/ares9.htm"
