"term";"definition";"retrieved_sources"
"Grupo de Respuesta a la Crisis Mundial en materia de Alimentación, Energía y Finanzas";"El Grupo de Respuesta a la Crisis Mundial en materia de Alimentación, Energía y Finanzas es un grupo de trabajo creado por la Organización de las Naciones Unidas (ONU) para abordar la crisis mundial en materia de alimentación, energía y financiamiento. El grupo se compone de representantes de países miembros de la ONU, así como de expertos en diferentes áreas relacionadas con la crisis. El objetivo principal del grupo es identificar y analizar las causas de la crisis, así como desarrollar soluciones para abordarla.";"[""https://news.un.org/pages/global-crisis-response-group/""]"
"Cuarta Comisión";"La Cuarta ComisiÃ³n es un organismo de la ONU que se encarga de tratar temas relacionados con la descolonizaciÃ³n, la radiaciÃ³n atÃ³mica, la informaciÃ³n pÃºblica, las operaciones de mantenimiento de la paz, las misiones polÃ­ticas especiales, el Organismo de Obras PÃºblicas y Socorro de las Naciones Unidas para los Refugiados de Palestina en el Cercano Oriente (OOPS), PrÃ¡cticas y actividades de asentamiento israelÃ­es que afectan a los derechos del pueblo palestino y otros habitantes Ã¡rabes de los territorios ocupados, y la CooperaciÃ³n internacional para la utilizaciÃ³n del espacio ultraterrestre con fin";"[""http://www.un.org/es/ga/fourth/index.shtml""]"
"Comisión de Desarme y Seguridad Internacional";"";"[""https://www.un.org/es/ga/first/index.shtml"", ""https://www.un.org/es/ga/maincommittees/index.shtml""]"
"grupo electoral";"";"[""http://www.wipo.int/edocs/mdocs/govbody/es/a_34/a_34_12.doc""]"
"Quinta Comisión";"";"[""http://www.un.org/es/ga/fifth/index.shtml""]"
"Resolución de la Asamblea General";"La resolución de la Asamblea General es un documento que contiene una serie de recomendaciones y/o decisiones adoptadas por la Asamblea General de las Naciones Unidas. Las resoluciones de la Asamblea General son no vinculantes, lo que significa que no tienen fuerza de ley y no son obligatorias para los Estados Miembros. Sin embargo, las resoluciones de la Asamblea General pueden ser utilizadas como herramientas diplomÃ¡ticas y políticas para guiar la acciÃ³n de los Estados Miembros y las organizaciones internacionales. Las resoluciones de la Asamblea General pueden abordar una amplia gama de temas, incluidos los derechos humanos, la paz y la seguridad internacional, el desarrollo sostenible, la cooperaciÃ";"[""http://www.un.org/es/ga/""]"
"Comisión Jurídica";"La Comisión Jurídica es un organismo de la Asamblea General de las Naciones Unidas que se encarga de examinar las cuestiones jurídicas relacionadas con la organización. Tiene como objetivo promover la cooperación internacional en materia jurídica y facilitar la aplicación de los principios y normas jurídicas internacionales.";"[""http://www.un.org/es/ga/sixth/index.shtml""]"
"Tercera Comisión";"La Tercera ComisiÃ³n es un organismo de la OrganizaciÃ³n de las Naciones Unidas que se encarga de los asuntos sociales, humanitarios y de derechos humanos que afectan a las personas de todo el mundo. Su objetivo es promover el desarrollo social, la igualdad de oportunidades y la protecciÃ³n de los derechos humanos. La ComisiÃ³n se ocupa de temas como la promociÃ³n de la mujer, la protecciÃ³n de los niÃ±os, los pueblos indÃ­genas, el trato a los refugiados, la protecciÃ³n de las libertades fundamentales mediante la eliminaciÃ³n de la discriminaciÃ³n racial y el derecho a la autodeterminaciÃ³n";"[""http://www.un.org/es/ga/third/""]"
"Comisión Política Especial y de Descolonización";"";"[""http://www.un.org/es/ga/fourth/index.shtml""]"
"Resolución de la Asamblea General de las Naciones Unidas";"La Resolución de la Asamblea General de las Naciones Unidas es un documento oficial adoptado por la Asamblea General de las Naciones Unidas que expresa la opinión de la Asamblea General sobre una cuestión internacional. Las resoluciones de la Asamblea General son no vinculantes, lo que significa que no tienen fuerza de ley y no obligan a los Estados miembros a cumplir con ellos. Sin embargo, las resoluciones de la Asamblea General pueden ser importantes porque pueden reflejar la opinión de la comunidad internacional sobre una cuestión internacional y pueden influir en la política exterior de los Estados miembros.";"[""http://www.un.org/es/ga/""]"
