term;definition;source;info_semantica
derecho contractual;El derecho contractual es el conjunto de normas que regulan las relaciones entre particulares, basadas en acuerdos o contratos voluntarios, con el fin.;Consejo-ES;"Variants: derecho contractual | Domains: civil law | Context: Ref: Consejo Superior de Investigaciones Científicas, Instituto de Estudios Documentales sobre Ciencia y Tecnología, Tesauro SPINES, http://thes.cindoc.csic.es/alfa_jerarquico.php?thes=SPIN&amp;term=DERECHO%20CONTRACTUAL"
contrato de ayuda en un juicio con participación en el producto eventual;Un contrato por el cual una persona se compromete a ayudar a otra en un proceso judicial a cambio de una participación en los beneficios o productos d.;"Cremades, Anne-Carole: ""La falta de recursos económicos para participar al arbitraje pactado"", apdo. 43, <i>Revista del Club Español del Arbitraje</i>, 8/2010, p. 151 <a href=""http://www.google.com/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;frm=1&amp;source=web&amp;cd=82&amp;cad=rja&amp;uact=8&amp;ved=0CCQQFjABOFA&amp;url=http%3A%2F%2Fwww.swlegal.ch%2FCMSPages%2FGetFile.aspx%3Fdisposition%3Dattachment%26guid%3Daf05daf9-5290-49ed-b12a-23fa07665758&amp;ei=-_nkU-eaD8OwO-vAgdgJ&amp;usg=AFQjCNFe9dHZdYUs0K7W-mJ520T2khv8TA"" target=""_blank"">http://www.google.com/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;frm=1&amp;source=web&amp;cd=82&amp;cad=rja&amp;uact=8&amp;ved=0CCQQFjABOFA&amp;url=http%3A%2F%2Fwww.swlegal.ch%2FCMSPages%2FGetFile.aspx%3Fdisposition%3Dattachment%26guid%3Daf05daf9-5290-49ed-b12a-23fa07665758&amp;ei=-_nkU-eaD8OwO-vAgdgJ&amp;usg=AFQjCNFe9dHZdYUs0K7W-mJ520T2khv8TA</a>";"Variants: <i>champerty</i>, contrato de ayuda en un juicio con participación en el producto eventual, pacto ilícito de cuota litis | Domains: civil law | Context: Ref: Beigbeder Atienza, F: Diccionario politécnico de las lenguas española e inglesa, V. 1 http://books.google.be/books?id=ZIU4-UjfzYcC&amp;pg=PA244&amp;lpg=PA244&amp;dq=champerty&amp;source=bl&amp;ots=wW7RGflGw5&amp;sig=jQU2dlDE5cex1fp18KKtdB4W39w&amp;hl=en&amp;sa=X&amp;ei=_PfkU9oJx844-dSByA8&amp;redir_esc=y#v=onepage&amp;q=champerty&amp;f=false | Usage: ""Pacto ilícito de cuota litis"" es más bien una paráfrasis de <i>champerty</i> en español, ya que no parece utilizarse como término por sí mismo. | Ref: Cremades, Anne-Carole: ""La falta de recursos económicos para participar al arbitraje pactado"", apdo. 43, Revista del Club Español del Arbitraje, 8/2010, p. 151 http://www.google.com/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;frm=1&amp;source=web&amp;cd=82&amp;cad=rja&amp;uact=8&amp;ved=0CCQQFjABOFA&amp;url=http%3A%2F%2Fwww.swlegal.ch%2FCMSPages%2FGetFile.aspx%3Fdisposition%3Dattachment%26guid%3Daf05daf9-5290-49ed-b12a-23fa07665758&amp;ei=-_nkU-eaD8OwO-vAgdgJ&amp;usg=AFQjCNFe9dHZdYUs0K7W-mJ520T2khv8TA | Usage: Dado que se trata de un concepto del Derecho anglosajón sin traducción acuñada en español, parece conveniente utilizar el término inglés en cursiva y acompañarlo de la expresión perifrástica ""pacto ilícito de cuota litis"". | Ref: Robb, L. A.: Diccionario de términos legales.español-inglés e inglés-español, Editorial Limusa Wiley, México, 1965, citado en Termium Plus (base de datos terminológica del Gobierno de Canadá) http://www.btb.termiumplus.gc.ca/tpv2alpha/alpha-fra.html?lang=fra&amp;i=1&amp;index=alt&amp;srchtxt=CHAMPARTY"
colación;La colación es la entrega de una herencia a su titular, generalmente después de que se ha liquidado el testamento o las disposiciones testamentarias. .;"1) Red Judicial Europea: Estudio de Derecho comparado sobre las normas de conflicto de jurisdicciones y de conflicto de leyes relativas a los testamentos y sucesiones en los Estados miembros de la Unión Europea, Carrión, P.: Estudio nacional de España, cuarta parte, letra G - Legítimas <a href=""http://ec.europa.eu/civiljustice/publications/docs/report_conflits_espagne.pdf"" target=""_blank"">http://ec.europa.eu/civiljustice/publications/docs/report_conflits_espagne.pdf</a><br>2) Código Civil español, art. 1035 (Gaceta de Madrid n.° 206 de 25-7-1889, p. 249) <a href=""http://www.boe.es/aeboe/consultas/bases_datos/doc.php?id=BOE-A-1889-4763"" target=""_blank"">http://www.boe.es/aeboe/consultas/bases_datos/doc.php?id=BOE-A-1889-4763</a>";"Variants: colación | Domains: civil law | Context: ""No se traerán a colación, sino cuando el padre lo disponga o perjudiquen a la legítima, los gastos que éste hubiere hecho para dar a sus hijos una carrera profesional o artística; pero cuando proceda colacionarlos, se rebajará de ellos lo que el hijo habría gastado viviendo en la casa y compañía de sus padres."" | Ref: Código Civil español, art. 1042 (Gaceta de Madrid n.° 206 de 25-7-1889, p. 249) <a href=""http://www.boe.es/aeboe/consultas/bases_datos/doc.php?id=BOE-A-1889-4763"" target=""_blank"">http://www.boe.es/aeboe/consultas/bases_datos/doc.php?id=BOE-A-1889-4763</a> | Ref: Código Civil español, capítulo VI, sección primera (Gaceta de Madrid n.° 206 de 25-7-1889, p. 249) http://www.boe.es/aeboe/consultas/bases_datos/doc.php?id=BOE-A-1889-4763"
derecho de sucesión;El derecho de sucesión es el conjunto de normas que regulan la transmisión de bienes, derechos y obligaciones de una persona fallecida a sus herederos.;"Cabanellas, G.: Diccionario Enciclopédico de Derecho Usual, Heliasta, Buenos Aires, 1981 (voz ""derecho hereditario"")";Variants: derecho de sucesión | Domains: civil law | Context: Ref: Código Civil español, art. 846 (Gaceta de Madrid n.° 206 de 25-7-1889, p. 249) http://www.boe.es/aeboe/consultas/bases_datos/doc.php?id=BOE-A-1889-4763 Conferencia de La Haya de Derecho Internacional Privado: Convenio sobre la Ley Aplicable a las Sucesiones por causa de Muerte, art. 7.2.a) http://www.hcch.net/upload/conventions/txt32es.pdf
tutela judicial civil;La tutela judicial civil es el proceso legal mediante el cual una persona o entidad busca protección o resolución de un conflicto a través del sistema.;"Consejo-ES, a partir de la Real Academia Española: <a href=""https://dej.rae.es/lema/orden-jurisdiccional-civil"" target=""_blank""><em>Diccionario de español jurídico</em>, «orden jurisdiccional civil» <time datetime=""13.5.2020""> (13.5.2020)</time></a>";"Variants: reparación civil, resarcimiento civil, tutela civil, tutela judicial civil | Domains: civil law | Context: Es indicado establecer, a escala de la Unión, normas destinadas a aproximar las legislaciones de los Estados miembros, a fin de asegurar un nivel de tutela judicial civil suficiente y coherente en todo el mercado interior para los supuestos de obtención, utilización o revelación ilícitas de secretos comerciales. | Ref: <a href=""https://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32016L0943"" target=""_blank"">Directiva (UE) 2016/943 relativa a la protección de los conocimientos técnicos y la información empresarial no divulgados (secretos comerciales) contra su obtención, utilización y revelación ilícitas</a> | Ref: Directiva (UE) 2016/943 relativa a la protección de los conocimientos técnicos y la información empresarial no divulgados (secretos comerciales) contra su obtención, utilización y revelación ilícitas | En este contexto, además de proporcionar directrices sobre la DRDPI, la Comisión insta a los Estados miembros a redoblar sus esfuerzos para proporcionar una reparación civil efectiva y previsible contra las infracciones de la PI en la UE de conformidad con la DRDPI, y apoyará dichos esfuerzos. De hecho, una mayor transparencia y previsibilidad serían de gran beneficio, en particular para las pymes. Facilitaría su acceso a la justicia y ayudaría a promover la implantación de regímenes de seguro ante posibles litigios de PI asequibles. | Ref: <a href=""https://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:52017DC0707"" target=""_blank"">Comunicación de la Comisión: Un sistema equilibrado de garantía de cumplimiento en materia de propiedad intelectual en respuesta a los retos sociales actuales</a> | Ref: Directiva (UE) 2019/1937 relativa a la protección de las personas que informen sobre infracciones del Derecho de la Unión | Tutela civil y tutela jurisdiccional: Precisar en qué consiste la tutela de los derechos resulta difícil. Este término no presenta un significado unívoco; tal expresión se utiliza tal expresión en múltiples acepciones y se emplean sinónimos que evocan realidades muy diferentes (garantía, protección, etc.). En el ámbito civil, es común entender que solo cabe la heterotutela. La existencia de una tutela cuya fisonomía responde a los moldes resultantes de la ley procesal civil y, en consecuencia, solo puede resultar asegurada por aquellos órganos que dentro de la estructura del Estado tienen encomendada la función jurisdiccional. […] Existe, […] [sin embargo], la posibilidad de hablar de una tutela civil desconectada de aquella jurisdiccional, lo que es tanto como decir que al lado de la tutela procesal existen remedios pertenecientes al derecho sustancial, capaces de mitigar o evitar la lesión a un derecho, interés o prerrogativa jurídica. | Ref: Díaz Moreno, A.: <a href=""https://dialnet.unirioja.es/descarga/articulo/4851856.pdf"" target=""_blank"">«El sentido y alcance de la plenitud jurisdiccional con referencia al derecho español (La tutela de los derechos)», <em>Opinión Jurídica</em>, Universidad de Medellín, 2013<time datetime=""13.5.2020""> (13.5.2020)</time></a> | Ref: Ley Orgánica 5/2010 por la que se modifica el Código Penal (BOE n.º 152, de 23.6.2010) (13.5.2020) | (1) Estas dudas fueron resueltas por el Tribunal Constitucional italiano en su importante Sentencia 184 de 1986, de fecha 30 de junio, que […] suponía una nueva lectura de todo el sistema de resarcimiento civil en pro del reconocimiento del derecho a la salud […].(2) En cualquier caso, todo denunciante que sufra cualquier tipo de represalia debe tener la posibilidad de denunciarlo y ser resarcido, de conformidad con el Derecho nacional de cada Estado miembro. Dentro de las fórmulas para el resarcimiento se encuentran: la readmisión en caso de despido, la reposición a las condiciones laborales anteriores, las indemnizaciones por pérdidas de salario o ingresos, o las compensaciones de daños y perjuicios de cualquier tipo, incluidos morales. | Ref: <p>(1) Cruz Martínez, A.: <a href=""https://e-archivo.uc3m.es/bitstream/handle/10016/25427/tesis-antoniojavier-delacruz-martinez-2017.pdf?sequence=1&amp;isAllowed=y"" target=""_blank""><em>Responsabilidad civil por daños personales. baremos de valoración y sus principales problemas en derecho español</em>, Universidad Carlos III de Madrid<time datetime=""13.5.2020""> (13.5.2020)</time></a></p><p>(2) Garrigues: <a href=""https://www.garrigues.com/es_ES/noticia/aprobada-la-directiva-whistleblowing-que-obliga-incorporar-canales-de-denuncia-en-las"" target=""_blank"">Aprobada la Directiva 'whistleblowing' que obliga a incorporar canales de denuncia en las empresas<time datetime=""4.2.2021""> (4.2.2021)</time></a>, Alerta laboral España, 9.10.2019</p> | Ref: Moreno Fernández, L: Responsabilidad civil de los administradores de sociedades mercantiles, Universidad de Girona (13.5.2020) | Usage: La voz «resarcimiento», sin el calificativo de «civil» ya evoca el orden jurisdiccional civil, puesto que el concepto «resarcimiento de daños y perjuicios» se halla encuadrado en el sistema de protección de dicho orden."
amenaza para el orden público;La amenaza para el orden público se refiere a cualquier acción, conducta o situación que pueda generar peligro o inestabilidad en la sociedad, poniend.;"Consejo-ES a partir de:<div>Real Academia Española y Consejo General del Poder Judicial: <i>Diccionario panhispánico del español jurídico, </i>2020, <a href=""https://dpej.rae.es/lema/orden-p%C3%BAblico"" target=""_blank"">«orden público»<time datetime=""14.12.2020""> (14.12.2020)</time></a>.</div> | González Campos, J.D. y Fernández Rozas, J.C.: <a href=""https://www.researchgate.net/publication/31514248_Orden_publico_como_correctivo_funcional_articulo_12_apartado_3_del_Codigo_Civil"" target=""_blank"">«Artículo 12, apartado 3 del Código Civil»<time datetime=""14.12.2020""> (14.12.2020)</time></a>, en Albaladejo, M. y Díaz Alabart, S. (eds.): <i>Comentarios al Código civil y Compilaciones forales</i>, tomo I, vol. 2, Jaén, Edersa, 1995, pp. 894-826.";Variants: amenaza para el orden público | Domains: civil law | Context: Ref: Reglamento (UE) 2016/399 del Parlamento Europeo y del Consejo, de 9 de marzo de 2016, por el que se establece un Código de normas de la Unión para el cruce de personas por las fronteras (Código de fronteras Schengen) (DO L 077 de 23.3.2016, p. 1).
procedimiento civil;El procedimiento civil es el conjunto de normas, reglas y etapas que se siguen en los tribunales para resolver disputas o conflictos entre particulare.;"Consejo-ES a partir de diversas fuentes:<div>- Iberley: <a href=""https://www.iberley.es/temas/derecho-procesal-civil-53611"" target=""_blank"">Temas, Civil, Derecho procesal civil <time datetime=""21.4.2020""> (21.4.2020)</time></a></div><div>- Enciclopedia jurídica, <a href=""http://www.enciclopedia-juridica.com/d/derecho-procesal-civil/derecho-procesal-civil.htm"" target=""_blank"">«derecho procesal civil»<time datetime=""22.4.2020""> (22.4.2020)</time></a></div><div>- Gascón Inchausti, F.: <a href=""https://eprints.ucm.es/56973/1/Derecho%20Procesal%20Civil%20-%20Fernando%20Gascon%20Inchausti%20-%202019.pdf"" target=""_blank""><i>Derecho procesal civil. Materiales para el estudio, </i>Universidad Complutense de Madrid, 2019-2020<time datetime=""16.4.2020""> (16.4.2020)</time></a></div>";"Variants: derecho procesal civil, procedimiento civil, proceso civil | Domains: civil law | Context: El procedimiento civil es uno de los ámbitos de la UE que ya estaba presente en el Tratado constitutivo de la Comunidad Económica Europea (TCEE, Tratado de Roma), cuyo artículo 220 proporcionaba el fundamento jurídico para la aproximación del Derecho procesal civil de los Estados miembros en un régimen de Derecho internacional público. | Ref: <a href=""https://www.europarl.europa.eu/doceo/document/JURI-DT-572853_ES.pdf?redirect"" target=""_blank"">Documento de trabajo del Parlamento Europeo (Comisión de Asuntos Jurídicos) sobre el establecimiento de unas normas mínimas comunes para el procedimiento civil en la Unión Europea, 21.12.2015<time datetime=""16.4.2020""> (16.4.2020)</time></a> | Ref: Gascón Inchausti, F.: Derecho procesal civil. Materiales para el estudio, Universidad Complutense de Madrid, 2019-2020 (16.4.2020) | Usage: Aunque el concepto
de derecho procesal civil es más amplio que el de procedimiento
civil, puesto que abarca, además de las normas por las que se rigen los
procedimientos, las cuestiones relativas a la organización judicial,
en ocasiones el término se utiliza con un sentido más restrictivo para hacer
referencia únicamente a las normas de procedimiento. | El procedimiento civil también está adquiriendo una perspectiva europea como resultado de la creciente influencia de la Unión Europea en este ámbito. […] Es evidente que hemos recorrido un largo camino desde aquellos días en que el procedimiento civil era visto como una rama meramente nacional del derecho. | Ref: Van Rhee, C.H.: <a href=""https://www.google.es/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;source=web&amp;cd=1&amp;cad=rja&amp;uact=8&amp;ved=2ahUKEwiwxomZmu_oAhWK6aQKHZQVBMkQFjAAegQIARAB&amp;url=https%3A%2F%2Fdialnet.unirioja.es%2Fdescarga%2Farticulo%2F4036388.pdf&amp;usg=AOvVaw1Ea-kq8zwEruO62I50uI52"" target=""_blank"">«Evolución del derecho procesal civil en Europa: cómo el juez activo se convirtió en lo normal», <i>Revista Chilena de Derecho y Ciencia Política</i>, vol. 2, n.º 2, Universidad Católica de Temuco, 2011, pp. 11-40<time datetime=""21.4.2020""> (21.4.2020)</time></a> | Ref: Van Rhee, C.H.: «Evolución del derecho procesal civil en Europa: cómo el juez activo se convirtió en lo normal», Revista Chilena de Derecho y Ciencia Política, vol. 2, n.º 2, Universidad Católica de Temuco, 2011, pp. 11-40 (21.4.2020) | Ref: Resolución del Parlamento Europeo, de 4 de julio de 2017, con recomendaciones destinadas a la Comisión sobre normas mínimas comunes del proceso civil en la Unión Europea, P8_TA(2017)0282"
responsabilidad delictual;La responsabilidad delictual es la obligación de indemnizar a las víctimas por los daños causados como consecuencia de una acción u omisión dolosa o i.;Cabanellas;Variants: responsabilidad civil nacida de delito, responsabilidad delictual | Domains: civil law | Context: Ref: Cabanellas, G.: Diccionario Enciclopédico de Derecho Usual, Heliasta, Buenos Aires, 1981 | Ref: Cabanellas, G.: Diccionario Enciclopédico de Derecho Usual, Heliasta, Buenos Aires, 1981
manifestación;La manifestación es la expresión pública de una opinión, idea o sentimiento por parte de una persona o grupo de personas. En el ámbito del derecho civ.;"Termes a partir de:<br>Barros Bourie, E. y Rojas Covarrubias, N.: Responsabilidad por declaraciones y garantías contractuales, Universidad de Chile <a href=""https://www.u-cursos.cl/derecho/2010/1/D122A0627/1/material_docente/bajar?id_material=281510"" target=""_blank"">https://www.u-cursos.cl/derecho/2010/1/D122A0627/1/material_docente/bajar?id_material=281510</a> [16.04.2013].<p>Dryden, D.:<i> Warranty or representation? The £16.75 million question</i>, <a href=""http://www.olswang.com/articles/2013/02/warranty-or-representation-the-%C2%A31675-million-question/"" target=""_blank"">http://www.olswang.com/articles/2013/02/warranty-or-representation-the-%C2%A31675-million-question/</a> (artículo publicado en inglés) [16.04.2013].</p>";Variants: declaración, manifestación, representación | Domains: civil law | Context: Ref: Barros Bourie, E. y Rojas Covarrubias, N.: Responsabilidad por declaraciones y garantías contractuales, Universidad de Chile https://www.u-cursos.cl/derecho/2010/1/D122A0627/1/material_docente/bajar?id_material=281510 [16.04.2013]. | Ref: Diccionario LID de Empresa y Economía (11.ª ed.), Lid Editorial Empresarial, Madrid, 2007.Aguayo, J.: Las manifestaciones y garantías en el Derecho de contratos español, Editorial Civitas, Madrid, 2011.
legatario de cosa inmueble;El legatario de cosa inmueble es la persona a quien se le ha dejado una propiedad inmobiliaria en un testamento. Es decir, es la persona que hereda un.;"Consejo-ES; para el concepto de ""legatario"" en general: Cabanellas, G.: Diccionario Enciclopédico de Derecho Usual, Heliasta, Buenos Aires, 1981";"Variants: de bien inmueble, legatario, legatario de cosa inmueble, legatarios legataria legatarias | Domains: civil law | Context: Ref: ""legatario"": Código Civil, art. 660 (Gaceta de Madrid n.° 206 de 25-7-1889, p. 249) http://www.boe.es/aeboe/consultas/bases_datos/doc.php?id=BOE-A-1889-4763""legado de cosa inmueble"": Código Civil, art. 875 (Gaceta de Madrid n.° 206 de 25-7-1889, p. 249) http://www.boe.es/aeboe/consultas/bases_datos/doc.php?id=BOE-A-1889-4763 | Ref: Código Civil, art. 660 (Gaceta de Madrid n.° 206 de 25-7-1889, p. 249) http://www.boe.es/aeboe/consultas/bases_datos/doc.php?id=BOE-A-1889-4763"
