term;definition;source;info_semantica
derecho contractual;El derecho contractual se refiere al conjunto de normas jurídicas que regulan las relaciones entre partes que celebran acuerdos o contratos, estableciendo derechos y obligaciones mutuas.;Consejo-ES;Variants: derecho contractual | Domains: civil law | Context: Ref: Consejo Superior de Investigaciones Científicas, Instituto de Estudios Documentales sobre Ciencia y Tecnología, Tesauro SPINES, http://thes.cindoc.csic.es/alfa_jerarquico.php?thes=SPIN&term=DERECHO%20CONTRACTUAL
contrato de ayuda en un juicio con participación en el producto eventual;El término no tiene una definición específica en el contexto proporcionado. Sin embargo, según la información semántica, se puede inferir que se refiere a un acuerdo o contrato ilegal relacionado con la participación en un proceso legal, particularmente con respecto a la participación en los beneficios potenciales del caso.;"Cremades, Anne-Carole: ""La falta de recursos económicos para participar al arbitraje pactado"", apdo. 43, <i>Revista del Club Español del Arbitraje</i>, 8/2010, p. 151 <a href=""http://www.google.com/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;frm=1&amp;source=web&amp;cd=82&amp;cad=rja&amp;uact=8&amp;ved=0CCQQFjABOFA&amp;url=http%3A%2F%2Fwww.swlegal.ch%2FCMSPages%2FGetFile.aspx%3Fdisposition%3Dattachment%26guid%3Daf05daf9-5290-49ed-b12a-23fa07665758&amp;ei=-_nkU-eaD8OwO-vAgdgJ&amp;usg=AFQjCNFe9dHZdYUs0K7W-mJ520T2khv8TA"" target=""_blank"">http://www.google.com/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;frm=1&amp;source=web&amp;cd=82&amp;cad=rja&amp;uact=8&amp;ved=0CCQQFjABOFA&amp;url=http%3A%2F%2Fwww.swlegal.ch%2FCMSPages%2FGetFile.aspx%3Fdisposition%3Dattachment%26guid%3Daf05daf9-5290-49ed-b12a-23fa07665758&amp;ei=-_nkU-eaD8OwO-vAgdgJ&amp;usg=AFQjCNFe9dHZdYUs0K7W-mJ520T2khv8TA</a>";"Variants: champerty , contrato de ayuda en un juicio con participación en el producto eventual, pacto ilícito de cuota litis | Domains: civil law | Context: Ref: Beigbeder Atienza, F: Diccionario politécnico de las lenguas española e inglesa, V. 1 http://books.google.be/books?id=ZIU4-UjfzYcC&pg=PA244&lpg=PA244&dq=champerty&source=bl&ots=wW7RGflGw5&sig=jQU2dlDE5cex1fp18KKtdB4W39w&hl=en&sa=X&ei=_PfkU9oJx844-dSByA8&redir_esc=y#v=onepage&q=champerty&f=false | Usage: ""Pacto ilícito de cuota litis"" es más bien una paráfrasis de champerty en español, ya que no parece utilizarse como término por sí mismo. | Ref: Cremades, Anne-Carole: ""La falta de recursos económicos para participar al arbitraje pactado"", apdo. 43, Revista del Club Español del Arbitraje, 8/2010, p. 151 http://www.google.com/url?sa=t&rct=j&q=&esrc=s&frm=1&source=web&cd=82&cad=rja&uact=8&ved=0CCQQFjABOFA&url=http%3A%2F%2Fwww.swlegal.ch%2FCMSPages%2FGetFile.aspx%3Fdisposition%3Dattachment%26guid%3Daf05daf9-5290-49ed-b12a-23fa07665758&ei=-_nkU-eaD8OwO-vAgdgJ&usg=AFQjCNFe9dHZdYUs0K7W-mJ520T2khv8TA | Usage: Dado que se trata de un concepto del Derecho anglosajón sin traducción acuñada en español, parece conveniente utilizar el término inglés en cursiva y acompañarlo de la expresión perifrástica ""pacto ilícito de cuota litis"". | Ref: Robb, L. A.: Diccionario de términos legales.español-inglés e inglés-español, Editorial Limusa Wiley, México, 1965, citado en Termium Plus (base de datos terminológica del Gobierno de Canadá) http://www.btb.termiumplus.gc.ca/tpv2alpha/alpha-fra.html?lang=fra&i=1&index=alt&srchtxt=CHAMPARTY"
colación;La colación es la acción de devolver o restituir a la herencia o patrimonio de la persona fallecida ciertas cantidades de dinero, bienes o derechos que fueron dados como regalo o donación a sus descendientes durante su vida, con el fin de evitar que estos hereden una cantidad mayor de lo que les corresponde según la ley. Esto puede ocurrir cuando la ley establece que determinadas donaciones deben ser reintegradas a la herencia para asegurar la igualdad entre los herederos.;"1) Red Judicial Europea: Estudio de Derecho comparado sobre las normas de conflicto de jurisdicciones y de conflicto de leyes relativas a los testamentos y sucesiones en los Estados miembros de la Unión Europea, Carrión, P.: Estudio nacional de España, cuarta parte, letra G - Legítimas <a href=""http://ec.europa.eu/civiljustice/publications/docs/report_conflits_espagne.pdf"" target=""_blank"">http://ec.europa.eu/civiljustice/publications/docs/report_conflits_espagne.pdf</a><br>2) Código Civil español, art. 1035 (Gaceta de Madrid n.° 206 de 25-7-1889, p. 249) <a href=""http://www.boe.es/aeboe/consultas/bases_datos/doc.php?id=BOE-A-1889-4763"" target=""_blank"">http://www.boe.es/aeboe/consultas/bases_datos/doc.php?id=BOE-A-1889-4763</a>";"Variants: colación | Domains: civil law | Context: ""No se traerán a colación, sino cuando el padre lo disponga o perjudiquen a la legítima, los gastos que éste hubiere hecho para dar a sus hijos una carrera profesional o artística; pero cuando proceda colacionarlos, se rebajará de ellos lo que el hijo habría gastado viviendo en la casa y compañía de sus padres."" | Ref: Código Civil español, art. 1042 (Gaceta de Madrid n.° 206 de 25-7-1889, p. 249) http://www.boe.es/aeboe/consultas/bases_datos/doc.php?id=BOE-A-1889-4763 | Ref: Código Civil español, capítulo VI, sección primera (Gaceta de Madrid n.° 206 de 25-7-1889, p. 249) http://www.boe.es/aeboe/consultas/bases_datos/doc.php?id=BOE-A-1889-4763"
derecho de sucesión;El derecho de sucesión hace referencia a la facultad o derecho que tiene un heredero legítimo de recibir la herencia de un difunto, conforme a lo establecido en las leyes civiles y los acuerdos internacionales. El concepto se relaciona con la materia de sucesiones, que abarca todos los aspectos relativos a la transmisión de bienes y derechos después de la muerte del titular. Los derechos de sucesión son fundamentales en el derecho civil y están regulados por el código civil de cada país, así como por convenios internacionales como el Convenio de La Haya sobre la ley aplicable a las sucesiones por causa de muerte.;"Cabanellas, G.: Diccionario Enciclopédico de Derecho Usual, Heliasta, Buenos Aires, 1981 (voz ""derecho hereditario"")";Variants: derecho de sucesión | Domains: civil law | Context: Ref: Código Civil español, art. 846 (Gaceta de Madrid n.° 206 de 25-7-1889, p. 249) http://www.boe.es/aeboe/consultas/bases_datos/doc.php?id=BOE-A-1889-4763 Conferencia de La Haya de Derecho Internacional Privado: Convenio sobre la Ley Aplicable a las Sucesiones por causa de Muerte, art. 7.2.a) http://www.hcch.net/upload/conventions/txt32es.pdf
tutela judicial civil;"""La tutela civil se refiere a la protección legal que se brinda a los individuos o entidades para mitigar o evitar la lesión a sus derechos, intereses o prerrogativas jurídicas, mediante remedios pertenecientes al derecho sustancial, separados de la tutela jurisdiccional.""";"Consejo-ES, a partir de la Real Academia Española: <a href=""https://dej.rae.es/lema/orden-jurisdiccional-civil"" target=""_blank""><em>Diccionario de español jurídico</em>, «orden jurisdiccional civil» <time datetime=""13.5.2020""> (13.5.2020)</time></a>";"Variants: reparación civil, resarcimiento civil, tutela civil, tutela judicial civil | Domains: civil law | Context: Es indicado establecer, a escala de la Unión, normas destinadas a aproximar las legislaciones de los Estados miembros, a fin de asegurar un nivel de tutela judicial civil suficiente y coherente en todo el mercado interior para los supuestos de obtención, utilización o revelación ilícitas de secretos comerciales. | Ref: Directiva (UE) 2016/943 relativa a la protección de los conocimientos técnicos y la información empresarial no divulgados (secretos comerciales) contra su obtención, utilización y revelación ilícitas | Ref: Directiva (UE) 2016/943 relativa a la protección de los conocimientos técnicos y la información empresarial no divulgados (secretos comerciales) contra su obtención, utilización y revelación ilícitas | En este contexto, además de proporcionar directrices sobre la DRDPI, la Comisión insta a los Estados miembros a redoblar sus esfuerzos para proporcionar una reparación civil efectiva y previsible contra las infracciones de la PI en la UE de conformidad con la DRDPI, y apoyará dichos esfuerzos. De hecho, una mayor transparencia y previsibilidad serían de gran beneficio, en particular para las pymes. Facilitaría su acceso a la justicia y ayudaría a promover la implantación de regímenes de seguro ante posibles litigios de PI asequibles. | Ref: Comunicación de la Comisión: Un sistema equilibrado de garantía de cumplimiento en materia de propiedad intelectual en respuesta a los retos sociales actuales | Ref: Directiva (UE) 2019/1937 relativa a la protección de las personas que informen sobre infracciones del Derecho de la Unión | Tutela civil y tutela jurisdiccional: Precisar en qué consiste la tutela de los derechos resulta difícil. Este término no presenta un significado unívoco; tal expresión se utiliza tal expresión en múltiples acepciones y se emplean sinónimos que evocan realidades muy diferentes (garantía, protección, etc.). En el ámbito civil, es común entender que solo cabe la heterotutela. La existencia de una tutela cuya fisonomía responde a los moldes resultantes de la ley procesal civil y, en consecuencia, solo puede resultar asegurada por aquellos órganos que dentro de la estructura del Estado tienen encomendada la función jurisdiccional. […] Existe, […] [sin embargo], la posibilidad de hablar de una tutela civil desconectada de aquella jurisdiccional, lo que es tanto como decir que al lado de la tutela procesal existen remedios pertenecientes al derecho sustancial, capaces de mitigar o evitar la lesión a un derecho, interés o prerrogativa jurídica. | Ref: Díaz Moreno, A.: «El sentido y alcance de la plenitud jurisdiccional con referencia al derecho español (La tutela de los derechos)», Opinión Jurídica , Universidad de Medellín, 2013 (13.5.2020) | Ref: Ley Orgánica 5/2010 por la que se modifica el Código Penal (BOE n.º 152, de 23.6.2010) (13.5.2020) | (1) Estas dudas fueron resueltas por el Tribunal Constitucional italiano en su importante Sentencia 184 de 1986, de fecha 30 de junio, que […] suponía una nueva lectura de todo el sistema de resarcimiento civil en pro del reconocimiento del derecho a la salud […].(2) En cualquier caso, todo denunciante que sufra cualquier tipo de represalia debe tener la posibilidad de denunciarlo y ser resarcido, de conformidad con el Derecho nacional de cada Estado miembro. Dentro de las fórmulas para el resarcimiento se encuentran: la readmisión en caso de despido, la reposición a las condiciones laborales anteriores, las indemnizaciones por pérdidas de salario o ingresos, o las compensaciones de daños y perjuicios de cualquier tipo, incluidos morales. | Ref: (1) Cruz Martínez, A.: Responsabilidad civil por daños personales. baremos de valoración y sus principales problemas en derecho español , Universidad Carlos III de Madrid (13.5.2020) (2) Garrigues: Aprobada la Directiva 'whistleblowing' que obliga a incorporar canales de denuncia en las empresas (4.2.2021) , Alerta laboral España, 9.10.2019 | Ref: Moreno Fernández, L: Responsabilidad civil de los administradores de sociedades mercantiles, Universidad de Girona (13.5.2020) | Usage: La voz «resarcimiento», sin el calificativo de «civil» ya evoca el orden jurisdiccional civil, puesto que el concepto «resarcimiento de daños y perjuicios» se halla encuadrado en el sistema de protección de dicho orden."
amenaza para el orden público;"La definición del término ""amenaza para el orden público"" es la siguiente:";"Consejo-ES a partir de:<div>Real Academia Española y Consejo General del Poder Judicial: <i>Diccionario panhispánico del español jurídico, </i>2020, <a href=""https://dpej.rae.es/lema/orden-p%C3%BAblico"" target=""_blank"">«orden público»<time datetime=""14.12.2020""> (14.12.2020)</time></a>.</div> | González Campos, J.D. y Fernández Rozas, J.C.: <a href=""https://www.researchgate.net/publication/31514248_Orden_publico_como_correctivo_funcional_articulo_12_apartado_3_del_Codigo_Civil"" target=""_blank"">«Artículo 12, apartado 3 del Código Civil»<time datetime=""14.12.2020""> (14.12.2020)</time></a>, en Albaladejo, M. y Díaz Alabart, S. (eds.): <i>Comentarios al Código civil y Compilaciones forales</i>, tomo I, vol. 2, Jaén, Edersa, 1995, pp. 894-826.";Variants: amenaza para el orden público | Domains: civil law | Context: Ref: Reglamento (UE) 2016/399 del Parlamento Europeo y del Consejo, de 9 de marzo de 2016, por el que se establece un Código de normas de la Unión para el cruce de personas por las fronteras (Código de fronteras Schengen) (DO L 077 de 23.3.2016, p. 1).
procedimiento civil;El procedimiento civil es el conjunto de normas y reglas que rigen la presentación, desarrollo y resolución de las reclamaciones judiciales relacionadas con la aplicación de las normas de derecho privado, incluyendo la organización de los órganos jurisdiccionales y la regulación de las relaciones entre partes en disputa. En otras palabras, es el marco legal que guía el proceso de resolver conflictos y controversias en materia civil y mercantil dentro de la justicia.;"Consejo-ES a partir de diversas fuentes:<div>- Iberley: <a href=""https://www.iberley.es/temas/derecho-procesal-civil-53611"" target=""_blank"">Temas, Civil, Derecho procesal civil <time datetime=""21.4.2020""> (21.4.2020)</time></a></div><div>- Enciclopedia jurídica, <a href=""http://www.enciclopedia-juridica.com/d/derecho-procesal-civil/derecho-procesal-civil.htm"" target=""_blank"">«derecho procesal civil»<time datetime=""22.4.2020""> (22.4.2020)</time></a></div><div>- Gascón Inchausti, F.: <a href=""https://eprints.ucm.es/56973/1/Derecho%20Procesal%20Civil%20-%20Fernando%20Gascon%20Inchausti%20-%202019.pdf"" target=""_blank""><i>Derecho procesal civil. Materiales para el estudio, </i>Universidad Complutense de Madrid, 2019-2020<time datetime=""16.4.2020""> (16.4.2020)</time></a></div>";"Variants: derecho procesal civil, procedimiento civil, proceso civil | Domains: civil law | Context: El procedimiento civil es uno de los ámbitos de la UE que ya estaba presente en el Tratado constitutivo de la Comunidad Económica Europea (TCEE, Tratado de Roma), cuyo artículo 220 proporcionaba el fundamento jurídico para la aproximación del Derecho procesal civil de los Estados miembros en un régimen de Derecho internacional público. | Ref: Documento de trabajo del Parlamento Europeo (Comisión de Asuntos Jurídicos) sobre el establecimiento de unas normas mínimas comunes para el procedimiento civil en la Unión Europea, 21.12.2015 (16.4.2020) | Ref: Gascón Inchausti, F.: Derecho procesal civil. Materiales para el estudio, Universidad Complutense de Madrid, 2019-2020 (16.4.2020) | Usage: Aunque el concepto
de derecho procesal civil es más amplio que el de procedimiento
civil, puesto que abarca, además de las normas por las que se rigen los
procedimientos, las cuestiones relativas a la organización judicial,
en ocasiones el término se utiliza con un sentido más restrictivo para hacer
referencia únicamente a las normas de procedimiento. | El procedimiento civil también está adquiriendo una perspectiva europea como resultado de la creciente influencia de la Unión Europea en este ámbito. […] Es evidente que hemos recorrido un largo camino desde aquellos días en que el procedimiento civil era visto como una rama meramente nacional del derecho. | Ref: Van Rhee, C.H.: «Evolución del derecho procesal civil en Europa: cómo el juez activo se convirtió en lo normal», Revista Chilena de Derecho y Ciencia Política , vol. 2, n.º 2, Universidad Católica de Temuco, 2011, pp. 11-40 (21.4.2020) | Ref: Van Rhee, C.H.: «Evolución del derecho procesal civil en Europa: cómo el juez activo se convirtió en lo normal», Revista Chilena de Derecho y Ciencia Política, vol. 2, n.º 2, Universidad Católica de Temuco, 2011, pp. 11-40 (21.4.2020) | Ref: Resolución del Parlamento Europeo, de 4 de julio de 2017, con recomendaciones destinadas a la Comisión sobre normas mínimas comunes del proceso civil en la Unión Europea, P8_TA(2017)0282"
responsabilidad delictual;"""La responsabilidad civil nacida de delito es una figura jurídica que surge cuando una acción u omisión delictiva causa un perjuicio material o moral a terceras personas, lo que da lugar a la obligación de reparar el daño sufrido por la víctima o sus causahabientes. Esta figura es una forma de responsabilidad civil que se origina en el incumplimiento de una norma penal, lo que diferencia de la responsabilidad contractual, que se basa en el incumplimiento de una obligación contractual."".";Cabanellas;Variants: responsabilidad civil nacida de delito, responsabilidad delictual | Domains: civil law | Context: Ref: Cabanellas, G.: Diccionario Enciclopédico de Derecho Usual, Heliasta, Buenos Aires, 1981 | Ref: Cabanellas, G.: Diccionario Enciclopédico de Derecho Usual, Heliasta, Buenos Aires, 1981
manifestación;La manifestación es una expresión pública o formal de opiniones, sentimientos o intenciones. En el contexto legal, se refiere a una declaración o representación hecha por alguien sobre algo, especialmente en relación con contratos o acuerdos legales.;"Termes a partir de:<br>Barros Bourie, E. y Rojas Covarrubias, N.: Responsabilidad por declaraciones y garantías contractuales, Universidad de Chile <a href=""https://www.u-cursos.cl/derecho/2010/1/D122A0627/1/material_docente/bajar?id_material=281510"" target=""_blank"">https://www.u-cursos.cl/derecho/2010/1/D122A0627/1/material_docente/bajar?id_material=281510</a> [16.04.2013].<p>Dryden, D.:<i> Warranty or representation? The £16.75 million question</i>, <a href=""http://www.olswang.com/articles/2013/02/warranty-or-representation-the-%C2%A31675-million-question/"" target=""_blank"">http://www.olswang.com/articles/2013/02/warranty-or-representation-the-%C2%A31675-million-question/</a> (artículo publicado en inglés) [16.04.2013].</p>";Variants: declaración, manifestación, representación | Domains: civil law | Context: Ref: Barros Bourie, E. y Rojas Covarrubias, N.: Responsabilidad por declaraciones y garantías contractuales, Universidad de Chile https://www.u-cursos.cl/derecho/2010/1/D122A0627/1/material_docente/bajar?id_material=281510 [16.04.2013]. | Ref: Diccionario LID de Empresa y Economía (11.ª ed.), Lid Editorial Empresarial, Madrid, 2007.Aguayo, J.: Las manifestaciones y garantías en el Derecho de contratos español, Editorial Civitas, Madrid, 2011.
legatario de cosa inmueble;"El término ""legatario de cosa inmueble"" se refiere a la persona que recibe un legado de una propiedad inmueble, como una casa o terreno, mediante un testamento o disposición testamentaria. En este contexto, el legatario tiene derecho a la posesión y disfrute de la propiedad inmueble mencionada en el testamento.";"Consejo-ES; para el concepto de ""legatario"" en general: Cabanellas, G.: Diccionario Enciclopédico de Derecho Usual, Heliasta, Buenos Aires, 1981";"Variants: de bien inmueble, legatario, legatario de cosa inmueble, legatarios legataria legatarias | Domains: civil law | Context: Ref: ""legatario"": Código Civil, art. 660 (Gaceta de Madrid n.° 206 de 25-7-1889, p. 249) http://www.boe.es/aeboe/consultas/bases_datos/doc.php?id=BOE-A-1889-4763""legado de cosa inmueble"": Código Civil, art. 875 (Gaceta de Madrid n.° 206 de 25-7-1889, p. 249) http://www.boe.es/aeboe/consultas/bases_datos/doc.php?id=BOE-A-1889-4763 | Ref: Código Civil, art. 660 (Gaceta de Madrid n.° 206 de 25-7-1889, p. 249) http://www.boe.es/aeboe/consultas/bases_datos/doc.php?id=BOE-A-1889-4763"
