"term";"definition";"retrieved_sources"
"contrato de ayuda en un juicio con participación en el producto eventual";"El contrato de ayuda en un juicio con participación en el producto eventual se refiere a un acuerdo entre dos partes donde una de ellas proporciona asistencia o apoyo en un proceso judicial a cambio de una participación en los beneficios o resultados del caso, si es que se resuelve favorablemente. Esto implica que la parte que proporciona la ayuda espera obtener una recompensa directamente relacionada con el éxito del proceso judicial.";"[""[\\""https://www.iberley.es/temas/derecho-procesal-civil-53611\\"", \\""http://www.enciclopedia-juridica.com/d/derecho-procesal-civil/derecho-procesal-civil.htm\\"", \\""https://eprints.ucm.es/56973/1/Derecho%20Procesal%20Civil%20-%20Fernando%20Gascon%20Inchausti%20-%202019.pdf\\""]"", ""[\\""https://www.iberley.es/temas/derecho-procesal-civil-53611\\"", \\""http://www.enciclopedia-juridica.com/d/derecho-procesal-civil/derecho-procesal-civil.htm\\"", \\""https://eprints.ucm.es/56973/1/Derecho%20Procesal%20Civil%20-%20Fernando%20Gascon%20Inchausti%20-%202019.pdf\\""]"", ""[\\""https://www.boe.es/buscar/act.php?id=BOE-A-2000-323&amp;tn=1&amp;p=20200229\\""]""]"
"procedimiento civil";"El derecho procesal civil es el conjunto de normas, técnicas y doctrinas que tratan de la presentación, desarrollo y solución de las reclamaciones planteadas ante los tribunales fundadas en la aplicación de normas de Derecho privado.";"[""[\\""https://www.iberley.es/temas/derecho-procesal-civil-53611\\"", \\""http://www.enciclopedia-juridica.com/d/derecho-procesal-civil/derecho-procesal-civil.htm\\"", \\""https://eprints.ucm.es/56973/1/Derecho%20Procesal%20Civil%20-%20Fernando%20Gascon%20Inchausti%20-%202019.pdf\\""]"", ""[\\""https://www.iberley.es/temas/derecho-procesal-civil-53611\\"", \\""http://www.enciclopedia-juridica.com/d/derecho-procesal-civil/derecho-procesal-civil.htm\\"", \\""https://eprints.ucm.es/56973/1/Derecho%20Procesal%20Civil%20-%20Fernando%20Gascon%20Inchausti%20-%202019.pdf\\""]"", ""[\\""https://www.boe.es/buscar/act.php?id=BOE-A-2000-323&amp;tn=1&amp;p=20200229\\""]""]"
"elección en forma de disposición mortis causa";"La elección en forma de disposición mortis causa se refiere a la designación de un beneficiario o heredero en un testamento o documento similar, que se realiza con el fin de determinar quién recibirá los bienes o propiedades de una persona después de su fallecimiento. Esta elección se realiza de acuerdo con las leyes y regulaciones vigentes en cada país o región, y puede variar dependiendo de las circunstancias específicas de cada caso. La elección en forma de disposición mortis causa es un aspecto importante del derecho de sucesiones y herencias, y puede tener implicaciones significativas para los beneficiarios y herederos designados.";"[""[\\""https://www.boe.es/buscar/act.php?id=BOE-A-2000-323&amp;tn=1&amp;p=20200229\\""]"", ""[\\""https://www.iberley.es/temas/derecho-procesal-civil-53611\\"", \\""http://www.enciclopedia-juridica.com/d/derecho-procesal-civil/derecho-procesal-civil.htm\\"", \\""https://eprints.ucm.es/56973/1/Derecho%20Procesal%20Civil%20-%20Fernando%20Gascon%20Inchausti%20-%202019.pdf\\""]"", ""[\\""https://www.iberley.es/temas/derecho-procesal-civil-53611\\"", \\""http://www.enciclopedia-juridica.com/d/derecho-procesal-civil/derecho-procesal-civil.htm\\"", \\""https://eprints.ucm.es/56973/1/Derecho%20Procesal%20Civil%20-%20Fernando%20Gascon%20Inchausti%20-%202019.pdf\\""]""]"
"sistema público de tramitación de reclamaciones";"El sistema público de tramitación de reclamaciones es un conjunto de normas, técnicas y doctrinas que regulan la presentación, desarrollo y resolución de las reclamaciones planteadas ante los tribunales, fundadas en la aplicación de normas de derecho privado. Este sistema permite la realización coactiva del derecho sustantivo civil y forma parte del derecho público, ya que implica el protagonismo de un tribunal como órgano del poder Judicial del Estado.";"[""[\\""https://www.boe.es/buscar/act.php?id=BOE-A-2000-323&amp;tn=1&amp;p=20200229\\""]"", ""[\\""https://www.iberley.es/temas/derecho-procesal-civil-53611\\"", \\""http://www.enciclopedia-juridica.com/d/derecho-procesal-civil/derecho-procesal-civil.htm\\"", \\""https://eprints.ucm.es/56973/1/Derecho%20Procesal%20Civil%20-%20Fernando%20Gascon%20Inchausti%20-%202019.pdf\\""]"", ""[\\""https://www.iberley.es/temas/derecho-procesal-civil-53611\\"", \\""http://www.enciclopedia-juridica.com/d/derecho-procesal-civil/derecho-procesal-civil.htm\\"", \\""https://eprints.ucm.es/56973/1/Derecho%20Procesal%20Civil%20-%20Fernando%20Gascon%20Inchausti%20-%202019.pdf\\""]""]"
"cónyuge superviviente";"ERROR: NVML_SUCCESS == r INTERNAL ASSERT FAILED at ""/pytorch/c10/cuda/CUDACachingAllocator.cpp"":1131, please report a bug to PyTorch. ";"[]"
"derechohabiente";"El derechohabiente es la persona que tiene derecho a recibir una herencia o legado, o a participar en una propiedad o beneficio en virtud de una ley, testamento o contrato. También se refiere a la persona que tiene derecho a recibir una indemnización o compensación por una pérdida o daño sufrido.";"[""[\\""https://www.iberley.es/temas/derecho-procesal-civil-53611\\"", \\""http://www.enciclopedia-juridica.com/d/derecho-procesal-civil/derecho-procesal-civil.htm\\"", \\""https://eprints.ucm.es/56973/1/Derecho%20Procesal%20Civil%20-%20Fernando%20Gascon%20Inchausti%20-%202019.pdf\\""]"", ""[\\""https://www.iberley.es/temas/derecho-procesal-civil-53611\\"", \\""http://www.enciclopedia-juridica.com/d/derecho-procesal-civil/derecho-procesal-civil.htm\\"", \\""https://eprints.ucm.es/56973/1/Derecho%20Procesal%20Civil%20-%20Fernando%20Gascon%20Inchausti%20-%202019.pdf\\""]"", ""[\\""https://www.boe.es/buscar/act.php?id=BOE-A-2000-323&amp;tn=1&amp;p=20200229\\""]""]"
"derecho de reversión";"El derecho de reversión es el derecho que tiene un tercero a recuperar una propiedad o bien que había sido transferido a otra persona, pero que no ha sido utilizada o ha sido objeto de un fraude.";"[""[\\""https://www.iberley.es/temas/derecho-procesal-civil-53611\\"", \\""http://www.enciclopedia-juridica.com/d/derecho-procesal-civil/derecho-procesal-civil.htm\\"", \\""https://eprints.ucm.es/56973/1/Derecho%20Procesal%20Civil%20-%20Fernando%20Gascon%20Inchausti%20-%202019.pdf\\""]"", ""[\\""https://www.iberley.es/temas/derecho-procesal-civil-53611\\"", \\""http://www.enciclopedia-juridica.com/d/derecho-procesal-civil/derecho-procesal-civil.htm\\"", \\""https://eprints.ucm.es/56973/1/Derecho%20Procesal%20Civil%20-%20Fernando%20Gascon%20Inchausti%20-%202019.pdf\\""]"", ""[\\""http://www.google.com/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;frm=1&amp;source=web&amp;cd=82&amp;cad=rja&amp;uact=8&amp;ved=0CCQQFjABOFA&amp;url=http%3A%2F%2Fwww.swlegal.ch%2FCMSPages%2FGetFile.aspx%3Fdisposition%3Dattachment%26guid%3Daf05daf9-5290-49ed-b12a-23fa07665758&amp;ei=-_nkU-eaD8OwO-vAgdgJ&amp;usg=AFQjCNFe9dHZdYUs0K7W-mJ520T2khv8TA\\""]""]"
"cláusula de lealtad";"La cláusula de lealtad es una disposición contractual que establece la obligación de ambas partes de actuar de buena fe y con lealtad mutua durante la vigencia del contrato. Se utiliza para proteger los intereses de las partes y garantizar que se cumplan los términos del acuerdo.";"[""[\\""https://www.boe.es/buscar/act.php?id=BOE-A-2000-323&amp;tn=1&amp;p=20200229\\""]"", ""[\\""https://www.iberley.es/temas/derecho-procesal-civil-53611\\"", \\""http://www.enciclopedia-juridica.com/d/derecho-procesal-civil/derecho-procesal-civil.htm\\"", \\""https://eprints.ucm.es/56973/1/Derecho%20Procesal%20Civil%20-%20Fernando%20Gascon%20Inchausti%20-%202019.pdf\\""]"", ""[\\""https://www.iberley.es/temas/derecho-procesal-civil-53611\\"", \\""http://www.enciclopedia-juridica.com/d/derecho-procesal-civil/derecho-procesal-civil.htm\\"", \\""https://eprints.ucm.es/56973/1/Derecho%20Procesal%20Civil%20-%20Fernando%20Gascon%20Inchausti%20-%202019.pdf\\""]""]"
"requerimiento europeo de pago";"El requerimiento europeo de pago es un mecanismo legal que permite a los consumidores solicitar el reembolso de una transacción comercial en caso de que se haya incurrido en fraude o estafa en el proceso de pago. Este mecanismo está regulado por las leyes de protección al consumidor en la Unión Europea y tiene como objetivo proteger a los consumidores de posibles fraudes en línea.";"[""[\\""http://www.google.com/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;frm=1&amp;source=web&amp;cd=82&amp;cad=rja&amp;uact=8&amp;ved=0CCQQFjABOFA&amp;url=http%3A%2F%2Fwww.swlegal.ch%2FCMSPages%2FGetFile.aspx%3Fdisposition%3Dattachment%26guid%3Daf05daf9-5290-49ed-b12a-23fa07665758&amp;ei=-_nkU-eaD8OwO-vAgdgJ&amp;usg=AFQjCNFe9dHZdYUs0K7W-mJ520T2khv8TA\\""]"", ""[\\""http://www.google.com/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;frm=1&amp;source=web&amp;cd=82&amp;cad=rja&amp;uact=8&amp;ved=0CCQQFjABOFA&amp;url=http%3A%2F%2Fwww.swlegal.ch%2FCMSPages%2FGetFile.aspx%3Fdisposition%3Dattachment%26guid%3Daf05daf9-5290-49ed-b12a-23fa07665758&amp;ei=-_nkU-eaD8OwO-vAgdgJ&amp;usg=AFQjCNFe9dHZdYUs0K7W-mJ520T2khv8TA\\""]"", ""[\\""http://www.google.com/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;frm=1&amp;source=web&amp;cd=82&amp;cad=rja&amp;uact=8&amp;ved=0CCQQFjABOFA&amp;url=http%3A%2F%2Fwww.swlegal.ch%2FCMSPages%2FGetFile.aspx%3Fdisposition%3Dattachment%26guid%3Daf05daf9-5290-49ed-b12a-23fa07665758&amp;ei=-_nkU-eaD8OwO-vAgdgJ&amp;usg=AFQjCNFe9dHZdYUs0K7W-mJ520T2khv8TA\\""]""]"
"Reglamento relativo a la competencia, el reconocimiento y la ejecución de resoluciones judiciales en materia matrimonial y de responsabilidad parental";"El Reglamento relativo a la competencia, el reconocimiento y la ejecución de resoluciones judiciales en materia matrimonial y de responsabilidad parental es un conjunto de normas y procedimientos que regulan la competencia, el reconocimiento y la ejecución de resoluciones judiciales en materia de matrimonio y responsabilidad parental. Se refiere a la organización y funcionamiento de los tribunales y a la regulación de la prueba en estos asuntos. Es una rama del derecho procesal civil que trata específicamente de la presentación, desarrollo y solución de las reclamaciones planteadas ante los tribunales en materia de matrimonio y responsabilidad parental. Este reglamento forma parte del derecho público y es un derecho adjetivo o complementario del derecho material en materia de matrimonio y responsabilidad parental.";"[""[\\""https://www.iberley.es/temas/derecho-procesal-civil-53611\\"", \\""http://www.enciclopedia-juridica.com/d/derecho-procesal-civil/derecho-procesal-civil.htm\\"", \\""https://eprints.ucm.es/56973/1/Derecho%20Procesal%20Civil%20-%20Fernando%20Gascon%20Inchausti%20-%202019.pdf\\""]"", ""[\\""https://www.iberley.es/temas/derecho-procesal-civil-53611\\"", \\""http://www.enciclopedia-juridica.com/d/derecho-procesal-civil/derecho-procesal-civil.htm\\"", \\""https://eprints.ucm.es/56973/1/Derecho%20Procesal%20Civil%20-%20Fernando%20Gascon%20Inchausti%20-%202019.pdf\\""]"", ""[\\""https://www.boe.es/buscar/act.php?id=BOE-A-2000-323&amp;tn=1&amp;p=20200229\\""]""]"
