"term";"definition";"retrieved_sources"
"contrato de ayuda en un juicio con participación en el producto eventual";"";"[""http://www.google.com/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;frm=1&amp;source=web&amp;cd=82&amp;cad=rja&amp;uact=8&amp;ved=0CCQQFjABOFA&amp;url=http%3A%2F%2Fwww.swlegal.ch%2FCMSPages%2FGetFile.aspx%3Fdisposition%3Dattachment%26guid%3Daf05daf9-5290-49ed-b12a-23fa07665758&amp;ei=-_nkU-eaD8OwO-vAgdgJ&amp;usg=AFQjCNFe9dHZdYUs0K7W-mJ520T2khv8TA""]"
"procedimiento civil";"El procedimiento civil es el conjunto de normas, técnicas y doctrina s que tratan de la presentación, desarrollo y soluciÃ³n de las reclamaciones planteadas ante los tribunal es fundadas en la aplicaciÃ³n de normas de Derecho privado. En cuanto el Derecho procesal civil hace posible la realizaciÃ³n coactiva del derecho sustantivo civil en sentido amplio, se dice que es un derecho adjetivo o complementario del sustantivo o del derecho material ( Derecho civil, Derecho mercantil, etc.). Por cuanto el Derecho procesal civil implica el protagonismo de un tribunal, como Ã³rgano del poder Judicial del Estado, se dice que el Derecho procesal forma parte del Derecho pÃºblico. A";"[""https://www.iberley.es/temas/derecho-procesal-civil-53611"", ""http://www.enciclopedia-juridica.com/d/derecho-procesal-civil/derecho-procesal-civil.htm"", ""https://eprints.ucm.es/56973/1/Derecho%20Procesal%20Civil%20-%20Fernando%20Gascon%20Inchausti%20-%202019.pdf""]"
"elección en forma de disposición mortis causa";"Elección en forma de disposición mortis causa";"[""http://www.hcch.net/index_es.php?act=conventions.text&amp;cid=62""]"
"sistema público de tramitación de reclamaciones";"";"[""https://www.fvmp.es/formacion/curso/atencion-y-tratamiento-de-quejas-y-reclamaciones-de-la-ciudadania/276/?l=es""]"
"cónyuge superviviente";"La Seguridad Social es un sistema de protección social que tiene como objetivo garantizar a los trabajadores y a sus familias un nivel de vida digno, en caso de enfermedad, accidente, maternidad, vejez, desempleo, etc.";"[""http://www.seg-social.es/Internet_1/Trabajadores/PrestacionesPension10935/Muerteysupervivencia/index.htm"", ""https://www.boe.es/buscar/doc.php?id=BOE-A-2015-11724""]"
"derechohabiente";"Derechohabiente: persona que posee derechos sobre una cosa, como el derecho de propiedad, el derecho de uso, el derecho de herencia, etc.";"[""http://dle.rae.es"", ""http://www.definiciones-de.com/Definicion/de/derechohabiente.php""]"
"derecho de reversión";"Tutela: Es la protección que el Estado da a los menores y a los incapaces, para que sean atendidos y cuidados por personas que sean dignas de su confianza.";"[""http://www.boe.es/buscar/doc.php?id=BOE-A-1889-4763""]"
"cláusula de lealtad";"Cláusula de fidelidad o cláusula de exclusividad es una cláusula que se incluye en un contrato de empleo para obligar al trabajador a permanecer en el empleo durante un período de tiempo determinado. Si el trabajador renuncia antes de ese período, deberá pagar una cantidad de dinero como compensación por la pérdida de beneficios que hubiera obtenido si hubiera permanecido en el empleo.";"[""https://docplayer.es/7612920-Contrato-de-gestion-naval-criterios-para-la-determinacion-del-regimen-juridico.html""]"
"requerimiento europeo de pago";"1. Requerimiento europeo de pago: requerimiento expedido por un órgano jurisdiccional de un Estado miembro en el marco del proceso monitorio europeo, que se refiere a un crédito que se haya originado en otro Estado miembro. 2. Proceso monitorio europeo: procedimiento judicial que permite a un demandante que resida en un Estado miembro solicitar a un órgano jurisdiccional de otro Estado miembro la expedición de un requerimiento europeo de pago. 3. Procedimiento civil ordinario: procedimiento judicial que se lleva a cabo en un Estado miembro en el marco de un proceso civil ordinario. 4. Procedimiento civil ordinario sin proceso monitorio europeo previo: procedimiento judicial que se lleva a cabo en un Estado miembro";"[""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32006R1896""]"
"Reglamento relativo a la competencia, el reconocimiento y la ejecución de resoluciones judiciales en materia matrimonial y de responsabilidad parental";"Reglamento relativo a la competencia, el reconocimiento y la ejecución de resoluciones judiciales en materia matrimonial y de responsabilidad parental";"[""https://op.europa.eu/es/publication-detail/-/publication/f7d39509-3f10-4ae2-b993-53ac6b9f93ed""]"
"cónyuge sobreviviente";"La Seguridad Social es un sistema de protección social que tiene como objetivo garantizar a los trabajadores y a sus familias un nivel de vida digno, en caso de enfermedad, accidente, maternidad, vejez, desempleo, etc.";"[""http://www.seg-social.es/Internet_1/Trabajadores/PrestacionesPension10935/Muerteysupervivencia/index.htm"", ""https://www.boe.es/buscar/doc.php?id=BOE-A-2015-11724""]"
"declaración que cumple los requisitos formales de las disposiciones por causa de muerte";"";"[""http://www.hcch.net/index_es.php?act=conventions.text&amp;cid=62""]"
"Ley de Enjuiciamiento Civil";"";"[""https://www.boe.es/buscar/act.php?id=BOE-A-2000-323&amp;tn=1&amp;p=20200229""]"
"champerty";"Champerty is the act of a third party funding a lawsuit in exchange for a share of the proceeds. It is a form of maintenance and is prohibited by law in many jurisdictions.";"[""http://www.google.com/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;frm=1&amp;source=web&amp;cd=82&amp;cad=rja&amp;uact=8&amp;ved=0CCQQFjABOFA&amp;url=http%3A%2F%2Fwww.swlegal.ch%2FCMSPages%2FGetFile.aspx%3Fdisposition%3Dattachment%26guid%3Daf05daf9-5290-49ed-b12a-23fa07665758&amp;ei=-_nkU-eaD8OwO-vAgdgJ&amp;usg=AFQjCNFe9dHZdYUs0K7W-mJ520T2khv8TA""]"
"pacto ilícito de cuota litis";"Pacto ilícito de cuota litis";"[""http://www.google.com/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;frm=1&amp;source=web&amp;cd=82&amp;cad=rja&amp;uact=8&amp;ved=0CCQQFjABOFA&amp;url=http%3A%2F%2Fwww.swlegal.ch%2FCMSPages%2FGetFile.aspx%3Fdisposition%3Dattachment%26guid%3Daf05daf9-5290-49ed-b12a-23fa07665758&amp;ei=-_nkU-eaD8OwO-vAgdgJ&amp;usg=AFQjCNFe9dHZdYUs0K7W-mJ520T2khv8TA""]"
"sistema de reclamación pública";"Sistema de reclamación pública: es un sistema que permite a los ciudadanos presentar reclamaciones ante las autoridades públicas. Este sistema tiene como objetivo garantizar la transparencia y la eficacia en la resolución de las reclamaciones.";"[""https://www.fvmp.es/formacion/curso/atencion-y-tratamiento-de-quejas-y-reclamaciones-de-la-ciudadania/276/?l=es""]"
