term;definition;source
derecho contractual;Parte del Derecho Civil que se refiere a los contratos.;Consejo-ES
contrato de ayuda en un juicio con participación en el producto eventual;Financiación de un pleito por un tercero a cambio de una parte de lo recaudado.;"Cremades, Anne-Carole: ""La falta de recursos económicos para participar al arbitraje pactado"", apdo. 43, <i>Revista del Club Español del Arbitraje</i>, 8/2010, p. 151 <a href=""http://www.google.com/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;frm=1&amp;source=web&amp;cd=82&amp;cad=rja&amp;uact=8&amp;ved=0CCQQFjABOFA&amp;url=http%3A%2F%2Fwww.swlegal.ch%2FCMSPages%2FGetFile.aspx%3Fdisposition%3Dattachment%26guid%3Daf05daf9-5290-49ed-b12a-23fa07665758&amp;ei=-_nkU-eaD8OwO-vAgdgJ&amp;usg=AFQjCNFe9dHZdYUs0K7W-mJ520T2khv8TA"" target=""_blank"">http://www.google.com/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;frm=1&amp;source=web&amp;cd=82&amp;cad=rja&amp;uact=8&amp;ved=0CCQQFjABOFA&amp;url=http%3A%2F%2Fwww.swlegal.ch%2FCMSPages%2FGetFile.aspx%3Fdisposition%3Dattachment%26guid%3Daf05daf9-5290-49ed-b12a-23fa07665758&amp;ei=-_nkU-eaD8OwO-vAgdgJ&amp;usg=AFQjCNFe9dHZdYUs0K7W-mJ520T2khv8TA</a>"
colación;"1) Situación que se da cuando varios herederos forzosos <a href=""/entry/result/1131737/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:1131737</a> concurren en una misma sucesión <a href=""/entry/result/798044/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:798044</a> y por virtud de ella cada uno tiene el deber de recibir de menos en la masa hereditaria <a href=""/entry/result/221254/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:221254</a> un importe igual a lo que hubiese recibido en vida del causante <a href=""/entry/result/2217762/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:2217762</a> por título gratuito.<br>2) ""El heredero forzoso que concurra, con otros que también lo sean, a una sucesión deberá traer a la masa hereditaria los bienes o valores que hubiese recibido del causante de la herencia, en vida de éste, por dote, donación u otro título lucrativo, para computarlo en la regulación de las legítimas y en la cuenta de partición.""";"1) Red Judicial Europea: Estudio de Derecho comparado sobre las normas de conflicto de jurisdicciones y de conflicto de leyes relativas a los testamentos y sucesiones en los Estados miembros de la Unión Europea, Carrión, P.: Estudio nacional de España, cuarta parte, letra G - Legítimas <a href=""http://ec.europa.eu/civiljustice/publications/docs/report_conflits_espagne.pdf"" target=""_blank"">http://ec.europa.eu/civiljustice/publications/docs/report_conflits_espagne.pdf</a><br>2) Código Civil español, art. 1035 (Gaceta de Madrid n.° 206 de 25-7-1889, p. 249) <a href=""http://www.boe.es/aeboe/consultas/bases_datos/doc.php?id=BOE-A-1889-4763"" target=""_blank"">http://www.boe.es/aeboe/consultas/bases_datos/doc.php?id=BOE-A-1889-4763</a>"
derecho de sucesión;El derecho patrimonial que una persona tiene sobre los bienes de otra por el hecho de la muerte de ésta, en virtud de un título legal, de llamamiento testamentario o por ambas causas.;"Cabanellas, G.: Diccionario Enciclopédico de Derecho Usual, Heliasta, Buenos Aires, 1981 (voz ""derecho hereditario"")"
tutela judicial civil;"Derecho a la <a href=""https://iate.europa.eu/entry/result/803722/es"" target=""_blank"">tutela judicial</a>, en el orden civil, en materias propias del derecho privado, así como en todas aquellas materias cuyo conocimiento no venga expresamente atribuido a otro orden jurisdiccional.";"Consejo-ES, a partir de la Real Academia Española: <a href=""https://dej.rae.es/lema/orden-jurisdiccional-civil"" target=""_blank""><em>Diccionario de español jurídico</em>, «orden jurisdiccional civil» <time datetime=""13.5.2020""> (13.5.2020)</time></a>"
amenaza para el orden público;Toda circunstancia que suponga un riesgo para la situación de paz social y seguridad que permite el normal desarrollo de la convivencia, el normal funcionamiento de las instituciones y el ejercicio de los derechos y el cumplimiento de las obligaciones.;"Consejo-ES a partir de:<div>Real Academia Española y Consejo General del Poder Judicial: <i>Diccionario panhispánico del español jurídico, </i>2020, <a href=""https://dpej.rae.es/lema/orden-p%C3%BAblico"" target=""_blank"">«orden público»<time datetime=""14.12.2020""> (14.12.2020)</time></a>.</div> | González Campos, J.D. y Fernández Rozas, J.C.: <a href=""https://www.researchgate.net/publication/31514248_Orden_publico_como_correctivo_funcional_articulo_12_apartado_3_del_Codigo_Civil"" target=""_blank"">«Artículo 12, apartado 3 del Código Civil»<time datetime=""14.12.2020""> (14.12.2020)</time></a>, en Albaladejo, M. y Díaz Alabart, S. (eds.): <i>Comentarios al Código civil y Compilaciones forales</i>, tomo I, vol. 2, Jaén, Edersa, 1995, pp. 894-826."
procedimiento civil;Rama del derecho que regula la presentación, desarrollo y solución de las reclamaciones planteadas ante los órganos jurisdiccionales fundadas en la aplicación de las normas de derecho privado y que determina los presupuestos, contenido y efectos de la relación jurídico-procesal en todas las materias civiles y mercantiles, así como la organización de los órganos jurisdiccionales del orden civil.;"Consejo-ES a partir de diversas fuentes:<div>- Iberley: <a href=""https://www.iberley.es/temas/derecho-procesal-civil-53611"" target=""_blank"">Temas, Civil, Derecho procesal civil <time datetime=""21.4.2020""> (21.4.2020)</time></a></div><div>- Enciclopedia jurídica, <a href=""http://www.enciclopedia-juridica.com/d/derecho-procesal-civil/derecho-procesal-civil.htm"" target=""_blank"">«derecho procesal civil»<time datetime=""22.4.2020""> (22.4.2020)</time></a></div><div>- Gascón Inchausti, F.: <a href=""https://eprints.ucm.es/56973/1/Derecho%20Procesal%20Civil%20-%20Fernando%20Gascon%20Inchausti%20-%202019.pdf"" target=""_blank""><i>Derecho procesal civil. Materiales para el estudio, </i>Universidad Complutense de Madrid, 2019-2020<time datetime=""16.4.2020""> (16.4.2020)</time></a></div>"
responsabilidad delictual;"""...delictual"": ""Denominación que algunos civilistas utilizan para abreviación de la más conocida como ""responsabilidad civil nacida de delito"""". ""...civil nacida de delito"": ""La acción u omisión delictiva, la castigada con una pena, produce casi inevitablemente un perjuicio material o moral, que merece ser reparado para satisfacer, junto con el interés social que se concreta en la sanción criminal, la lesión patrimonial o afectiva que la víctima o sus causahabientes experimentan"".";Cabanellas
manifestación;Afirmación sobre hechos o cuestiones de derecho mediante las que una de las partes induce a la otra a firmar un contrato. Se realizan en la fase previa a la firma pero pueden repetirse e corporase en los contratos.<br>Deben ser veraces puesto que, de no serlo, dan derecho a la rescisión del contrato y a indemnizaciones para que la parte compradora vuelva a encontrarse en la misma posición en la que se encontraba antes de la firma del contrato.;"Termes a partir de:<br>Barros Bourie, E. y Rojas Covarrubias, N.: Responsabilidad por declaraciones y garantías contractuales, Universidad de Chile <a href=""https://www.u-cursos.cl/derecho/2010/1/D122A0627/1/material_docente/bajar?id_material=281510"" target=""_blank"">https://www.u-cursos.cl/derecho/2010/1/D122A0627/1/material_docente/bajar?id_material=281510</a> [16.04.2013].<p>Dryden, D.:<i> Warranty or representation? The £16.75 million question</i>, <a href=""http://www.olswang.com/articles/2013/02/warranty-or-representation-the-%C2%A31675-million-question/"" target=""_blank"">http://www.olswang.com/articles/2013/02/warranty-or-representation-the-%C2%A31675-million-question/</a> (artículo publicado en inglés) [16.04.2013].</p>"
legatario de cosa inmueble;"Persona a quien por testamento <a href=""/entry/result/1130370/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:1130370</a> se deja en legado <a href=""/entry/result/2146839/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:2146839</a> un bien inmueble <a href=""/entry/result/889825/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:889825</a> .";"Consejo-ES; para el concepto de ""legatario"" en general: Cabanellas, G.: Diccionario Enciclopédico de Derecho Usual, Heliasta, Buenos Aires, 1981"
