term;definition;source;info_semantica
transferencia de autoridad;"La transferencia de autoridad es un proceso por el cual las autoridades nacionales transfieren oficialmente el mando o control de sus fuerzas nacionales a un responsable de una operación multinacional. Este proceso se realiza con el fin de garantizar que las fuerzas nacionales estén bajo el mando y el control de un comandante internacionalmente reconocido, lo que permite una mayor coordinación y eficacia en las operaciones militares.

En el contexto de actividades militares, la transferencia de autoridad se utiliza para garantizar que las fuerzas nacionales estén bajo el mando y el control de un comandante internacionalmente reconocido, lo que permite una mayor coordinación y eficacia en las operaciones militares. Esto se logra mediante el establecimiento de un comando conjunto que supervisa y coordina las acciones de todas las fuerzas involucradas en la operación.

La transferencia de autoridad también puede ser utilizada en otros campos, como la gestión empresarial, donde se refiere al proces";Consejo-ES;Variants: transferencia de autoridad | Domains: INTERNATIONAL RELATIONS | Context: En el contexto de actividades militares, acto mediante el cual las autoridades nacionales transfieren oficialmente el mando o control de sus fuerzas nacionales a un responsable de una operación multinacional. | Ref: Consejo-ES
Informe anual general sobre las actividades de formación de la EESD;"The Annual Report on the Activities of the European Union Military Staff (EUMS) is a document that provides information about the activities and operations carried out by the EUMS in the previous year. The report covers a wide range of topics related to military affairs, including training, exercises, and missions. It also includes information about the structure and organization of the EUMS, as well as its relationship with other organizations within the European Union.

The purpose of the report is to provide transparency and accountability for the work of the EUMS. It is intended to be a comprehensive overview of the activities and achievements of the EUMS, as well as any challenges or obstacles it may have faced during the year. The report is designed to be accessible to a wide audience, including policymakers, military personnel, and members of the public.

The report typically begins with an introduction that provides an overview of the EUMS and its role within the European Union. This section may include information about the history and development of the EUMS, as well as its current mandate and responsibilities. The introduction may also discuss the overall objectives and priorities of the EUMS for the coming year.

The main body of the report is divided into several sections,";Consejo-ES;Variants: Informe anual general sobre las actividades de formación de la EESD | Domains: INTERNATIONAL RELATIONS | Context: Informe anual sobre las actividades de formación relacionadas con la Política Común de Seguridad y Defensa IATE:914172 , elaborados esencialmente a partir de información de la EESD IATE:920047 , la CEPOL IATE:915022 , el SEAE IATE:930934 , las misiones y operaciones de la PCSD, la Comisión Europea, la AED IATE:929753 , el Centro de Satélites de la UE IATE:924658 , Europol IATE:866550 , Frontex IATE:931577 y los Estados miembros. | Ref: Consejo-ES
estrategia europea en materia de armamento;"La estrategia europea en materia de armamento es una de las cuatro estrategias a largo plazo que se han desarrollado dentro del marco de la Agenda Europea de Seguridad y Defensa (ESD). La estrategia tiene como objetivo promover la cooperación entre los Estados miembros de la Unión Europea en materia de armamento, con el fin de mejorar su capacidad de autosuficiencia y de competitividad en este campo.

La estrategia se basa en tres pilares principales: cooperación, innovación y capacidad. En cuanto a la cooperación, se busca fomentar la colaboración entre los Estados miembros en el desarrollo y producción de armas, así como en la adquisición de equipos militares. En cuanto a la innovación, se pretende impulsar la investigación y el desarrollo de nuevas tecnologías en el sector de la defensa, con el objetivo de mantener la competitividad de la industria europea en este campo. Por último, en cuanto a la capacidad, se";Consejo-ES;Variants: estrategia europea en materia de armamento | Domains: INTERNATIONAL RELATIONS | Context: Una de las cuatro estrategias a largo plazo (junto con el Plan de Desarrollo de Capacidades IATE:2241824 , la estrategia de la base tecnológica e industrial de la defensa europea (BTID) IATE:897937 y la estrategia europea de investigación y tecnología de defensa IATE:2250300 ), de cuya elaboración se encarga la Agencia Europea de Defensa IATE:929753 . | Ref: Consejo-ES
curso de orientación PCSD;"Curso de orientación PCSD: es un curso impartido por la Escuela Europea de Seguridad y Defensa (EESEDE) para proporcionar a los participantes conocimientos generales sobre la Política Común de Seguridad y Defensa (PCSD) y propiciar la comprensión y la interacción entre las personas que actúan en dicho ámbito.

Explicación:

La Política Común de Seguridad y Defensa (PCSD) es un conjunto de políticas y medidas adoptadas por la Unión Europea (UE) para promover la seguridad y la defensa colectivas de sus miembros. La PCSD se basa en la idea de que la seguridad y la defensa son responsabilidades compartidas entre los Estados miembros de la UE y que la cooperación entre ellos es fundamental para garantizar la paz y la estabilidad en Europa y en el mundo.

El curso de orientación PCSD tiene como objetivo proporcionar a los participantes una visión general de la PCSD";"Consejo-ES. Véase<br>Informe de la Presidencia sobre la PESD, punto 118 (doc. 10415/08 del Consejo) <a href=""http://register.consilium.europa.eu/pdf/es/08/st10/st10415.es08.pdf"" target=""_blank"">http://register.consilium.europa.eu/pdf/es/08/st10/st10415.es08.pdf</a>";Variants: curso de orientación PCSD | Domains: INTERNATIONAL RELATIONS | Context: Curso impartido por la Escuela Europea de Seguridad y Defensa IATE:920047 para proporcionar a los participantes conocimientos generales sobre la Política Común de Seguridad y Defensa IATE:914172 y propiciar la comprensión y la interacción entre las personas que actúan en dicho ámbito. | Ref: Consejo-ES. Véase Informe de la Presidencia sobre la PESD, punto 118 (doc. 10415/08 del Consejo) http://register.consilium.europa.eu/pdf/es/08/st10/st10415.es08.pdf
plataforma militar;;"Consejo-ES a partir de diversas fuentes:<br><a href=""https://www.tecnologiaeinnovacion.defensa.gob.es/es-es/Estrategia/HojasDeRuta/Paginas/Plataformas.aspx"" target=""_blank"">Ministerio de Defensa - Portal de Tecnología e Innovación &gt; Estrategia de Tecnología e Innovación &gt; Líneas de I+D+i &gt; Plataformas<time datetime=""1.4.2022""> (1.4.2022)</time></a>. | Sánchez Álvarez, L.F.: <a href=""https://armada.defensa.gob.es/archivo/rgm/2016/11/RGM%20Noviembre%202016%20VF.pdf"" target=""_blank"">«Radiaciones electromagnéticas no ionizantes en la Armada»</a>, <i>Revista General de Marina, </i>noviembre de 2016, Ministerio de Defensa, p.643 <a href=""https://armada.defensa.gob.es/archivo/rgm/2016/11/RGM%20Noviembre%202016%20VF.pdf"" target=""_blank""><time datetime=""1.4.2022"">(1.4.2022)</time></a>.";Variants: plataforma militar | Domains: INTERNATIONAL RELATIONS | Context: Vehículo o instalación terrestre, naval, aérea o espacial que alberga equipos, tecnologías y sistemas para el desarrollo de una determinada función militar. | Ref: Consejo-ES a partir de diversas fuentes: Ministerio de Defensa - Portal de Tecnología e Innovación > Estrategia de Tecnología e Innovación > Líneas de I+D+i > Plataformas (1.4.2022) . | Sánchez Álvarez, L.F.: «Radiaciones electromagnéticas no ionizantes en la Armada» , Revista General de Marina, noviembre de 2016, Ministerio de Defensa, p.643 (1.4.2022) .
reconocimiento de minas;;"Estado Mayor de la Defensa, Traducción del Glosario OTAN de términos y definiciones, Madrid, agosto de 1996, voces ""reconocimiento"" y ""reconocimiento de materiales explosivos"".";"Variants: reconocimiento de minas | Domains: INTERNATIONAL RELATIONS | Context: Misión que se lleva a cabo con el fin de investigar, detectar, localizar, marcar e informar sobre la presencia de minas. | Ref: Estado Mayor de la Defensa, Traducción del Glosario OTAN de términos y definiciones, Madrid, agosto de 1996, voces ""reconocimiento"" y ""reconocimiento de materiales explosivos""."
NTMA;;"Consejo-ES; véase Declaración de la Cumbre de la OTAN (en inglés) <a href=""http://www.nato.int/cps/en/natolive/news_52836.htm"" target=""_blank"">http://www.nato.int/cps/en/natolive/news_52836.htm</a>";"Variants: NTMA | Domains: INTERNATIONAL RELATIONS | Context: Creada en la Cumbre de Estrasburgo de la OTAN (4-4-2009) en el marco de la Fuerza Internacional de Asistencia para la Seguridad IATE:926645 , con el fin de supervisar la enseñanza especializada del ejército nacional afgano y la formación y tutoría de la policía nacional afgana aprovechando las estructuras y sinergias existentes, en estrecha cooperación con la Junta Internacional de Coordinación Policial IATE:2232807 . | Ref: Consejo-ES; véase Declaración de la Cumbre de la OTAN (en inglés) http://www.nato.int/cps/en/natolive/news_52836.htm"
Experiencia Compartida y Evitación de Conflictos;"Experience Sharing and Conflict Avoidance (ESCA) is an international military group that serves as an informal forum for collaboration between the countries and organizations participating in anti-piracy operations off the coast of Somalia. Its main purpose is to facilitate the exchange of experience and communication. A military coordination mechanism co-chaired by the European Union and the Combined Maritime Forces, which includes the European Union, NATO and the Combined Maritime Forces in which China, Russia, Japan, India and other countries participate.

Contextual information:

The ESCA was established in 2009 to provide a platform for sharing experiences and avoiding conflicts among the various naval forces operating in the Gulf of Aden and the Indian Ocean. The ESCA is not a formal organization but rather a forum for cooperation and coordination among the different navies involved in anti-piracy operations.

The ESCA has been instrumental in promoting cooperation and coordination among the different navies involved in anti-piracy operations. It has helped to avoid conflicts and misunderstandings between the different navies, and has also provided a platform for sharing best practices and lessons learned.

The ESCA has";"Consejo-ES a partir de diversas fuentes. Véase, por ejemplo, EU NAVFOR. Somalia, <a href=""http://www.eunavfor.eu/2009/10/8th-shade-meeting-sees-largbest-international-participation-so-far/"" target=""_blank"">http://www.eunavfor.eu/2009/10/8th-shade-meeting-sees-largbest-international-participation-so-far/</a> [en inglés] [14-4-2010]<br>Naciones Unidas, UNTERM (base terminológica) <a href=""http://unterm.un.org/dgaacs/unterm.nsf/WebView/126CEF712A51E2F78525773F0068865D?OpenDocument"" target=""_blank"">http://unterm.un.org/dgaacs/unterm.nsf/WebView/126CEF712A51E2F78525773F0068865D?OpenDocument</a>";Variants: Experiencia Compartida y Evitación de Conflictos | Domains: INTERNATIONAL RELATIONS | Context: Grupo militar internacional constituido como foro de colaboración informal de los países y organizaciones que participan en las operaciones de antipiratería frente a las costas de Somalia. Su misión principal es facilitar el intercambio de experiencia y la comunicación. Mecanismo de coordinación militar copresidido por la Unión Europea y las Fuerzas Marítimas Combinadas, del que forman parte la UE, la OTAN y las Fuerzas Marítimas Combinadas en las que participan China, la Federación de Rusia, Japón, la India y otros países. | Ref: Consejo-ES a partir de diversas fuentes. Véase, por ejemplo, EU NAVFOR. Somalia, http://www.eunavfor.eu/2009/10/8th-shade-meeting-sees-largbest-international-participation-so-far/ [en inglés] [14-4-2010] Naciones Unidas, UNTERM (base terminológica) http://unterm.un.org/dgaacs/unterm.nsf/WebView/126CEF712A51E2F78525773F0068865D?OpenDocument
conflicto armado;"Conflicto armado es un conjunto variado de situaciones en que se producen hostilidades entre dos o más partes, que puede ser de carácter:

- nacional (si las partes enfrentadas son las fuerzas de seguridad del Estado y grupos de insurgentes armados, o grupos armados que luchan entre sí)
- internacional (si las hostilidades se producen entre dos o más Estados, con independencia de que haya habido o no una declaración de guerra o de que las partes reconozcan la existencia de un estado de guerra).";"ReliefWeb, <i>Glossary of Humanitarian Terms</i> (agosto de 2008) (solo en inglés) <a href=""https://reliefweb.int/sites/reliefweb.int/files/resources/4F99A3C28EC37D0EC12574A4002E89B4-reliefweb_aug2008.pdf"" target=""_blank"">https://reliefweb.int/sites/reliefweb.int/files/resources/4F99A3C28EC37D0EC12574A4002E89B4-reliefweb_aug2008.pdf</a> [7.9.2009].";Variants: conflicto armado | Domains: INTERNATIONAL RELATIONS | Context: Conjunto variado de situaciones en que se producen hostilidades entre dos o más partes, que puede ser de carácter: - nacional (si las partes enfrentadas son las fuerzas de seguridad del Estado y grupos de insurgentes armados, o grupos armados que luchan entre sí) - internacional (si las hostilidades se producen entre dos o más Estados, con independencia de que haya habido o no una declaración de guerra o de que las partes reconozcan la existencia de un estado de guerra). | Ref: ReliefWeb, Glossary of Humanitarian Terms (agosto de 2008) (solo en inglés) https://reliefweb.int/sites/reliefweb.int/files/resources/4F99A3C28EC37D0EC12574A4002E89B4-reliefweb_aug2008.pdf [7.9.2009].
jefe del Estado Mayor de la Defensa;El jefe del Estado Mayor de la Defensa es la persona que ejerce el mando de la estructura operativa de las fuerzas armadas, además de funciones de asesoramiento y apoyo militar.;"Consejo-ES a partir del Real Decreto 872/2014, de 10 de octubre, por el que se establece la organización básica de las Fuerzas Armadas, título I, art. 2 (BOE n.º 252 de 17.10.2014, p. 84086) <a href=""http://www.boe.es/boe/dias/2014/10/17/pdfs/BOE-A-2014-10520.pdf"" target=""_blank"">http://www.boe.es/boe/dias/2014/10/17/pdfs/BOE-A-2014-10520.pdf</a>";Variants: jefe del Estado Mayor de la Defensa | Domains: INTERNATIONAL RELATIONS | Context: Persona que ejerce el mando de la estructura operativa de las fuerzas armadas, además de funciones de asesoramiento y apoyo militar. | Ref: Consejo-ES a partir del Real Decreto 872/2014, de 10 de octubre, por el que se establece la organización básica de las Fuerzas Armadas, título I, art. 2 (BOE n.º 252 de 17.10.2014, p. 84086) http://www.boe.es/boe/dias/2014/10/17/pdfs/BOE-A-2014-10520.pdf
