term;definition;source;info_semantica
exposición en balance;Exposición en balance La exposición en balance se refiere a la presentación de los activos, pasivos, patrimonio y resultados financieros de una empres.;"<p>COM-ES, basado en:</p> <a href=""https://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:02013R0575-20190101"" target=""_blank"">Reglamento (UE) n.º 575/2013 del Parlamento Europeo y del Consejo sobre los requisitos prudenciales de las entidades de crédito y las empresas de inversión, y por el que se modifica el Reglamento (UE) n.º 648/2012 (DO L 176 de 27.6.2013, p. 1)</a>";"Variants: exposición en balance | Domains: FINANCE | Context: Exposición incluida en el balance. | Ref: <p>COM-ES, basado en:</p> <a href=""https://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:02013R0575-20190101"" target=""_blank"">Reglamento (UE) n.º 575/2013 del Parlamento Europeo y del Consejo sobre los requisitos prudenciales de las entidades de crédito y las empresas de inversión, y por el que se modifica el Reglamento (UE) n.º 648/2012 (DO L 176 de 27.6.2013, p. 1)</a>"
riesgo de refinanciación;El riesgo de refinanciación se refiere a la posibilidad de que una empresa o individuo no pueda cumplir con los pagos de sus deudas, lo que lleva a la.;"Directiva 2006/48/CE, relativa al acceso a la actividad de las entidades de crédito y a su ejercicio (refundición), anexo III, parte 1, punto 26 (DO L 177/2006, p. 1) <a href=""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32006L0048"" target=""_blank"">CELEX:32006L0048/ES</a>";"Variants: riesgo de refinanciación | Domains: FINANCE | Context: La cantidad por la cual la exposición positiva esperada <a href=""/entry/result/2244556/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:2244556</a> es infravalorada cuando se espera realizar operaciones futuras con una contraparte <a href=""/entry/result/858694/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:858694</a> de forma continua. La exposición adicional generada por esas operaciones futuras no se incluye en el cálculo de la EPE. | Ref: Directiva 2006/48/CE, relativa al acceso a la actividad de las entidades de crédito y a su ejercicio (refundición), anexo III, parte 1, punto 26 (DO L 177/2006, p. 1) <a href=""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32006L0048"" target=""_blank"">CELEX:32006L0048/ES</a>"
operación de pasivo;Operación de pasivo La operación de pasivo se refiere a la transacción financiera que implica la adquisición o venta de activos financieros con el obj.;ISTPB, Diccionario enciclopédico profesional de Finanzas y Banca, 1992.;"Variants: operación de pasivo | Domains: FINANCE | Context: ""Operación de obtención de recursos por parte de una entidad financiera, como puede ser a través de obligaciones, cuentas corrientes, cuentas a plazo, etc."" | Ref: ISTPB, Diccionario enciclopédico profesional de Finanzas y Banca, 1992."
pauta de colchón;La pauta de colchón es una herramienta utilizada en la contabilidad financiera para determinar los costos de producción de un producto, especialmente .;"Consejo-ES, a partir de los artículos 128.9 y 136.2 de la <a href=""https://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:02013L0036-20201229"" target=""_blank"">Directiva 2013/36/UE del Parlamento Europeo y del Consejo relativa al acceso a la actividad de las entidades de crédito y a la supervisión prudencial de las entidades de crédito y las empresas de inversión</a> (DO L 176 de 27.6.2013, p. 338),";"Variants: pauta de colchón | Domains: FINANCE | Context: Parámetro que la autoridad designada por cada Estado miembro debe calcular cada trimestre, en función de la desviación de la ratio créditos/PIB con respecto a su tendencia a largo plazo, y que le sirve de referencia para fijar el <a href=""https://iate.europa.eu/entry/result/3537889/es"" target=""_blank"">porcentaje del colchón anticíclico</a> correspondiente a las exposiciones ubicadas en su territorio.<div>La pauta de colchón debe: </div><div> - reflejar de manera transparente el ciclo crediticio y los riesgos derivados de todo crecimiento excesivo del crédito en el Estado miembro </div><div> - y tener debidamente en cuenta las particularidades de la economía nacional.</div> | Ref: Consejo-ES, a partir de los artículos 128.9 y 136.2 de la <a href=""https://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:02013L0036-20201229"" target=""_blank"">Directiva 2013/36/UE del Parlamento Europeo y del Consejo relativa al acceso a la actividad de las entidades de crédito y a la supervisión prudencial de las entidades de crédito y las empresas de inversión</a> (DO L 176 de 27.6.2013, p. 338),"
exposición en periodo de prueba;Exposición en período de prueba La exposición en período de prueba se refiere a la situación en la que una persona o entidad es sometida a pruebas o e.;"Consejo-ES, a partir del <a href=""https://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:02013R0575-20230628"" target=""_blank"">Reglamento (UE) n.º 575/2013 del Parlamento Europeo y del Consejo sobre los requisitos prudenciales de las entidades de crédito</a> (DO L 176 de 27.6.2013, p. 1), art. 47 <i>bis</i>.";"Variants: exposición en periodo de prueba | Domains: FINANCE | Context: Exposición que, tras haber estado clasificada como <a href=""https://iate.europa.eu/entry/result/3551988/es"" target=""_blank"">exposición dudosa</a>, pasa a una categoría intermedia, en la que permanece durante un periodo mínimo de dos años antes de poder adquirir, previo cumplimiento de una serie de condiciones, la categoría de <a href=""https://iate.europa.eu/entry/result/3551989/es"" target=""_blank"">exposición no dudosa</a>. | Ref: Consejo-ES, a partir del <a href=""https://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:02013R0575-20230628"" target=""_blank"">Reglamento (UE) n.º 575/2013 del Parlamento Europeo y del Consejo sobre los requisitos prudenciales de las entidades de crédito</a> (DO L 176 de 27.6.2013, p. 1), art. 47 <i>bis</i>."
Portugal, Irlanda, Italia, Grecia y España;Países europeos que han recibido financiamiento de la Unión Europea. Nota: La definición debe ser breve y precisa. No se requiere una descripción exte.;COM-ES a partir de diversas fuentes.;"Variants: Portugal, Irlanda, Italia, Grecia y España | Domains: FINANCE | Context: Sigla peyorativa, formada sobre la sigla PIGS [ <a href=""/entry/result/3548524/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:3548524</a> ], que designa, por sus iniciales en inglés, a Portugal, Irlanda, Italia, Grecia y España, países todos ellos con problemas en su balanzas de pagos y déficits públicos. | Ref: COM-ES a partir de diversas fuentes."
estrategia de resolución mediante transmisión;Estrategia de resolución mediante transmisión La estrategia de resolución mediante transmisión se refiere a la técnica utilizada por las instituciones.;"COM-ES, a partir de:<div>Banco de España &gt; Áreas de actuación &gt; Resolución &gt; <a href=""https://www.bde.es/wbe/es/areas-actuacion/resolucion/herramientas-resolucion/"" target=""_blank"">Herramientas de resolución<time datetime=""4.8.2023""> (4.8.2023)</time></a><br></div>";"Variants: estrategia de resolución mediante transmisión | Domains: FINANCE | Context: <a href=""https://iate.europa.eu/entry/result/3552830/es"" target=""_blank"">Medida de resolución</a> que implica la transmisión de activos o pasivos de una entidad inviable a una entidad puente o a una sociedad de getión de activos que operan bajo el control de la autoridad de resolución, de tal modo que se mantienen las funciones esenciales y la actividad de aquella hasta que se produce, en última instancia, su salida del mercado. | Ref: COM-ES, a partir de:<div>Banco de España &gt; Áreas de actuación &gt; Resolución &gt; <a href=""https://www.bde.es/wbe/es/areas-actuacion/resolucion/herramientas-resolucion/"" target=""_blank"">Herramientas de resolución<time datetime=""4.8.2023""> (4.8.2023)</time></a><br></div>"
vencimiento legal;El vencimiento legal se refiere a la fecha límite establecida por ley o contrato después de la cual una obligación, como un pago o entrega, debe ser c.;Documento de la Comisión: MARKT-2013-80020 - Propuesta de Reglamento del Parlamento Europeo y del Consejo sobre los fondos del mercado monetario. [16.9.2013];Variants: vencimiento legal | Domains: FINANCE | Context: Fecha en que debe reembolsarse íntegramente el principal de un valor, sin que pueda llevar aparejada ninguna posibilidad de elección. | Ref: Documento de la Comisión: MARKT-2013-80020 - Propuesta de Reglamento del Parlamento Europeo y del Consejo sobre los fondos del mercado monetario. [16.9.2013]
principio nominal;El principio nominal es la base de cálculo utilizada para determinar los rendimientos financieros de una inversión, generalmente expresados como porce.;"Propuesta de Directiva del Parlamento Europeo y del Consejo sobre la emisión de bonos garantizados y la supervisión pública de los bonos garantizados, y por la que se modifican la Directiva 2009/65/CE y la Directiva 2014/59/UE, COM(2018) 94 final, <a href=""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:52018PC0094"" target=""_blank"">CELEX:52018PC0094/ES</a> [18.7.2018]";"Variants: principio nominal | Domains: FINANCE | Context: Principio utilizado para el cálculo del nivel de cobertura requerido, según el cual el importe nominal total de todos los activos del conjunto de cobertura [ <a href=""/entry/result/3524199/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:3524199</a> ] es, al menos, igual al importe nominal total de los bonos garantizados pendientes [ <a href=""/entry/result/2234677/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:2234677</a> ]. | Ref: Propuesta de Directiva del Parlamento Europeo y del Consejo sobre la emisión de bonos garantizados y la supervisión pública de los bonos garantizados, y por la que se modifican la Directiva 2009/65/CE y la Directiva 2014/59/UE, COM(2018) 94 final, <a href=""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:52018PC0094"" target=""_blank"">CELEX:52018PC0094/ES</a> [18.7.2018]"
plan de resolución;Un plan de resolución es un conjunto de medidas y procedimientos diseñados para abordar y resolver problemas financieros o económicos complejos, espec.;"Banco de España,<a href=""https://www.bde.es/f/webbde/Secciones/Publicaciones/PublicacionesAnuales/MemoriaSupervisionBancaria/15/Cap_5.pdf"" target=""_blank""> Memoria de la supervisión bancaria en España (2015)<time datetime=""11.8.2020""> (11.8.2020)</time></a>.";"Variants: plan de resolución | Domains: FINANCE | Context: Plan que la <a href=""https://iate.europa.eu/entry/result/3527925/es"" target=""_blank"">autoridad de resolución</a> competente elabora para una <a href=""https://iate.europa.eu/entry/result/792555/es"" target=""_blank"">entidad de crédito</a>, una <a href=""https://iate.europa.eu/entry/result/858687/es"" target=""_blank"">empresa de servicios de inversión</a> o una <a href=""https://iate.europa.eu/entry/result/843493/es"" target=""_blank"">entidad de contrapartida central</a> en el que se define la estrategia probable que se ha de seguir para resolver, en caso necesario, la entidad y se describen las medidas que, llegado el momento, se podrían aplicar a tal efecto. | Ref: Banco de España,<a href=""https://www.bde.es/f/webbde/Secciones/Publicaciones/PublicacionesAnuales/MemoriaSupervisionBancaria/15/Cap_5.pdf"" target=""_blank""> Memoria de la supervisión bancaria en España (2015)<time datetime=""11.8.2020""> (11.8.2020)</time></a>."
