term;definition;source;info_semantica
exposición en balance;La exposición en balance se refiere a la inclusión de una exposición en el balance de una entidad financiera, generalmente como resultado de una operación de crédito o inversión que ha sido reconocida como activo o pasivo en sus estados financieros.;"<p>COM-ES, basado en:</p> <a href=""https://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:02013R0575-20190101"" target=""_blank"">Reglamento (UE) n.º 575/2013 del Parlamento Europeo y del Consejo sobre los requisitos prudenciales de las entidades de crédito y las empresas de inversión, y por el que se modifica el Reglamento (UE) n.º 648/2012 (DO L 176 de 27.6.2013, p. 1)</a>";Variants: exposición en balance | Domains: FINANCE | Context: Exposición incluida en el balance. | Ref: COM-ES, basado en: Reglamento (UE) n.º 575/2013 del Parlamento Europeo y del Consejo sobre los requisitos prudenciales de las entidades de crédito y las empresas de inversión, y por el que se modifica el Reglamento (UE) n.º 648/2012 (DO L 176 de 27.6.2013, p. 1)
riesgo de refinanciación;"La definición del término ""riesgo de refinanciación"" no está disponible en la información proporcionada. Sin embargo, se puede inferir que tiene relación con la exposición crediticia y el riesgo asociado con la refinanciación de activos o pasivos.";"Directiva 2006/48/CE, relativa al acceso a la actividad de las entidades de crédito y a su ejercicio (refundición), anexo III, parte 1, punto 26 (DO L 177/2006, p. 1) <a href=""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32006L0048"" target=""_blank"">CELEX:32006L0048/ES</a>";Variants: riesgo de refinanciación | Domains: FINANCE | Context: La cantidad por la cual la exposición positiva esperada IATE:2244556 es infravalorada cuando se espera realizar operaciones futuras con una contraparte IATE:858694 de forma continua. La exposición adicional generada por esas operaciones futuras no se incluye en el cálculo de la EPE. | Ref: Directiva 2006/48/CE, relativa al acceso a la actividad de las entidades de crédito y a su ejercicio (refundición), anexo III, parte 1, punto 26 (DO L 177/2006, p. 1) CELEX:32006L0048/ES
operación de pasivo;La operación de pasivo se refiere a la acción de obtener recursos financieros por parte de una entidad mediante la contratación de obligaciones, como pueden ser cuentas corrientes, cuentas a plazo o similares, con el objetivo de acceder a fondos necesarios para sus actividades. Esto implica la creación de pasivos financieros que deben ser atendidos en un futuro determinado. La operación de pasivo es un mecanismo comúnmente utilizado por empresas y organizaciones para financiar proyectos, cubrir déficits o mejorar su liquidez. En este contexto, los pasivos se consideran una fuente de financiamiento que debe ser gestionada adecuadamente para evitar problemas de solvencia y viabilidad.;ISTPB, Diccionario enciclopédico profesional de Finanzas y Banca, 1992.;"Variants: operación de pasivo | Domains: FINANCE | Context: ""Operación de obtención de recursos por parte de una entidad financiera, como puede ser a través de obligaciones, cuentas corrientes, cuentas a plazo, etc."" | Ref: ISTPB, Diccionario enciclopédico profesional de Finanzas y Banca, 1992."
pauta de colchón;"""El colchón de colchón se refiere a un parámetro calculado trimestralmente por la autoridad designada por cada Estado miembro, basado en la desviación de la relación créditos/PIB con respecto a su tendencia a largo plazo. Este parámetro se utiliza como referencia para determinar el porcentaje del colchón anticíclico aplicable a las exposiciones ubicadas dentro del territorio del Estado miembro. El colchón debe ser transparente y tener en cuenta las características específicas de la economía nacional.""";"Consejo-ES, a partir de los artículos 128.9 y 136.2 de la <a href=""https://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:02013L0036-20201229"" target=""_blank"">Directiva 2013/36/UE del Parlamento Europeo y del Consejo relativa al acceso a la actividad de las entidades de crédito y a la supervisión prudencial de las entidades de crédito y las empresas de inversión</a> (DO L 176 de 27.6.2013, p. 338),";Variants: pauta de colchón | Domains: FINANCE | Context: Parámetro que la autoridad designada por cada Estado miembro debe calcular cada trimestre, en función de la desviación de la ratio créditos/PIB con respecto a su tendencia a largo plazo, y que le sirve de referencia para fijar el porcentaje del colchón anticíclico correspondiente a las exposiciones ubicadas en su territorio. La pauta de colchón debe: - reflejar de manera transparente el ciclo crediticio y los riesgos derivados de todo crecimiento excesivo del crédito en el Estado miembro - y tener debidamente en cuenta las particularidades de la economía nacional. | Ref: Consejo-ES, a partir de los artículos 128.9 y 136.2 de la Directiva 2013/36/UE del Parlamento Europeo y del Consejo relativa al acceso a la actividad de las entidades de crédito y a la supervisión prudencial de las entidades de crédito y las empresas de inversión (DO L 176 de 27.6.2013, p. 338),
exposición en periodo de prueba;La exposición en período de prueba es una categoría intermedia utilizada en la contabilidad bancaria para describir una exposición que ha sido clasificada como dudosa pero que está siendo evaluada durante un período mínimo de dos años para determinar si puede ser considerada como no dudosa.;"Consejo-ES, a partir del <a href=""https://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:02013R0575-20230628"" target=""_blank"">Reglamento (UE) n.º 575/2013 del Parlamento Europeo y del Consejo sobre los requisitos prudenciales de las entidades de crédito</a> (DO L 176 de 27.6.2013, p. 1), art. 47 <i>bis</i>.";Variants: exposición en periodo de prueba | Domains: FINANCE | Context: Exposición que, tras haber estado clasificada como exposición dudosa , pasa a una categoría intermedia, en la que permanece durante un periodo mínimo de dos años antes de poder adquirir, previo cumplimiento de una serie de condiciones, la categoría de exposición no dudosa . | Ref: Consejo-ES, a partir del Reglamento (UE) n.º 575/2013 del Parlamento Europeo y del Consejo sobre los requisitos prudenciales de las entidades de crédito (DO L 176 de 27.6.2013, p. 1), art. 47 bis .
Portugal, Irlanda, Italia, Grecia y España;"El término ""Portugal, Irlanda, Italia, Grecia y España"" hace referencia a una sigla utilizada para describir a cinco países europeos que han enfrentado problemas económicos significativos, incluyendo dificultades en sus balanzas de pagos y déficits públicos. La sigla PIGS se utiliza comúnmente en contextos financieros y económicos para hacer referencia a estos países específicos. No hay información suficiente para proporcionar una definición más detallada.";COM-ES a partir de diversas fuentes.;Variants: Portugal, Irlanda, Italia, Grecia y España | Domains: FINANCE | Context: Sigla peyorativa, formada sobre la sigla PIGS [ IATE:3548524 ], que designa, por sus iniciales en inglés, a Portugal, Irlanda, Italia, Grecia y España, países todos ellos con problemas en su balanzas de pagos y déficits públicos. | Ref: COM-ES a partir de diversas fuentes.
estrategia de resolución mediante transmisión;"La definición del término ""estrategia de resolución mediante transmisión"" es:";"COM-ES, a partir de:<div>Banco de España &gt; Áreas de actuación &gt; Resolución &gt; <a href=""https://www.bde.es/wbe/es/areas-actuacion/resolucion/herramientas-resolucion/"" target=""_blank"">Herramientas de resolución<time datetime=""4.8.2023""> (4.8.2023)</time></a><br></div>";Variants: estrategia de resolución mediante transmisión | Domains: FINANCE | Context: Medida de resolución que implica la transmisión de activos o pasivos de una entidad inviable a una entidad puente o a una sociedad de getión de activos que operan bajo el control de la autoridad de resolución, de tal modo que se mantienen las funciones esenciales y la actividad de aquella hasta que se produce, en última instancia, su salida del mercado. | Ref: COM-ES, a partir de: Banco de España > Áreas de actuación > Resolución > Herramientas de resolución (4.8.2023)
vencimiento legal;"El término ""vencimiento legal"" hace referencia a la fecha en que un valor debe ser reembolsado íntegramente, sin opción de elección.";Documento de la Comisión: MARKT-2013-80020 - Propuesta de Reglamento del Parlamento Europeo y del Consejo sobre los fondos del mercado monetario. [16.9.2013];Variants: vencimiento legal | Domains: FINANCE | Context: Fecha en que debe reembolsarse íntegramente el principal de un valor, sin que pueda llevar aparejada ninguna posibilidad de elección. | Ref: Documento de la Comisión: MARKT-2013-80020 - Propuesta de Reglamento del Parlamento Europeo y del Consejo sobre los fondos del mercado monetario. [16.9.2013]
principio nominal;"El término ""principio nominal"" se refiere a un principio utilizado en la contabilidad financiera que establece que el importe nominal total de todos los activos de un conjunto de cobertura debe ser, al menos, igual al importe nominal total de los bonos garantizados pendientes. Este principio tiene como objetivo asegurar que el nivel de cobertura requerido sea adecuado.";"Propuesta de Directiva del Parlamento Europeo y del Consejo sobre la emisión de bonos garantizados y la supervisión pública de los bonos garantizados, y por la que se modifican la Directiva 2009/65/CE y la Directiva 2014/59/UE, COM(2018) 94 final, <a href=""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:52018PC0094"" target=""_blank"">CELEX:52018PC0094/ES</a> [18.7.2018]";Variants: principio nominal | Domains: FINANCE | Context: Principio utilizado para el cálculo del nivel de cobertura requerido, según el cual el importe nominal total de todos los activos del conjunto de cobertura [ IATE:3524199 ] es, al menos, igual al importe nominal total de los bonos garantizados pendientes [ IATE:2234677 ]. | Ref: Propuesta de Directiva del Parlamento Europeo y del Consejo sobre la emisión de bonos garantizados y la supervisión pública de los bonos garantizados, y por la que se modifican la Directiva 2009/65/CE y la Directiva 2014/59/UE, COM(2018) 94 final, CELEX:52018PC0094/ES [18.7.2018]
plan de resolución;"""Plan de resolución""";"Banco de España,<a href=""https://www.bde.es/f/webbde/Secciones/Publicaciones/PublicacionesAnuales/MemoriaSupervisionBancaria/15/Cap_5.pdf"" target=""_blank""> Memoria de la supervisión bancaria en España (2015)<time datetime=""11.8.2020""> (11.8.2020)</time></a>.";Variants: plan de resolución | Domains: FINANCE | Context: Plan que la autoridad de resolución competente elabora para una entidad de crédito , una empresa de servicios de inversión o una entidad de contrapartida central en el que se define la estrategia probable que se ha de seguir para resolver, en caso necesario, la entidad y se describen las medidas que, llegado el momento, se podrían aplicar a tal efecto. | Ref: Banco de España, Memoria de la supervisión bancaria en España (2015) (11.8.2020) .
