"term";"definition";"retrieved_sources"
"exposición en balance";"La exposición en balance es el proceso de presentar los activos, pasivos, patrimonio y resultados de una empresa o entidad en un estado financiero, como un balance general, que refleja su situación financiera en un momento determinado. Se utiliza para evaluar la salud financiera de la empresa, identificar posibles problemas y tomar decisiones informadas sobre su gestión. La exposición en balance es un aspecto fundamental de la contabilidad y la finanza, ya que permite a los inversores, acreedores y otros interesados obtener una visión clara de la situación financiera de la empresa. La exposición en balance se realiza mediante la presentación de los siguientes elementos: activos, pasivos, patrimonio y resultados. Los activos son los recursos que posee la empresa, como dinero, bienes y servicios. Los pasivos son las obligaciones que tiene la empresa, como deudas y compromisos. El patrimon";"[""[\\""http://eco-finanzas.com/conceptos.htm\\""]"", ""[\\""http://www.sanmartin.edu.co/academicos_new/contaduria/diccionario/DICCIONARIO_DE_TERMINOS_CONTABLES_S-Z.doc\\""]"", ""[\\""https://www.universidadviu.com/es/actualidad/nuestros-expertos/para-que-sirven-las-agencias-de-calificacion-crediticia-o-de-rating\\""]""]"
"riesgo de refinanciación";"El riesgo de refinanciación se refiere a la posibilidad de que una entidad financiera no pueda cumplir con sus obligaciones de pago a plazo, lo que podría provocar una crisis financiera y afectar negativamente a los inversores y al sistema financiero en general. El riesgo de refinanciación se puede mitigar mediante la aplicación de instrumentos de resolución, como la venta de la entidad a un banco puente o la creación de una sociedad de gestión de activos, que permiten preservar la actividad de la entidad y maximizar el valor de sus activos. El objetivo principal del riesgo de refinanciación es restablecer la situación patrimonial y de solvencia de la entidad a través de la amortización y conversión de instrumentos de deuda, y corregir las causas que produjeron su inviabilidad. El riesgo de refinanciación es un";"[""[\\""https://www.bde.es/wbe/es/areas-actuacion/resolucion/herramientas-resolucion/\\""]"", ""[\\""https://www.google.es/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;source=web&amp;cd=1&amp;cad=rja&amp;uact=8&amp;ved=0ahUKEwjd9OK0-8DXAhXIiRoKHRKrCmoQFggtMAA&amp;url=https%3A%2F%2Fwww.swift.com%2Fsites%2Fdefault%2Ffiles%2Fresources%2Fswift_compliance_infopaper_derisking_es.pdf&amp;usg=AOvVaw2CgNraZxVhYTbUD0xxZZdX\\""]"", ""[\\""http://www.google.com/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;frm=1&amp;source=web&amp;cd=4&amp;sqi=2&amp;ved=0CDIQFjAD&amp;url=http%3A%2F%2Fwww.asba-supervision.org%2Findex.php%3Foption%3Dcom_docman%26task%3Ddoc_download%26gid%3D331%26Itemid%3D6%26lang%3Des&amp;ei=4zgQT6LaFMaC8gOcqeGGBA&amp;usg=AFQjCNHVFtIbbLqZTBmaumszkW8bTQ0UuQ&amp;sig2=agscOZuyv_QUmRg97UQ9Pw\\""]""]"
"pauta de colchón";"La pauta de colchón se refiere a un patrón o diseño que se utiliza para crear un colchón, que puede variar en términos de grosor, densidad y materiales utilizados. La pauta de colchón puede ser determinada por factores como la calidad deseada, el presupuesto y las preferencias personales del usuario. En el contexto de la educación, la pauta de colchón puede referirse a un plan o estrategia para la enseñanza y el aprendizaje, que busca guiar el proceso de instrucción y evaluación de los estudiantes. En este sentido, la pauta de colchón se utiliza para establecer objetivos claros, estructurar el contenido y evaluar el progreso de los estudiantes. En resumen, la pauta de colchón se refiere a un patrón o plan que se utiliza para crear o guiar";"[""[\\""http://www.sanmartin.edu.co/academicos_new/contaduria/diccionario/DICCIONARIO_DE_TERMINOS_CONTABLES_S-Z.doc\\""]"", ""[\\""http://eco-finanzas.com/conceptos.htm\\""]"", ""[\\""http://www.santander.com/csgs/StaticBS?blobcol=urldata&amp;blobheadername1=content-type&amp;blobheadername2=Content-Disposition&amp;blobheadername3=appID&amp;blobheadervalue1=application%2Fpdf&amp;blobheadervalue2=inline%3Bfilename%3D496%5C57%5CEjercicio+2010.pdf&amp;blobheadervalue3=santander.wc.CFWCSancomQP01&amp;blobkey=id&amp;blobtable=MungoBlobs&amp;blobwhere=1278680775496&amp;ssbinary=true\\""]""]"
"exposición en periodo de prueba";"La exposición en periodo de prueba es un período durante el cual se evalúa la idoneidad de un producto, servicio o proyecto para su implementación o lanzamiento en el mercado. Durante este período, se realizan pruebas y análisis para determinar su eficacia, seguridad y viabilidad. El objetivo principal es identificar y resolver cualquier problema o debilidad antes de que se ponga en producción o se ofrezca al público. Este período permite a los desarrolladores y fabricantes recopilar retroalimentación valiosa, hacer ajustes y mejoras necesarias, y garantizar que el producto o servicio cumpla con los estándares y expectativas establecidos. La exposición en periodo de prueba es un paso crucial en el proceso de desarrollo y lanzamiento de nuevos productos o servicios, ya que ayuda a minimizar los riesgos y maximizar la calidad y satisfacción del usuario final.";"[""[\\""http://www.sanmartin.edu.co/academicos_new/contaduria/diccionario/DICCIONARIO_DE_TERMINOS_CONTABLES_S-Z.doc\\""]"", ""[\\""https://www.google.es/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;source=web&amp;cd=1&amp;cad=rja&amp;uact=8&amp;ved=0ahUKEwjd9OK0-8DXAhXIiRoKHRKrCmoQFggtMAA&amp;url=https%3A%2F%2Fwww.swift.com%2Fsites%2Fdefault%2Ffiles%2Fresources%2Fswift_compliance_infopaper_derisking_es.pdf&amp;usg=AOvVaw2CgNraZxVhYTbUD0xxZZdX\\""]"", ""[\\""http://www.google.com/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;frm=1&amp;source=web&amp;cd=4&amp;sqi=2&amp;ved=0CDIQFjAD&amp;url=http%3A%2F%2Fwww.asba-supervision.org%2Findex.php%3Foption%3Dcom_docman%26task%3Ddoc_download%26gid%3D331%26Itemid%3D6%26lang%3Des&amp;ei=4zgQT6LaFMaC8gOcqeGGBA&amp;usg=AFQjCNHVFtIbbLqZTBmaumszkW8bTQ0UuQ&amp;sig2=agscOZuyv_QUmRg97UQ9Pw\\""]""]"
"estrategia de resolución mediante transmisión";"La estrategia de resolución mediante transmisión es un mecanismo utilizado por las autoridades de resolución para transferir las funciones, activos y pasivos de una entidad inviable a un banco puente, controlado por la autoridad de resolución, con el objetivo de preservar la actividad de la entidad y maximizar su valor, evitando efectos adversos en los mercados financieros. El banco puente opera bajo el control de la autoridad de resolución y tiene un plazo máximo de dos años para vender la entidad. Si no se logra la venta, se procede a la liquidación de la entidad. La estrategia de resolución mediante transmisión también puede implicar la creación de una sociedad de gestión de activos para gestionar y vender activos y pasivos específicos de la entidad, con el objetivo de maximizar su valor y restaurar la situación patrimonial y de sol";"[""[\\""https://www.bde.es/wbe/es/areas-actuacion/resolucion/herramientas-resolucion/\\""]"", ""[\\""http://www.sanmartin.edu.co/academicos_new/contaduria/diccionario/DICCIONARIO_DE_TERMINOS_CONTABLES_S-Z.doc\\""]"", ""[\\""http://eco-finanzas.com/conceptos.htm\\""]""]"
"principio nominal";"El principio nominal es un concepto utilizado en la contabilidad y la finanza que se refiere a la valoración de activos y pasivos a su precio de adquisición o costo original, sin considerar cambios en su valor debido a inflación, depreciación o otros factores. En otras palabras, es el valor original asignado a un activo o pasivo cuando se adquiere o se crea, y se utiliza como base para determinar sus valores en las cuentas financieras. El principio nominal es importante en la contabilidad porque permite comparar los resultados financieros de diferentes períodos y evaluar la situación financiera de una empresa de manera consistente. También se utiliza en la finanza para determinar la liquidez y la solvencia de una empresa. En resumen, el principio nominal es un concepto fundamental en la contabilidad y la finanza que se utiliza para valorar activos y pasivos de acuerdo con su precio original.";"[""[\\""http://www.sanmartin.edu.co/academicos_new/contaduria/diccionario/DICCIONARIO_DE_TERMINOS_CONTABLES_S-Z.doc\\""]"", ""[\\""http://eco-finanzas.com/conceptos.htm\\""]"", ""[\\""http://eur-lex.europa.eu/legal-content/ES/ALL/?uri=CELEX:32015R0035\\""]""]"
"venta verdadera";"La venta verdadera es un instrumento de resolución que permite a las autoridades competentes vender una entidad (o partes de su negocio) a uno o más compradores, preservando la actividad de la entidad hasta que ésta sea vendida en un plazo máximo de dos años. Este instrumento también incluye la posibilidad de separar activos y pasivos de la entidad inviable y traspasarlos a una sociedad de gestión de activos para maximizar su valor y evitar efectos adversos en los mercados financieros. La venta verdadera busca restablecer la situación patrimonial y de solvencia de la entidad a través de la amortización y conversión de instrumentos de deuda, y requiere que la entidad se someta a un plan de restructuración para corregir las causas que produjeron su inviabilidad y restaurar su viabilidad futura........";"[""[\\""https://www.bde.es/wbe/es/areas-actuacion/resolucion/herramientas-resolucion/\\""]"", ""[\\""http://www.sanmartin.edu.co/academicos_new/contaduria/diccionario/DICCIONARIO_DE_TERMINOS_CONTABLES_S-Z.doc\\""]"", ""[\\""http://www.google.com/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;frm=1&amp;source=web&amp;cd=4&amp;sqi=2&amp;ved=0CDIQFjAD&amp;url=http%3A%2F%2Fwww.asba-supervision.org%2Findex.php%3Foption%3Dcom_docman%26task%3Ddoc_download%26gid%3D331%26Itemid%3D6%26lang%3Des&amp;ei=4zgQT6LaFMaC8gOcqeGGBA&amp;usg=AFQjCNHVFtIbbLqZTBmaumszkW8bTQ0UuQ&amp;sig2=agscOZuyv_QUmRg97UQ9Pw\\""]""]"
"ayuda financiera intragrupo";"La ayuda financiera intragrupo se refiere a la asistencia financiera proporcionada por una empresa a sus filiales o subsidiarias dentro del mismo grupo empresarial. Esto puede incluir préstamos, inversiones, subvenciones o cualquier otra forma de apoyo financiero que beneficie a las empresas dentro del grupo.";"[""[\\""http://eco-finanzas.com/conceptos.htm\\""]"", ""[\\""https://www.bde.es/wbe/es/areas-actuacion/resolucion/herramientas-resolucion/\\""]"", ""[\\""http://www.camelsr.com/ProductosyServicios/Earnings.aspx\\"", \\""http://www.expansion.com/diccionario-economico/activo-bancario.html\\""]""]"
"liquidación por compensación exigible anticipadamente";"Liquidación por compensación exigible anticipadamente: Proceso mediante el cual una entidad, como una empresa o institución financiera, liquida sus activos y pasivos con el objetivo de compensar sus deudas y obtener una situación patrimonial equilibrada, antes de que se produzcan problemas financieros graves o se declare la quiebra. Este proceso se realiza anticipadamente, con el fin de evitar la quiebra y mantener la estabilidad financiera de la entidad. La liquidación por compensación exigible anticipadamente implica la venta de activos, la reducción de pasivos y la reestructuración de la deuda, con el objetivo de lograr una situación financiera sostenible y evitar la quiebra. Este proceso puede ser voluntario o forzoso, dependiendo de la situación financiera de la entidad y la decisión de sus administradores o acreedores. En algunos casos, la liquidación por compensación";"[""[\\""http://www.sanmartin.edu.co/academicos_new/contaduria/diccionario/DICCIONARIO_DE_TERMINOS_CONTABLES_S-Z.doc\\""]"", ""[\\""https://www.bde.es/wbe/es/areas-actuacion/resolucion/herramientas-resolucion/\\""]"", ""[\\""http://eco-finanzas.com/conceptos.htm\\""]""]"
"cooperativa de crédito";"ERROR: NVML_SUCCESS == r INTERNAL ASSERT FAILED at ""/pytorch/c10/cuda/CUDACachingAllocator.cpp"":1131, please report a bug to PyTorch. ";"[]"
