"term";"definition";"retrieved_sources"
"exposición en balance";"►C1 ►C2 ▼B ▼C1 ▼C2";"[""https://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:02013R0575-20190101""]"
"riesgo de refinanciación";"1. La presente Directiva se aplicará a las entidades de crédito que operen en el territorio de la Comunidad, a las sucursales de las entidades de crédito que operen en el territorio de uno o varios Estados miembros y a las entidades de crédito que operen en el territorio de uno o varios Estados miembros a través de una sucursal.";"[""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32006L0048""]"
"pauta de colchón";"- 1.";"[""https://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:02013L0036-20201229""]"
"exposición en periodo de prueba";"voto sean iguales entre sí y que no sean inferiores a los derechos de los titulares de instrumentos con derecho al voto; que los instrumentos sin derecho al voto sean iguales entre sí y que no sean inferiores a los instrumentos con derecho al voto en cuanto a la prelación en caso de insolvencia o liquidación de la entidad; que los instrumentos sin derecho al voto sean iguales entre sí y que no sean inferiores a los instrumentos con derecho al voto en cuanto a la prelación en caso de insolvencia o liquidación de la entidad; que los instrumentos sin derecho al voto sean iguales entre sí y que no sean inferiores a los instrumentos con derecho al voto en cuanto a la prelación en caso de insolvencia o liquidación de";"[""https://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:02013R0575-20230628""]"
"estrategia de resolución mediante transmisión";"";"[""https://www.bde.es/wbe/es/areas-actuacion/resolucion/herramientas-resolucion/""]"
"principio nominal";"BONO GARANTIZADO:";"[""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:52018PC0094""]"
"venta verdadera";"1) «Titulización»: una operación o un mecanismo mediante los cuales el riesgo de crédito asociado a una exposición o conjunto de exposiciones se transfiere a un vehículo especializado en titulización.";"[""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:52015PC0472""]"
"ayuda financiera intragrupo";"- Umbral: es un valor que se establece como límite para una variable.";"[""https://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:02014L0059-20210626""]"
"liquidación por compensación exigible anticipadamente";"1. La presente Directiva se aplica a las entidades que operan en la Unión y que sean objeto de resolución en virtud de la Directiva 2014/59/UE.";"[""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32014L0059""]"
"cooperativa de crédito";"La cooperativa de crédito es una entidad de crédito que se constituye sobre la base de la libre asociación y baja voluntad de personas físicas o jurídicas, que se unen para satisfacer sus necesidades de crédito y de gestión de sus recursos.";"[""https://www.unacc.com/sector-de-cooperativas-de-credito/faq/#toggle-id-14""]"
"plazo de reembolso";"La definición de “deposito” se encuentra en el artículo 2, apartado 1, punto 1 de la Directiva 2009/14/CE del Parlamento Europeo y del Consejo, de 11 de marzo de 2009, por la que se modifica la Directiva 94/19/CE relativa a los sistemas de garantía de depósitos, en lo que respecta al nivel de cobertura y al plazo de pago (DO L 68 de 13.3.2009, p. 3).";"[""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:02014L0049-20140702""]"
"BCN gestor";"1. [Insértese el nombre del banco central] podrá exigir la devolución de los activos de garantía que el participante haya depositado en su cuenta del módulo de pagos, en caso de que el participante no cumpla con sus obligaciones. 2. [Insértese el nombre del banco central] podrá exigir la devolución de los activos de garantía que el participante haya depositado en su cuenta del módulo de pagos, en caso de que el participante no cumpla con sus obligaciones. 3. [Insértese el nombre del banco central] podrá exigir la devolución de los activos de garantía que el participante haya depositado en su cuenta del módulo de pagos, en caso de que el participante no cumpla con sus obligaciones";"[""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32007O0002""]"
"salida neta de liquidez";"BONO GARANTIZADO:";"[""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:52018PC0094""]"
