term;definition;source;info_semantica
incidente de seguridad;Incidente de seguridad Un incidente de seguridad es cualquier evento o acción que puede comprometer la integridad, confidencialidad o disponibilidad d.;"<i><a href=""https://www.incibe.es/sites/default/files/contenidos/guias/doc/guia_glosario_ciberseguridad_metad.pdf?bcsi_scan_c5f5d8e479916bf5=0&amp;bcsi_scan_filename=guia_glosario_ciberseguridad_metad.pdf"" target=""_blank"">Glosario de términos de ciberseguridad: una guía de aproximación para el empresario<time datetime=""14.11.2019""> (14.11.2019)</time></a></i>, Instituto Nacional de Ciberseguridad, León, 2017";"Variants: incidente de seguridad | Domains: EDUCATION AND COMMUNICATIONS | Context: Cualquier suceso que afecte a la confidencialidad, integridad o disponibilidad de los activos de información de una empresa o entidad, por ejemplo: acceso o intento de acceso a los sistemas o uso, divulgación, modificación o destrucción no autorizada de información. | Ref: <i><a href=""https://www.incibe.es/sites/default/files/contenidos/guias/doc/guia_glosario_ciberseguridad_metad.pdf?bcsi_scan_c5f5d8e479916bf5=0&amp;bcsi_scan_filename=guia_glosario_ciberseguridad_metad.pdf"" target=""_blank"">Glosario de términos de ciberseguridad: una guía de aproximación para el empresario<time datetime=""14.11.2019""> (14.11.2019)</time></a></i>, Instituto Nacional de Ciberseguridad, León, 2017"
memoria lenta;La memoria lenta es una unidad de almacenamiento secundario que proporciona acceso a los datos más rápido que las unidades de disco duro tradicionales.;J.A. Alonso y J.M. Otero, Ingenieros;Variants: memoria lenta | Domains: EDUCATION AND COMMUNICATIONS | Context: almacenamiento cuya lentitud de acceso reduce el promedio de procesamiento de los datos | Ref: J.A. Alonso y J.M. Otero, Ingenieros
verificación;Verificación La verificación es el proceso de comprobación o confirmación de la exactitud, precisión o autenticidad de una información, dato o documen.; 2) comprobación oficial de la corrección de un programa;Variants: verificación | Domains: EDUCATION AND COMMUNICATIONS | Context: proceso consistente en determinar si los productos de una fase dada de un ciclo de desarrollo cumplen o no los requisitos establecidos durante la fase precedente | Ref: 2) comprobación oficial de la corrección de un programa
marcación por impulsos;La marcación por impulsos es un método de codificación que utiliza una serie de impulsos eléctricos para representar información digital. Fuente: Wiki.;Antonio Soto López, ingeniero de sistemas, Alcatel-Standard Eléctrica, S.A., Madrid;Variants: marcación por impulsos | Domains: EDUCATION AND COMMUNICATIONS | Context: impulsos decádicos | Ref: Antonio Soto López, ingeniero de sistemas, Alcatel-Standard Eléctrica, S.A., Madrid
artículo;El artículo es una unidad básica de la estructura gramatical que se utiliza para referirse a personas, lugares o cosas. En el contexto del procesamien.;J.A. Alonso y J.M. Otero, Ingenieros;Variants: artículo | Domains: EDUCATION AND COMMUNICATIONS | Context: conjunto de dígitos o caracteres adyacentes tratado como una unidad y que contiene una unidad de información | Ref: J.A. Alonso y J.M. Otero, Ingenieros
ajuste del texto;El ajuste del texto es el proceso de revisión y corrección de la ortografía, gramática y estilo de un texto digitalizado o escaneado para asegurar su .;"Consejo-ES ""Diseño de páginas Web"" <a href=""http://enlaces.ucv.cl/pags/area_acad/manual2/site/p0802.htm"" target=""_blank"">http://enlaces.ucv.cl/pags/area_acad/manual2/site/p0802.htm</a>";"Variants: ajuste del texto | Domains: EDUCATION AND COMMUNICATIONS | Context: Función de los tratamientos de textos que permiten colocar un texto junto a una imagen o a su alrededor de la manera que el operador desee. | Ref: Consejo-ES ""Diseño de páginas Web"" <a href=""http://enlaces.ucv.cl/pags/area_acad/manual2/site/p0802.htm"" target=""_blank"">http://enlaces.ucv.cl/pags/area_acad/manual2/site/p0802.htm</a>"
mínimos de energía espurios;Mínimos de energía espurios La definición del término'mínimos de energía espurios' es la siguiente: Mínimos de energía espurios se refiere a los valor.;"COM-ES, basado en ""Aplicaciones de las redes de neuronas en supervisión, diagnosis y control de procesos"", CYTED-Conicit, M.J. de la Fuente, T. Calonge, <a href=""http://books.google.lu/books?id=jUHGRXd5xU8C&amp;hl=fr"" target=""_blank"">http://books.google.lu/books?id=jUHGRXd5xU8C&amp;hl=fr</a> [25.11.2012]";"Variants: mínimos de energía espurios | Domains: EDUCATION AND COMMUNICATIONS | Context: En una red de Hopfield, mínimos de la función de energía debidos a estados espurios, que no corresponden a las memorias fundamentales. | Ref: COM-ES, basado en ""Aplicaciones de las redes de neuronas en supervisión, diagnosis y control de procesos"", CYTED-Conicit, M.J. de la Fuente, T. Calonge, <a href=""http://books.google.lu/books?id=jUHGRXd5xU8C&amp;hl=fr"" target=""_blank"">http://books.google.lu/books?id=jUHGRXd5xU8C&amp;hl=fr</a> [25.11.2012]"
carga y ejecución;Carga y ejecución La carga y ejecución se refiere a la acción de transferir datos desde una fuente externa, como un archivo o una base de datos, hacia.;J.A. Alonso y J.M. Otero, Ingenieros;Variants: carga y ejecución | Domains: EDUCATION AND COMMUNICATIONS | Context: técnica de explotación que permite convertir directamente un lenguaje específico en lenguaje máquina y asegurar su ejecución inmediata sin parar el ordenador | Ref: J.A. Alonso y J.M. Otero, Ingenieros
autenticación fuerte;Autenticación fuerte La autenticación fuerte es un proceso que utiliza una combinación de métodos, como contraseñas, tokens, biometría y autenticación.;"INFORMATOSCOPIA Y TECNOLOGÍA FORENSE <a href=""http://cita.es/apedanica/INFORMAT.HTM"" target=""_blank"">http://cita.es/apedanica/INFORMAT.HTM</a>";"Variants: autenticación fuerte | Domains: EDUCATION AND COMMUNICATIONS | Context: Proceso de autenticación utilizado en algunas aplicaciones que no se basa únicamente en la demostración de la identidad por una contraseña, sino que intercambia más información ofreciendo más seguridad. En general uno de los corresponsales genera un código que transmite y el otro corresponsal debe devolverlo procesado de un modo preestablecido. | Ref: INFORMATOSCOPIA Y TECNOLOGÍA FORENSE <a href=""http://cita.es/apedanica/INFORMAT.HTM"" target=""_blank"">http://cita.es/apedanica/INFORMAT.HTM</a>"
transformación lineal;La transformación lineal es una operación matemática que se utiliza en el procesamiento de datos para cambiar la forma o escala de los valores de entr.;J.A. Alonso y J.M. Otero, Ingenieros;Variants: transformación lineal | Domains: EDUCATION AND COMMUNICATIONS | Context: función que comprende la suma de sus partes, cada una de las cuales es una constante multiplicada por una, y solo una, de las variables de primer orden | Ref: J.A. Alonso y J.M. Otero, Ingenieros
