term;definition;source;info_semantica
incidente de seguridad;"Un incidente de seguridad es cualquier suceso que afecta a la confidencialidad, integridad o disponibilidad de los activos de información de una empresa o entidad, por ejemplo: acceso o intento de acceso a los sistemas o uso, divulgación, modificación o destrucción no autorizada de información.

Explicación:
La definición del término ""incidente de seguridad"" se basa en la información semántica proporcionada, que describe el contexto y las variantes del término. En este caso, se refiere a cualquier suceso que afecte a la confidencialidad, integridad o disponibilidad de los activos de información de una empresa o entidad, como acceso o intento de acceso a los sistemas o uso, divulgación, modificación o destrucción no autorizada de información.

El término ""incidente de seguridad"" se utiliza en el campo de la ciberseguridad para referirse a eventos que";"<i><a href=""https://www.incibe.es/sites/default/files/contenidos/guias/doc/guia_glosario_ciberseguridad_metad.pdf?bcsi_scan_c5f5d8e479916bf5=0&amp;bcsi_scan_filename=guia_glosario_ciberseguridad_metad.pdf"" target=""_blank"">Glosario de términos de ciberseguridad: una guía de aproximación para el empresario<time datetime=""14.11.2019""> (14.11.2019)</time></a></i>, Instituto Nacional de Ciberseguridad, León, 2017";Variants: incidente de seguridad | Domains: EDUCATION AND COMMUNICATIONS | Context: Cualquier suceso que afecte a la confidencialidad, integridad o disponibilidad de los activos de información de una empresa o entidad, por ejemplo: acceso o intento de acceso a los sistemas o uso, divulgación, modificación o destrucción no autorizada de información. | Ref: Glosario de términos de ciberseguridad: una guía de aproximación para el empresario (14.11.2019) , Instituto Nacional de Ciberseguridad, León, 2017
memoria lenta;"La memoria lenta es un tipo de memoria que se caracteriza por su lentitud de acceso, lo que reduce el promedio de procesamiento de los datos. Esta memoria se utiliza principalmente en aplicaciones donde no es necesario un alto rendimiento o donde la velocidad de acceso no es crítica.

Ejemplos:

En computadoras, la memoria lenta puede ser utilizada como almacenamiento secundario, como en el caso de las unidades de disco duro. En dispositivos móviles, la memoria lenta puede ser utilizada para almacenar datos que no son necesarios en tiempo real, como fotografías o videos.

Conclusiones:

La memoria lenta es un tipo de memoria que se caracteriza por su lentitud de acceso, lo que reduce el promedio de procesamiento de los datos. Aunque esta memoria tiene una velocidad de acceso más lenta que otras formas de memoria, como la memoria RAM, es adecuada para aplicaciones donde no es necesario un alto rendimiento o donde";J.A. Alonso y J.M. Otero, Ingenieros;Variants: memoria lenta | Domains: EDUCATION AND COMMUNICATIONS | Context: almacenamiento cuya lentitud de acceso reduce el promedio de procesamiento de los datos | Ref: J.A. Alonso y J.M. Otero, Ingenieros
verificación;"La verificación es un proceso consistente en determinar si los productos de una fase dada de un ciclo de desarrollo cumplen o no los requisitos establecidos durante la fase precedente. Es decir, se asegura que los resultados de una etapa del proceso de desarrollo cumplan con las especificaciones establecidas en la etapa anterior. La verificación es una actividad importante en el proceso de desarrollo de software, ya que ayuda a garantizar la calidad del producto final.

Ejemplo:

En el contexto de la educación, la verificación puede referirse al proceso de evaluar si los estudiantes han aprendido lo que se les ha enseñado. Por ejemplo, en un examen de matemáticas, la verificación podría consistir en determinar si los estudiantes pueden resolver problemas de manera correcta.

En el contexto de las comunicaciones, la verificación puede referirse al proceso de comprobar si los mensajes transmitidos entre dos partes son correctos. Por"; 2) comprobación oficial de la corrección de un programa;Variants: verificación | Domains: EDUCATION AND COMMUNICATIONS | Context: proceso consistente en determinar si los productos de una fase dada de un ciclo de desarrollo cumplen o no los requisitos establecidos durante la fase precedente | Ref: 2) comprobación oficial de la corrección de un programa
marcación por impulsos;"La marcación por impulsos es un método de transmisión de datos que utiliza pulsos de corta duración para representar los bits de datos. En este sistema, cada bit se representa como un pulso de corta duración, lo que permite transmitir datos a alta velocidad. La longitud del pulso puede variar según el tipo de dato que se está transmitiendo, pero generalmente es muy corta, de unos pocos nanosegundos.

Este método de transmisión es muy eficiente y se utiliza en muchas aplicaciones, como la telefonía digital, la transmisión de datos por cable coaxial y la transmisión de datos por fibra óptica. También se utiliza en algunos sistemas de comunicación militar, como el sistema de comunicaciones por satélite MILSTAR.

En la marcación por impulsos, los datos se codifican utilizando un código binario, donde cada bit se representa como un pulso de corta duración. Estos pulsos se envían a través de un medio";Antonio Soto López, ingeniero de sistemas, Alcatel-Standard Eléctrica, S.A., Madrid;Variants: marcación por impulsos | Domains: EDUCATION AND COMMUNICATIONS | Context: impulsos decádicos | Ref: Antonio Soto López, ingeniero de sistemas, Alcatel-Standard Eléctrica, S.A., Madrid
artículo;"Un artículo es una unidad de información que se compone de uno o más números o caracteres adyacentes que se tratan como una unidad. Los artículos pueden ser utilizados para representar diferentes tipos de información, como números enteros, decimales, fracciones, fechas, horas, etc.

Ejemplos:

1. El número 3 es un artículo que representa el número entero tres.
2. La fracción 1/2 es un artículo que representa la fracción un medio.
3. La fecha 01/01/2023 es un artículo que representa la fecha del primer día del año 2023.
4. La hora 15:30 es un artículo que representa la hora trece y media.

Notas:

- Un artículo puede estar formado por uno o más números o caracteres adyacentes.
- Los artículos pueden ser utilizados para representar diferentes tipos de información,";J.A. Alonso y J.M. Otero, Ingenieros;Variants: artículo | Domains: EDUCATION AND COMMUNICATIONS | Context: conjunto de dígitos o caracteres adyacentes tratado como una unidad y que contiene una unidad de información | Ref: J.A. Alonso y J.M. Otero, Ingenieros
ajuste del texto;;"Consejo-ES ""Diseño de páginas Web"" <a href=""http://enlaces.ucv.cl/pags/area_acad/manual2/site/p0802.htm"" target=""_blank"">http://enlaces.ucv.cl/pags/area_acad/manual2/site/p0802.htm</a>";"Variants: ajuste del texto | Domains: EDUCATION AND COMMUNICATIONS | Context: Función de los tratamientos de textos que permiten colocar un texto junto a una imagen o a su alrededor de la manera que el operador desee. | Ref: Consejo-ES ""Diseño de páginas Web"" http://enlaces.ucv.cl/pags/area_acad/manual2/site/p0802.htm"
mínimos de energía espurios;;"COM-ES, basado en ""Aplicaciones de las redes de neuronas en supervisión, diagnosis y control de procesos"", CYTED-Conicit, M.J. de la Fuente, T. Calonge, <a href=""http://books.google.lu/books?id=jUHGRXd5xU8C&amp;hl=fr"" target=""_blank"">http://books.google.lu/books?id=jUHGRXd5xU8C&amp;hl=fr</a> [25.11.2012]";"Variants: mínimos de energía espurios | Domains: EDUCATION AND COMMUNICATIONS | Context: En una red de Hopfield, mínimos de la función de energía debidos a estados espurios, que no corresponden a las memorias fundamentales. | Ref: COM-ES, basado en ""Aplicaciones de las redes de neuronas en supervisión, diagnosis y control de procesos"", CYTED-Conicit, M.J. de la Fuente, T. Calonge, http://books.google.lu/books?id=jUHGRXd5xU8C&hl=fr [25.11.2012]"
carga y ejecución;"La carga y ejecución es una técnica de explotación que permite convertir directamente un lenguaje específico en lenguaje máquina y asegurar su ejecución inmediata sin parar el ordenador.

Ejemplo:

En el caso de los lenguajes de programación, la carga y ejecución se utiliza para convertir un programa escrito en un lenguaje de alto nivel en código máquina y ejecutarlo directamente sin necesidad de pasar por un compilador o intérprete. Esto permite una mayor velocidad de ejecución y una mejor utilización de los recursos del sistema.

Notas:

- La carga y ejecución es una técnica comúnmente utilizada en sistemas operativos y plataformas de desarrollo de software.
- La carga y ejecución puede ser implementada mediante diferentes métodos, como la traducción justo a tiempo (JIT) o la interpretación dinámica.
- La carga";J.A. Alonso y J.M. Otero, Ingenieros;Variants: carga y ejecución | Domains: EDUCATION AND COMMUNICATIONS | Context: técnica de explotación que permite convertir directamente un lenguaje específico en lenguaje máquina y asegurar su ejecución inmediata sin parar el ordenador | Ref: J.A. Alonso y J.M. Otero, Ingenieros
autenticación fuerte;"Autenticación fuerte es un proceso de autenticación utilizado en algunas aplicaciones que no se basa únicamente en la demostración de la identidad por una contraseña, sino que intercambia más información ofreciendo más seguridad. En general uno de los corresponsales genera un código que transmite y el otro corresponsal debe devolverlo procesado de un modo preestablecido.

Ejemplos:

El sistema de autenticación fuerte utiliza dos factores de autenticación: el conocimiento (contraseña) y el control del dispositivo (token).

La autenticación fuerte es un método de autenticación que requiere dos o más factores de autenticación.

La autenticación fuerte es un método de autenticación que requiere dos o más factores de autenticación.

La autenticación fuerte es un método de autenticación que requiere dos o más factores de autenticación.

La autenticación fuerte es";"INFORMATOSCOPIA Y TECNOLOGÍA FORENSE <a href=""http://cita.es/apedanica/INFORMAT.HTM"" target=""_blank"">http://cita.es/apedanica/INFORMAT.HTM</a>";Variants: autenticación fuerte | Domains: EDUCATION AND COMMUNICATIONS | Context: Proceso de autenticación utilizado en algunas aplicaciones que no se basa únicamente en la demostración de la identidad por una contraseña, sino que intercambia más información ofreciendo más seguridad. En general uno de los corresponsales genera un código que transmite y el otro corresponsal debe devolverlo procesado de un modo preestablecido. | Ref: INFORMATOSCOPIA Y TECNOLOGÍA FORENSE http://cita.es/apedanica/INFORMAT.HTM
transformación lineal;"La transformación lineal es una función matemática que se puede expresar como la suma de varias constantes multiplicadas por una o más variables. Esta función tiene la propiedad de ser lineal, lo que significa que si se aplica a dos vectores, la transformación lineal resultante es igual a la suma de las transformaciones lineales individuales de cada vector. La transformación lineal también conserva la proporcionalidad entre los vectores, lo que significa que si dos vectores son proporcionales, entonces su transformación lineal resultante también será proporcional.

Ejemplo:

Supongamos que tenemos tres vectores, v1, v2 y v3, y una transformación lineal f(x) = ax + b, donde a y b son constantes. Si aplicamos esta transformación lineal a cada uno de los vectores, obtenemos las siguientes transformaciones lineales:

f(v1) = av1 + b
f(v2) = av2 + b
f(v3) = av3 +";J.A. Alonso y J.M. Otero, Ingenieros;Variants: transformación lineal | Domains: EDUCATION AND COMMUNICATIONS | Context: función que comprende la suma de sus partes, cada una de las cuales es una constante multiplicada por una, y solo una, de las variables de primer orden | Ref: J.A. Alonso y J.M. Otero, Ingenieros
