term;definition;source;info_semantica
incidente de seguridad;``` Incidente de seguridad ``` Ejemplo: ``` Un incidente de seguridad es una situación que puede afectar la confidencialidad, integridad o disponibili.;"<i><a href=""https://www.incibe.es/sites/default/files/contenidos/guias/doc/guia_glosario_ciberseguridad_metad.pdf?bcsi_scan_c5f5d8e479916bf5=0&amp;bcsi_scan_filename=guia_glosario_ciberseguridad_metad.pdf"" target=""_blank"">Glosario de términos de ciberseguridad: una guía de aproximación para el empresario<time datetime=""14.11.2019""> (14.11.2019)</time></a></i>, Instituto Nacional de Ciberseguridad, León, 2017";"Variants: incidente de seguridad | Domains: EDUCATION AND COMMUNICATIONS | Context: Cualquier suceso que afecte a la confidencialidad, integridad o disponibilidad de los activos de información de una empresa o entidad, por ejemplo: acceso o intento de acceso a los sistemas o uso, divulgación, modificación o destrucción no autorizada de información. | Ref: <i><a href=""https://www.incibe.es/sites/default/files/contenidos/guias/doc/guia_glosario_ciberseguridad_metad.pdf?bcsi_scan_c5f5d8e479916bf5=0&amp;bcsi_scan_filename=guia_glosario_ciberseguridad_metad.pdf"" target=""_blank"">Glosario de términos de ciberseguridad: una guía de aproximación para el empresario<time datetime=""14.11.2019""> (14.11.2019)</time></a></i>, Instituto Nacional de Ciberseguridad, León, 2017"
memoria lenta;``` La memoria lenta es una forma de almacenar datos que se caracteriza por ser más lenta que la memoria rápida, pero también más barata y con mayor c.;J.A. Alonso y J.M. Otero, Ingenieros;Variants: memoria lenta | Domains: EDUCATION AND COMMUNICATIONS | Context: almacenamiento cuya lentitud de acceso reduce el promedio de procesamiento de los datos | Ref: J.A. Alonso y J.M. Otero, Ingenieros
verificación;## verificación ### procesamiento de datos #### definición - Verification is the process of checking that a product, service or system meets its requi.; 2) comprobación oficial de la corrección de un programa;Variants: verificación | Domains: EDUCATION AND COMMUNICATIONS | Context: proceso consistente en determinar si los productos de una fase dada de un ciclo de desarrollo cumplen o no los requisitos establecidos durante la fase precedente | Ref: 2) comprobación oficial de la corrección de un programa
marcación por impulsos;1. 2. 3. 4. 5. 6. 7. 8. 9. 10. 11. 12. 13. 14. 15. 16. 17. 18. 19. 20. 21. 22. 23. 24. 25. 26. 27. 28. 29. 30. 31. 32. 33. 34.;Antonio Soto López, ingeniero de sistemas, Alcatel-Standard Eléctrica, S.A., Madrid;Variants: marcación por impulsos | Domains: EDUCATION AND COMMUNICATIONS | Context: impulsos decádicos | Ref: Antonio Soto López, ingeniero de sistemas, Alcatel-Standard Eléctrica, S.A., Madrid
artículo;1 0 # artículo ## Definición Un artículo es una entidad que representa un producto o servicio que se vende a través de un canal de distribución. Un ar.;J.A. Alonso y J.M. Otero, Ingenieros;Variants: artículo | Domains: EDUCATION AND COMMUNICATIONS | Context: conjunto de dígitos o caracteres adyacentes tratado como una unidad y que contiene una unidad de información | Ref: J.A. Alonso y J.M. Otero, Ingenieros
ajuste del texto;1 0 # Ajuste del texto ## Definición El ajuste del texto es la operación que consiste en modificar los caracteres de una cadena de texto, para que se .;"Consejo-ES ""Diseño de páginas Web"" <a href=""http://enlaces.ucv.cl/pags/area_acad/manual2/site/p0802.htm"" target=""_blank"">http://enlaces.ucv.cl/pags/area_acad/manual2/site/p0802.htm</a>";"Variants: ajuste del texto | Domains: EDUCATION AND COMMUNICATIONS | Context: Función de los tratamientos de textos que permiten colocar un texto junto a una imagen o a su alrededor de la manera que el operador desee. | Ref: Consejo-ES ""Diseño de páginas Web"" <a href=""http://enlaces.ucv.cl/pags/area_acad/manual2/site/p0802.htm"" target=""_blank"">http://enlaces.ucv.cl/pags/area_acad/manual2/site/p0802.htm</a>"
mínimos de energía espurios;``` mínimos de energía espurios ``` Ejemplo: ``` La tecnología de procesamiento de señales digitales es una herramienta muy útil para la detección de .;"COM-ES, basado en ""Aplicaciones de las redes de neuronas en supervisión, diagnosis y control de procesos"", CYTED-Conicit, M.J. de la Fuente, T. Calonge, <a href=""http://books.google.lu/books?id=jUHGRXd5xU8C&amp;hl=fr"" target=""_blank"">http://books.google.lu/books?id=jUHGRXd5xU8C&amp;hl=fr</a> [25.11.2012]";"Variants: mínimos de energía espurios | Domains: EDUCATION AND COMMUNICATIONS | Context: En una red de Hopfield, mínimos de la función de energía debidos a estados espurios, que no corresponden a las memorias fundamentales. | Ref: COM-ES, basado en ""Aplicaciones de las redes de neuronas en supervisión, diagnosis y control de procesos"", CYTED-Conicit, M.J. de la Fuente, T. Calonge, <a href=""http://books.google.lu/books?id=jUHGRXd5xU8C&amp;hl=fr"" target=""_blank"">http://books.google.lu/books?id=jUHGRXd5xU8C&amp;hl=fr</a> [25.11.2012]"
carga y ejecución;1 0 # carga y ejecución ## Definición Carga y ejecución es la operación que consiste en introducir los programas o aplicaciones en el sistema operativ.;J.A. Alonso y J.M. Otero, Ingenieros;Variants: carga y ejecución | Domains: EDUCATION AND COMMUNICATIONS | Context: técnica de explotación que permite convertir directamente un lenguaje específico en lenguaje máquina y asegurar su ejecución inmediata sin parar el ordenador | Ref: J.A. Alonso y J.M. Otero, Ingenieros
autenticación fuerte;## autenticación fuerte ### definición La autenticación fuerte es una forma de autenticación que requiere la presentación de dos factores de autentica.;"INFORMATOSCOPIA Y TECNOLOGÍA FORENSE <a href=""http://cita.es/apedanica/INFORMAT.HTM"" target=""_blank"">http://cita.es/apedanica/INFORMAT.HTM</a>";"Variants: autenticación fuerte | Domains: EDUCATION AND COMMUNICATIONS | Context: Proceso de autenticación utilizado en algunas aplicaciones que no se basa únicamente en la demostración de la identidad por una contraseña, sino que intercambia más información ofreciendo más seguridad. En general uno de los corresponsales genera un código que transmite y el otro corresponsal debe devolverlo procesado de un modo preestablecido. | Ref: INFORMATOSCOPIA Y TECNOLOGÍA FORENSE <a href=""http://cita.es/apedanica/INFORMAT.HTM"" target=""_blank"">http://cita.es/apedanica/INFORMAT.HTM</a>"
transformación lineal;## transformación lineal ### Definición La transformación lineal es una operación matemática que se aplica a vectores, matrices o funciones. La transf.;J.A. Alonso y J.M. Otero, Ingenieros;Variants: transformación lineal | Domains: EDUCATION AND COMMUNICATIONS | Context: función que comprende la suma de sus partes, cada una de las cuales es una constante multiplicada por una, y solo una, de las variables de primer orden | Ref: J.A. Alonso y J.M. Otero, Ingenieros
