"term";"definition";"retrieved_sources"
"mínimos de energía espurios";"";"[""http://books.google.lu/books?id=jUHGRXd5xU8C&amp;hl=fr""]"
"autenticación fuerte";"El término ""cryptography"" (cryptografía) se refiere a la ciencia y arte de la codificación de mensajes, y la criptoanálisis es el estudio de los métodos de cifrado y descifrado.";"[""http://cita.es/apedanica/INFORMAT.HTM""]"
"carga";"";"[""https://books.google.be/books?id=0OpCDwAAQBAJ&amp;lpg=PP1&amp;hl=es&amp;pg=PA4#v=onepage&amp;q&amp;f=false""]"
"servicio de blog";"Blogger es un servicio de alojamiento de blogs que permite a los usuarios crear y publicar blogs en línea. Fue desarrollado por Pyra Labs, una empresa de San Francisco, California, y fue adquirida por Google en 2003.";"[""http://es.wikipedia.org/wiki/WordPress"", ""http://es.wikipedia.org/wiki/Blogger""]"
"conectividad digital";"La inclusión digital es el proceso de incorporación de las personas a la sociedad de la información.";"[""http://www.ub.edu/geocrit/aracne/aracne-150.htm""]"
"soporte físico";"Hardware es el conjunto de componentes físicos de una computadora, como el procesador, la memoria, los dispositivos de entrada y salida, y los dispositivos de almacenamiento.";"[""https://es.wikipedia.org/wiki/Hardware""]"
"proveedor de contenidos de internet";"Un proveedor de contenidos de internet es una persona física, empresa o profesional que produce o publica con regularidad información Internet, ya sea utilizando recursos propios o sirviéndose de los suministrados por un proveedor de acceso. El contenido puede adoptar cualquier forma: contenido escrito, audiovisual (vídeo), audio, etc. El proveedor de contenido produce el contenido y ostenta la propiedad intelectual de su producción. En cuanto a su distribución, el contenido lo puede comercializar él solo a través de plataformas de pago por visión o con la ayuda de un distribuidor que se encargará de ofrecerlo a los usuarios finales, a los que se lo podrá ofrecer libre o mediante un pago.";"[""https://www.consumoteca.com/telecomunicaciones/internet/proveedor-de-contenido/""]"
"registrador";"El dominio.eu es un dominio de nivel superior (ccTLD) que se utiliza para identificar sitios web en la Unión Europea.";"[""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32002R0733""]"
"supercomputación";"";"[""https://www.elcultural.com/revista/ciencia/10-respuestas-a-la-supercomputacion/9153""]"
"réplica";"";"[""https://www.fundeu.es/recomendacion/duplicar-o-enviar-alternativas-a-screen-mirroring/""]"
"aseguramiento de la ciberseguridad";"";"[""http://www.itsmf.es/index.php?option=com_docman&amp;task=cat_view&amp;gid=338&amp;Itemid=177""]"
"árbol de decisión potenciado";"Un árbol de decisión potenciado es un algoritmo de aprendizaje automático que se basa en el aprendizaje por ejemplos. Se trata de un método de clasificación que consiste en construir un árbol de decisión a partir de un conjunto de datos de entrenamiento. El objetivo es encontrar una regla que permita clasificar los nuevos datos en función de sus características.";"[""https://www.jeremyjordan.me/boosted-trees/"", ""https://www.iartificial.net/ensembles-voting-bagging-boosting-stacking/#Bagging""]"
"suceso de activación";"E TEC: Energía total consumida en estado de activo.";"[""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32013R0617""]"
"saboteador";"Saboteador:";"[""http://www.ati.es/novatica/glosario/glosario_internet.html#cracker""]"
"computación segura";"La computación confiable es un conjunto de tecnologías propuestas por el Trusted Computing Group (TCG) que deben cumplir el hardware de los sistemas. Su objetivo es proteger computadoras de programas de ataques que no pueden ser protegidos por soluciones puramente software. Ejemplos de computadores donde se aplican estas tecnologías: computadoras personales, computadoras que alojan servidores, sistemas embebidos y dispositivos móviles. [ 1 ] ​ La Computación Confiable es controvertida dado que la maquinaria no está solamente asegurada para su propietario, sino también asegurada contra su propietario. Tal controversia ha conducido a oponentes de la computación confiable, como el activista del software libre Richard St";"[""https://es.wikipedia.org/wiki/Computaci%C3%B3n_confiable""]"
"soluciones de interoperabilidad para las administraciones públicas europeas";"Interoperabilidad: capacidad de dos o más sistemas o aplicaciones para intercambiar información y utilizar los datos recibidos.";"[""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32009D0922""]"
