term;definition;source;info_semantica
incidente de seguridad;Cualquier suceso que afecte a la confidencialidad, integridad o disponibilidad de los activos de información de una empresa o entidad, por ejemplo: acceso o intento de acceso a los sistemas o uso, divulgación, modificación o destrucción no autorizada de información.;"<i><a href=""https://www.incibe.es/sites/default/files/contenidos/guias/doc/guia_glosario_ciberseguridad_metad.pdf?bcsi_scan_c5f5d8e479916bf5=0&amp;bcsi_scan_filename=guia_glosario_ciberseguridad_metad.pdf"" target=""_blank"">Glosario de términos de ciberseguridad: una guía de aproximación para el empresario<time datetime=""14.11.2019""> (14.11.2019)</time></a></i>, Instituto Nacional de Ciberseguridad, León, 2017";"Variants: incidente de seguridad | Domains: EDUCATION AND COMMUNICATIONS | Context: Cualquier suceso que afecte a la confidencialidad, integridad o disponibilidad de los activos de información de una empresa o entidad, por ejemplo: acceso o intento de acceso a los sistemas o uso, divulgación, modificación o destrucción no autorizada de información. | Ref: <i><a href=""https://www.incibe.es/sites/default/files/contenidos/guias/doc/guia_glosario_ciberseguridad_metad.pdf?bcsi_scan_c5f5d8e479916bf5=0&amp;bcsi_scan_filename=guia_glosario_ciberseguridad_metad.pdf"" target=""_blank"">Glosario de términos de ciberseguridad: una guía de aproximación para el empresario<time datetime=""14.11.2019""> (14.11.2019)</time></a></i>, Instituto Nacional de Ciberseguridad, León, 2017"
memoria lenta;almacenamiento cuya lentitud de acceso reduce el promedio de procesamiento de los datos;J.A. Alonso y J.M. Otero, Ingenieros;Variants: memoria lenta | Domains: EDUCATION AND COMMUNICATIONS | Context: almacenamiento cuya lentitud de acceso reduce el promedio de procesamiento de los datos | Ref: J.A. Alonso y J.M. Otero, Ingenieros
verificación;proceso consistente en determinar si los productos de una fase dada de un ciclo de desarrollo cumplen o no los requisitos establecidos durante la fase precedente; 2) comprobación oficial de la corrección de un programa;Variants: verificación | Domains: EDUCATION AND COMMUNICATIONS | Context: proceso consistente en determinar si los productos de una fase dada de un ciclo de desarrollo cumplen o no los requisitos establecidos durante la fase precedente | Ref: 2) comprobación oficial de la corrección de un programa
marcación por impulsos;impulsos decádicos;Antonio Soto López, ingeniero de sistemas, Alcatel-Standard Eléctrica, S.A., Madrid;Variants: marcación por impulsos | Domains: EDUCATION AND COMMUNICATIONS | Context: impulsos decádicos | Ref: Antonio Soto López, ingeniero de sistemas, Alcatel-Standard Eléctrica, S.A., Madrid
artículo;conjunto de dígitos o caracteres adyacentes tratado como una unidad y que contiene una unidad de información;J.A. Alonso y J.M. Otero, Ingenieros;Variants: artículo | Domains: EDUCATION AND COMMUNICATIONS | Context: conjunto de dígitos o caracteres adyacentes tratado como una unidad y que contiene una unidad de información | Ref: J.A. Alonso y J.M. Otero, Ingenieros
ajuste del texto;Función de los tratamientos de textos que permiten colocar un texto junto a una imagen o a su alrededor de la manera que el operador desee.;"Consejo-ES ""Diseño de páginas Web"" <a href=""http://enlaces.ucv.cl/pags/area_acad/manual2/site/p0802.htm"" target=""_blank"">http://enlaces.ucv.cl/pags/area_acad/manual2/site/p0802.htm</a>";"Variants: ajuste del texto | Domains: EDUCATION AND COMMUNICATIONS | Context: Función de los tratamientos de textos que permiten colocar un texto junto a una imagen o a su alrededor de la manera que el operador desee. | Ref: Consejo-ES ""Diseño de páginas Web"" <a href=""http://enlaces.ucv.cl/pags/area_acad/manual2/site/p0802.htm"" target=""_blank"">http://enlaces.ucv.cl/pags/area_acad/manual2/site/p0802.htm</a>"
mínimos de energía espurios;En una red de Hopfield, mínimos de la función de energía debidos a estados espurios, que no corresponden a las memorias fundamentales.;"COM-ES, basado en ""Aplicaciones de las redes de neuronas en supervisión, diagnosis y control de procesos"", CYTED-Conicit, M.J. de la Fuente, T. Calonge, <a href=""http://books.google.lu/books?id=jUHGRXd5xU8C&amp;hl=fr"" target=""_blank"">http://books.google.lu/books?id=jUHGRXd5xU8C&amp;hl=fr</a> [25.11.2012]";"Variants: mínimos de energía espurios | Domains: EDUCATION AND COMMUNICATIONS | Context: En una red de Hopfield, mínimos de la función de energía debidos a estados espurios, que no corresponden a las memorias fundamentales. | Ref: COM-ES, basado en ""Aplicaciones de las redes de neuronas en supervisión, diagnosis y control de procesos"", CYTED-Conicit, M.J. de la Fuente, T. Calonge, <a href=""http://books.google.lu/books?id=jUHGRXd5xU8C&amp;hl=fr"" target=""_blank"">http://books.google.lu/books?id=jUHGRXd5xU8C&amp;hl=fr</a> [25.11.2012]"
carga y ejecución;técnica de explotación que permite convertir directamente un lenguaje específico en lenguaje máquina y asegurar su ejecución inmediata sin parar el ordenador;J.A. Alonso y J.M. Otero, Ingenieros;Variants: carga y ejecución | Domains: EDUCATION AND COMMUNICATIONS | Context: técnica de explotación que permite convertir directamente un lenguaje específico en lenguaje máquina y asegurar su ejecución inmediata sin parar el ordenador | Ref: J.A. Alonso y J.M. Otero, Ingenieros
autenticación fuerte;Proceso de autenticación utilizado en algunas aplicaciones que no se basa únicamente en la demostración de la identidad por una contraseña, sino que intercambia más información ofreciendo más seguridad. En general uno de los corresponsales genera un código que transmite y el otro corresponsal debe devolverlo procesado de un modo preestablecido.;"INFORMATOSCOPIA Y TECNOLOGÍA FORENSE <a href=""http://cita.es/apedanica/INFORMAT.HTM"" target=""_blank"">http://cita.es/apedanica/INFORMAT.HTM</a>";"Variants: autenticación fuerte | Domains: EDUCATION AND COMMUNICATIONS | Context: Proceso de autenticación utilizado en algunas aplicaciones que no se basa únicamente en la demostración de la identidad por una contraseña, sino que intercambia más información ofreciendo más seguridad. En general uno de los corresponsales genera un código que transmite y el otro corresponsal debe devolverlo procesado de un modo preestablecido. | Ref: INFORMATOSCOPIA Y TECNOLOGÍA FORENSE <a href=""http://cita.es/apedanica/INFORMAT.HTM"" target=""_blank"">http://cita.es/apedanica/INFORMAT.HTM</a>"
transformación lineal;función que comprende la suma de sus partes, cada una de las cuales es una constante multiplicada por una, y solo una, de las variables de primer orden;J.A. Alonso y J.M. Otero, Ingenieros;Variants: transformación lineal | Domains: EDUCATION AND COMMUNICATIONS | Context: función que comprende la suma de sus partes, cada una de las cuales es una constante multiplicada por una, y solo una, de las variables de primer orden | Ref: J.A. Alonso y J.M. Otero, Ingenieros
televisión de calidad convencional;televisión definida por las normas de televisión convencionales de 625 líneas y 525 líneas, como los sistemas NTSC, PAL y SECAM;CCITT, Rec.I. 113;Variants: televisión de calidad convencional | Domains: EDUCATION AND COMMUNICATIONS | Context: televisión definida por las normas de televisión convencionales de 625 líneas y 525 líneas, como los sistemas NTSC, PAL y SECAM | Ref: CCITT, Rec.I. 113
carga;Transferencia de un archivo desde un equipo informático a un servidor.;"Valentín López, Gema: <i>Informática básica: sistema operativo, Internet y correo electrónico</i>, Editorial CEP, 2014, <a href=""https://books.google.be/books?id=0OpCDwAAQBAJ&amp;lpg=PP1&amp;hl=es&amp;pg=PA4#v=onepage&amp;q&amp;f=false"" target=""_blank"">https://books.google.be/books?id=0OpCDwAAQBAJ&amp;lpg=PP1&amp;hl=es&amp;pg=PA4#v=onepage&amp;q&amp;f=false</a> [23.4.2018]";"Variants: carga | Domains: EDUCATION AND COMMUNICATIONS | Context: Transferencia de un archivo desde un equipo informático a un servidor. | Ref: Valentín López, Gema: <i>Informática básica: sistema operativo, Internet y correo electrónico</i>, Editorial CEP, 2014, <a href=""https://books.google.be/books?id=0OpCDwAAQBAJ&amp;lpg=PP1&amp;hl=es&amp;pg=PA4#v=onepage&amp;q&amp;f=false"" target=""_blank"">https://books.google.be/books?id=0OpCDwAAQBAJ&amp;lpg=PP1&amp;hl=es&amp;pg=PA4#v=onepage&amp;q&amp;f=false</a> [23.4.2018]"
onda reflejada en el suelo;la parte de la onda de suelo que se refleja sobre la superficie terrestre;DANTERM 15054;Variants: onda reflejada en el suelo | Domains: EDUCATION AND COMMUNICATIONS | Context: la parte de la onda de suelo que se refleja sobre la superficie terrestre | Ref: DANTERM 15054
intercambio de archivos entre pares;Intercambio de archivos mediante programas informáticos que permiten a los usuarios poner a disposición del resto archivos almacenados en su ordenador, haciendo las veces de servidor, y acceder a su vez como clientes a los archivos de otros usuarios conectados en ese momento.;"PE-ES, basado en:<br> Malmierca, M.: «Piratería editorial en Internet», <i>Revista CERLALC</i>, 2005 <a href=""http://www.cerlalc.org/Revista_Pirateria/pdf/n_art10.pdf"" target=""_blank"">http://www.cerlalc.org/Revista_Pirateria/pdf/n_art10.pdf</a> [30.7.2015]";"Variants: intercambio de archivos entre pares | Domains: EDUCATION AND COMMUNICATIONS | Context: Intercambio de archivos mediante programas informáticos que permiten a los usuarios poner a disposición del resto archivos almacenados en su ordenador, haciendo las veces de servidor, y acceder a su vez como clientes a los archivos de otros usuarios conectados en ese momento. | Ref: PE-ES, basado en:<br> Malmierca, M.: «Piratería editorial en Internet», <i>Revista CERLALC</i>, 2005 <a href=""http://www.cerlalc.org/Revista_Pirateria/pdf/n_art10.pdf"" target=""_blank"">http://www.cerlalc.org/Revista_Pirateria/pdf/n_art10.pdf</a> [30.7.2015]"
asíncrono;característica esencial de una escala de tiempo o de una señal en virtud de la cual sus instantes significativos correspondientes no se presentan necesariamente con la misma cadencia media;UIT-T, Rec.G. 701,1993,6018;Variants: asíncrono | Domains: EDUCATION AND COMMUNICATIONS | Context: característica esencial de una escala de tiempo o de una señal en virtud de la cual sus instantes significativos correspondientes no se presentan necesariamente con la misma cadencia media | Ref: UIT-T, Rec.G. 701,1993,6018
ciclo de instrucción;etapas elementales necesarias para ejecutar una instrucción;J.A. Alonso y J.M. Otero, Ingenieros;Variants: ciclo de instrucción | Domains: EDUCATION AND COMMUNICATIONS | Context: etapas elementales necesarias para ejecutar una instrucción | Ref: J.A. Alonso y J.M. Otero, Ingenieros
servicio de blog;Plataforma que permite crear y publicar blogs.;"PE-ES, basado en : <p> -Wikipedia, La enciclopedia libre <a href=""http://es.wikipedia.org/wiki/WordPress"" target=""_blank"">http://es.wikipedia.org/wiki/WordPress</a> [24.3.2015] </p><p>-Wikipedia, La enciclopedia libre <a href=""http://es.wikipedia.org/wiki/Blogger"" target=""_blank"">http://es.wikipedia.org/wiki/Blogger</a> [24.3.2015]</p>";"Variants: servicio de blog | Domains: EDUCATION AND COMMUNICATIONS | Context: Plataforma que permite crear y publicar blogs. | Ref: PE-ES, basado en : <p> -Wikipedia, La enciclopedia libre <a href=""http://es.wikipedia.org/wiki/WordPress"" target=""_blank"">http://es.wikipedia.org/wiki/WordPress</a> [24.3.2015] </p><p>-Wikipedia, La enciclopedia libre <a href=""http://es.wikipedia.org/wiki/Blogger"" target=""_blank"">http://es.wikipedia.org/wiki/Blogger</a> [24.3.2015]</p>"
indicación de error;una indicación REINICIACION-R, o una indicación DESCONEXION-R con un código de motivo indicativo de un error, enviada por el proveedor SR y recibida por una entidad de transporte;CCITT, Libro rojo, X. 224;Variants: indicación de error | Domains: EDUCATION AND COMMUNICATIONS | Context: una indicación REINICIACION-R, o una indicación DESCONEXION-R con un código de motivo indicativo de un error, enviada por el proveedor SR y recibida por una entidad de transporte | Ref: CCITT, Libro rojo, X. 224
elemento software;parte fundamental de un sistema o de un programa;Mundo científico, mayo 1985;Variants: elemento software | Domains: EDUCATION AND COMMUNICATIONS | Context: parte fundamental de un sistema o de un programa | Ref: Mundo científico, mayo 1985
