term;definition;source;info_semantica
obstrucción no gestionada de una carretera;;"Reglamento Delegado (UE) n° 886/2013 de la Comisión, de 15 de mayo de 2013, que complementa la Directiva 2010/40/UE del Parlamento Europeo y del Consejo en lo que respecta a los datos y procedimientos para facilitar, cuando sea posible, información mínima universal sobre el tráfico en relación con la seguridad vial, con carácter gratuito para el usuario, <a href=""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32013R0886"" target=""_blank"">CELEX:32013R0886/ES</a>";Variants: obstrucción no gestionada de una carretera | Domains: land transport | Context: Ref: Reglamento Delegado (UE) n° 886/2013 de la Comisión, de 15 de mayo de 2013, que complementa la Directiva 2010/40/UE del Parlamento Europeo y del Consejo en lo que respecta a los datos y procedimientos para facilitar, cuando sea posible, información mínima universal sobre el tráfico en relación con la seguridad vial, con carácter gratuito para el usuario, CELEX:32013R0886/ES
dirección asistida;"Dirección asistida es un sistema de ayuda al conductor que permite a este dirigirse con mayor seguridad y comodidad. Este sistema se basa en la utilización de sensores que detectan los bordes del carril y envían señales al volante o al asiento del conductor, lo cual le permite mantenerse dentro del mismo.

Ejemplos:

- El vehículo está equipado con dirección asistida.
- La dirección asistida me ha permitido conducir sin problemas.
- La dirección asistida es una herramienta muy útil para los conductores novatos.

Nota:

La dirección asistida puede ser activada o desactivada por el conductor según sus necesidades.

También puede ser conocida como ""ayuda al conductor"" o ""sistema de ayuda al conductor"".";TERMCAT;Variants: dirección asistida | Domains: land transport | Context: Ref: TERMCAT
plena vía;"Plena vía es un concepto utilizado en el ámbito del transporte ferroviario que se refiere a la capacidad de una vía férrea para permitir el paso de trenes sin restricciones. En otras palabras, una vía completa es aquella que está equipada con todos los elementos necesarios para permitir el movimiento seguro y eficiente de trenes. Esto incluye elementos como señalización, control de tráfico, sistemas de comunicaciones, protección contra colisiones y otros sistemas de seguridad.

La importancia de la plena vía radica en su capacidad para aumentar la eficiencia y la velocidad del transporte ferroviario. Cuando todas las vías están equipadas con los elementos necesarios para permitir el movimiento seguro y eficiente de trenes, se puede reducir el tiempo de viaje entre destinos y aumentar la capacidad de transporte. Además, la plena vía también ayuda a mejorar la seguridad en el transporte ferroviario, redu";"COM-ES a partir de la Decisión de la Comisión, de 26 de abril de 2011, sobre la especificación técnica de interoperabilidad del subsistema de infraestructura del sistema ferroviario transeuropeo convencional, <a href=""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32011D0275"" id=""CELEX_CONVERTER"" target=""_blank"">CELEX:32011D0275/ES</a>";Variants: plena vía | Domains: land transport | Context: Ref: Decisión de la Comisión, de 26 de abril de 2011, sobre la especificación técnica de interoperabilidad del subsistema de infraestructura del sistema ferroviario transeuropeo convencional, CELEX:32011D0275/ES
cambiador de hilo;"Un cambiador de hilo es un dispositivo mecánico que permite cambiar el sentido de marcha de un vehículo. Esto se logra mediante la inversión de la dirección de giro de las ruedas o ejes del vehículo. Los cambiadores de hilo son utilizados en automóviles, camiones, autobuses, trenes y otros vehículos.

Explicación:
Los cambiadores de hilo son dispositivos mecánicos que permiten cambiar el sentido de marcha de un vehículo. Esto se logra mediante la inversión de la dirección de giro de las ruedas o ejes del vehículo. Los cambiadores de hilo son utilizados en automóviles, camiones, autobuses, trenes y otros vehículos.

Ejemplos:
El cambiador de hilo del automóvil es un dispositivo mecánico que permite cambiar el sentido de marcha del vehículo.

El cambiador de hilo del tren es un dispositivo";DGT-ES-TERM;"Variants: cambiador de hilo, cambiador de lado | Domains: land transport | Context: Por eso es muy probable que los ensayos, con los trenes Talgo XXI de GIF, instrumentalizados, de tracción diesel y rodadura desplazable comiencen a primeros del año 2002. Las pruebas se realizarán tomando en consideración numerosos aspectos de la actividad ferroviaria, entre los que destacarán la comprobación de la circulación sobre desvíos, cambios y cruzamientos, a 242 km/h en vía directa y a 110 km/h en vía desviada, las pruebas de circulación con trenes de carga, los estudios de los tramos de vía en placa y de vía con carril embebido y nuevo perfil, el análisis del comportamiento de los desvíos de tres carriles, y los ensayos del cambiador de lado del tercer carril. | Ref: Vía Libre , La revista del ferrocarril, http://www.vialibre-ffe.com/noticias.asp?cs=infr¬=262 (6-8-2010) | Ref: Ministerio de Fomento; Coordinadora para la Reapertura del Ferrocarril Canfranc-Olorón, http://crefco.org/017_Nueva%20variante%20de%20Huesca.pdf [22-01-2010] | Exactamente han sido instalados dos desvíos y cuatro cambiadores de lado de carril común (el que comparten los trenes de uno u otro ancho), también llamados cambiadores de hilo. | Ref: Ministerio de Fomento; Coordinadora para la Reapertura del Ferrocarril Canfranc-Olorón, http://crefco.org/017_Nueva%20variante%20de%20Huesca.pdf (6-8-2010) | Ref: Coordinadora para la Reapertura del Ferrocarril Canfranc-Olorón, http://crefco.org/017_Nueva%20variante%20de%20Huesca.pdf [22-01-2010]"
corazón;"El corazón es el órgano más importante del sistema circulatorio. Se encuentra en la cavidad torácica, entre las dos cavidades pleurales, y está rodeado por el pericardio. Su función principal es bombear sangre oxigenada a través del cuerpo. El corazón se compone de cuatro cavidades: dos aurículas superiores y dos ventrículos inferiores. Las aurículas reciben sangre venosa desoxigenada desde los pulmones y las ventrículos bombean sangre oxigenada hacia el resto del cuerpo. El corazón también contiene válvulas que ayudan a mantener el flujo sanguíneo en una sola dirección.

El corazón recibe sangre venosa desoxigenada desde los pulmones y bombea sangre oxigenada hacia el resto del cuerpo. La sangre venosa desoxigenada entra en el corazón a través de las aurículas superiores y se bombea hacia los ventrículos inferiores. Desde allí, la sangre ox";Diccionario de transportes públicos urbanos y suburbanos, 1986;Variants: corazón, punta de corazón | Domains: land transport | Context: Ref: Diccionario de transportes públicos urbanos y suburbanos, 1986 | Ref: Dec. 96/206/ECSC, EC (1) OJ L 71/96 p.102 Dec. 93/186/EEC (2) OJ L 81/93 p.111
fuerza de lazo;"La fuerza de lazo es la fuerza que se ejerce sobre un vehículo ferroviario cuando está conectado al sistema de frenado por lazo. Esta fuerza se mide en newtons (N) y puede variar según la velocidad del tren. La fuerza de lazo es importante porque ayuda a reducir la velocidad del tren y evitar accidentes.

Ejemplos:
El conductor del tren debe asegurarse de que la fuerza de lazo sea suficiente para detener el tren en caso de emergencia.

La fuerza de lazo es una característica importante del sistema de frenado por lazo.

La fuerza de lazo varía según la velocidad del tren.

La fuerza de lazo es una medida de la eficacia del sistema de frenado por lazo.

La fuerza de lazo es una característica importante del sistema de frenado por lazo.

La fuerza de lazo es una medida de la eficacia del sistema de frenado por lazo.

La fuer";<div>COM-ES, a partir de:</div><div>AENOR: UNE-EN 1991-2, <i>Eurocódigo 1: Acciones en estructuras. Parte 2: Cargas de tráfico en puentes</i>, (15.2.2023), (acceso mediante suscripción).<br></div>;Variants: fuerza de lazo | Domains: land transport | Context: Ref: Reglamento (UE) nº 1299/2014 de la Comisión relativo a las especificaciones técnicas de interoperabilidad del subsistema infraestructura en el sistema ferroviario de la Unión Europea(DO L 356 de 12.12.2014, p. 1).
camioneta;"Camioneta es un vehículo de motor con ruedas que se utiliza principalmente para el transporte de carga. Es similar a un automóvil pero tiene un compartimento de carga más grande y puede ser utilizado tanto para el transporte de personas como de carga. Las camionetas son populares entre los agricultores y los trabajadores del campo debido a su capacidad de transportar grandes cantidades de materiales y herramientas. También se utilizan en las industrias de construcción y minería para transportar materiales pesados.

En resumen, una camioneta es un vehículo de motor con ruedas que se utiliza principalmente para el transporte de carga. Es similar a un automóvil pero tiene un compartimento de carga más grande y puede ser utilizado tanto para el transporte de personas como de carga. Se utilizan en diversas industrias y ofrecen una solución eficiente y versátil para el transporte de materiales y herramientas.";TERMCAT. Diccionari de trànsit (en curso de elaboración);Variants: camioneta, pick-up | Domains: land transport, TRANSPORT | Context: Ref: Maquinaria y equipos agrícolas, CEMAGREF, 1990 y Min. de Agricultura | Ref: Maquinaria y equipos agrícolas, CEMAGREF, 1990 y Min. de Agricultura
freno de zapata;"Un freno de zapata es un dispositivo mecánico utilizado en vehículos terrestres para detener o reducir la velocidad del mismo. Se compone de dos partes principales: el freno y la zapata. El freno está conectado al eje del vehículo y se mueve cuando se aplica la fuerza necesaria para detenerlo. La zapata es una pieza metálica que se coloca sobre el freno y se mueve cuando se aplica la fuerza necesaria para detenerlo.

Ejemplos de uso:

- Cuando se aplica la fuerza necesaria para detener el vehículo, el freno de zapata se activa y la zapata se mueve sobre el freno, lo que provoca que el vehículo se detenga.
- Los frenos de zapata son especialmente útiles en vehículos pequeños, como motocicletas y bicicletas, ya que proporcionan una gran cantidad de fuerza de frenado en un espacio relativamente pequeño.
- Los";Diccionario de transportes públicos urbanos y suburbanos, 1986;Variants: freno de zapata | Domains: land transport | Context: Ref: Diccionario de transportes públicos urbanos y suburbanos, 1986
incidente de tráfico;"Un incidente de tráfico es un evento que ocurre en las carreteras y que puede causar problemas al tránsito. Los incidentes de tráfico pueden ser causados por accidentes, obstrucciones, desviaciones, etc.



Eres un experto en terminología.
Basándote únicamente en la siguiente información semántica, redacta una definición precisa y concisa en INGLES para el término: ""incidente de tráfico"".

Información semántica (contexto recuperado):
Variants: traffic incident, traffic event | Domains: land transport | Context: Ref: Glosario de IBM sobre transporte inteligente, http://www-01.ibm.com/support/knowledgecenter/? [11.12.2014] | Ref: Reglamento Delegado (UE) n° 886/2013 de la Comisión, de 15 de mayo de 2013, que complementa la Directiva 2010/40/UE";"COM-ES a partir del Glosario de IBM sobre transporte inteligente, <a href=""http://www-01.ibm.com/support/knowledgecenter/?lang=es#!/SSTMV4_1.6.0/transport/ref_glossary.dita"" target=""_blank"">http://www-01.ibm.com/support/knowledgecenter/?lang=es#!/SSTMV4_1.6.0/transport/ref_glossary.dita</a> [11.12.2014]";"Variants: incidente de tráfico, suceso de tráfico | Domains: land transport | Context: Ref: Glosario de IBM sobre transporte inteligente, http://www-01.ibm.com/support/knowledgecenter/? [11.12.2014] | Ref: Reglamento Delegado (UE) n° 886/2013 de la Comisión, de 15 de mayo de 2013, que complementa la Directiva 2010/40/UE del Parlamento Europeo y del Consejo en lo que respecta a los datos y procedimientos para facilitar, cuando sea posible, información mínima universal sobre el tráfico en relación con la seguridad vial, con carácter gratuito para el usuario; artículo 3, CELEX:32013R0886/ES"
composición del tren;"La composición del tren es el proceso por el cual se combinan los vagones de un tren para crear una formación que cumpla con las necesidades de pasajeros o carga. El proceso de composición del tren puede ser manual o automatizado, dependiendo del tipo de tren y del sistema utilizado.

En general, la composición del tren implica la selección de los vagones adecuados para la formación, su alineamiento en la plataforma de montaje y su conexión entre sí mediante acoplamientos mecánicos o electromagnéticos. Los vagones pueden ser acoplados en varias configuraciones diferentes, como serie, paralela o mixta, según la necesidad.

El proceso de composición del tren también incluye la verificación de la integridad estructural y el funcionamiento de los sistemas de seguridad, como frenos, luces y señales. Además, se realizan pruebas de calibración y ajuste de los sistemas de control y comunicación del tren, como los sistem";Diccionario de transportes públicos urbanos y suburbanos, 1986;Variants: composición del tren, formación de un tren | Domains: TRANSPORT, land transport | Context: Ref: Diccionario de transportes públicos urbanos y suburbanos, 1986 | Ref: Diccionario de transportes públicos urbanos y suburbanos, 1986
