term;definition;source;info_semantica
obstrucción no gestionada de una carretera;La obstrucción no gestionada de una carretera se refiere a la situación en la que una carretera está bloqueada o parcialmente bloqueada debido a un incidente, accidente, obra o cualquier otra causa, pero no ha sido adecuadamente gestionada por las autoridades competentes, lo que puede provocar retrasos, congestiones o incluso riesgos para la seguridad vial.;"Reglamento Delegado (UE) n° 886/2013 de la Comisión, de 15 de mayo de 2013, que complementa la Directiva 2010/40/UE del Parlamento Europeo y del Consejo en lo que respecta a los datos y procedimientos para facilitar, cuando sea posible, información mínima universal sobre el tráfico en relación con la seguridad vial, con carácter gratuito para el usuario, <a href=""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32013R0886"" target=""_blank"">CELEX:32013R0886/ES</a>";Variants: obstrucción no gestionada de una carretera | Domains: land transport | Context: Ref: Reglamento Delegado (UE) n° 886/2013 de la Comisión, de 15 de mayo de 2013, que complementa la Directiva 2010/40/UE del Parlamento Europeo y del Consejo en lo que respecta a los datos y procedimientos para facilitar, cuando sea posible, información mínima universal sobre el tráfico en relación con la seguridad vial, con carácter gratuito para el usuario, CELEX:32013R0886/ES
dirección asistida;"La definición del término ""dirección asistida"" es:";TERMCAT;Variants: dirección asistida | Domains: land transport | Context: Ref: TERMCAT
plena vía;"La definición del término ""plena vía"" se basa en su contexto de aplicación en el dominio del transporte terrestre. En este sentido, la plena vía hace referencia a la capacidad de un vehículo o tren de circular por una vía sin estar limitado por restricciones físicas o técnicas que impidan su paso completo. Esto sugiere que la plena vía se relaciona con la libertad de movimiento y la capacidad de acceder a toda la longitud de la vía, sin interrupciones ni obstáculos. La definición exacta sería:";"COM-ES a partir de la Decisión de la Comisión, de 26 de abril de 2011, sobre la especificación técnica de interoperabilidad del subsistema de infraestructura del sistema ferroviario transeuropeo convencional, <a href=""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32011D0275"" id=""CELEX_CONVERTER"" target=""_blank"">CELEX:32011D0275/ES</a>";Variants: plena vía | Domains: land transport | Context: Ref: Decisión de la Comisión, de 26 de abril de 2011, sobre la especificación técnica de interoperabilidad del subsistema de infraestructura del sistema ferroviario transeuropeo convencional, CELEX:32011D0275/ES
cambiador de hilo;"El ""cambiador de hilo"" es un dispositivo utilizado en infraestructuras ferroviarias para permitir el paso de trenes de diferentes anchos o configuraciones desde una vía a otra sin necesidad de cambiar completamente la configuración de la vía. Es un componente clave en la gestión de la interoperabilidad entre diferentes sistemas ferroviarios.";DGT-ES-TERM;"Variants: cambiador de hilo, cambiador de lado | Domains: land transport | Context: Por eso es muy probable que los ensayos, con los trenes Talgo XXI de GIF, instrumentalizados, de tracción diesel y rodadura desplazable comiencen a primeros del año 2002. Las pruebas se realizarán tomando en consideración numerosos aspectos de la actividad ferroviaria, entre los que destacarán la comprobación de la circulación sobre desvíos, cambios y cruzamientos, a 242 km/h en vía directa y a 110 km/h en vía desviada, las pruebas de circulación con trenes de carga, los estudios de los tramos de vía en placa y de vía con carril embebido y nuevo perfil, el análisis del comportamiento de los desvíos de tres carriles, y los ensayos del cambiador de lado del tercer carril. | Ref: Vía Libre , La revista del ferrocarril, http://www.vialibre-ffe.com/noticias.asp?cs=infr¬=262 (6-8-2010) | Ref: Ministerio de Fomento; Coordinadora para la Reapertura del Ferrocarril Canfranc-Olorón, http://crefco.org/017_Nueva%20variante%20de%20Huesca.pdf [22-01-2010] | Exactamente han sido instalados dos desvíos y cuatro cambiadores de lado de carril común (el que comparten los trenes de uno u otro ancho), también llamados cambiadores de hilo. | Ref: Ministerio de Fomento; Coordinadora para la Reapertura del Ferrocarril Canfranc-Olorón, http://crefco.org/017_Nueva%20variante%20de%20Huesca.pdf (6-8-2010) | Ref: Coordinadora para la Reapertura del Ferrocarril Canfranc-Olorón, http://crefco.org/017_Nueva%20variante%20de%20Huesca.pdf [22-01-2010]"
corazón;"La definición del término ""corazón"" en el contexto proporcionado se refiere a la parte delantera de un vehículo ferroviario o de transporte público que puede ser independiente y moverse por sí mismo, sin estar unida a otras unidades. El término se utiliza comúnmente en el contexto de los sistemas de transporte ferroviario y otros medios de transporte público.";Diccionario de transportes públicos urbanos y suburbanos, 1986;Variants: corazón, punta de corazón | Domains: land transport | Context: Ref: Diccionario de transportes públicos urbanos y suburbanos, 1986 | Ref: Dec. 96/206/ECSC, EC (1) OJ L 71/96 p.102 Dec. 93/186/EEC (2) OJ L 81/93 p.111
fuerza de lazo;La fuerza de lazo es un concepto relacionado con el transporte terrestre, específicamente en el contexto del sistema ferroviario de la Unión Europea. No se dispone de información adicional sobre este término.;<div>COM-ES, a partir de:</div><div>AENOR: UNE-EN 1991-2, <i>Eurocódigo 1: Acciones en estructuras. Parte 2: Cargas de tráfico en puentes</i>, (15.2.2023), (acceso mediante suscripción).<br></div>;Variants: fuerza de lazo | Domains: land transport | Context: Ref: Reglamento (UE) nº 1299/2014 de la Comisión relativo a las especificaciones técnicas de interoperabilidad del subsistema infraestructura en el sistema ferroviario de la Unión Europea(DO L 356 de 12.12.2014, p. 1).
camioneta;La camioneta es un tipo de vehículo que combina las características de un automóvil y un camión, diseñado para transportar carga o pasajeros. Es conocido por su plataforma abierta o cerrada con capacidad para cargar mercancías o equipo. Las camionetas suelen ser más compactas y fáciles de manejar que los camiones convencionales, pero aún ofrecen una gran capacidad de carga.;TERMCAT. Diccionari de trànsit (en curso de elaboración);Variants: camioneta, pick-up | Domains: land transport, TRANSPORT | Context: Ref: Maquinaria y equipos agrícolas, CEMAGREF, 1990 y Min. de Agricultura | Ref: Maquinaria y equipos agrícolas, CEMAGREF, 1990 y Min. de Agricultura
freno de zapata;El freno de zapata es un dispositivo que se utiliza para controlar o detener el movimiento de un vehículo. Se encuentra en las ruedas del tren de un ferrocarril y funciona mediante la aplicación de presión sobre un zapato o placa metálica que se coloca entre la rueda y el eje, lo que permite reducir la velocidad o detener el tren.;Diccionario de transportes públicos urbanos y suburbanos, 1986;Variants: freno de zapata | Domains: land transport | Context: Ref: Diccionario de transportes públicos urbanos y suburbanos, 1986
incidente de tráfico;"El término ""incidente de tráfico"" se refiere a cualquier evento o situación inesperada que ocurre en la vía pública relacionada con el movimiento de vehículos, peatones u otros usuarios de la infraestructura viaria, como accidentes, congestionamientos, bloqueos o cualquier otra interrupción del flujo normal del tráfico.";"COM-ES a partir del Glosario de IBM sobre transporte inteligente, <a href=""http://www-01.ibm.com/support/knowledgecenter/?lang=es#!/SSTMV4_1.6.0/transport/ref_glossary.dita"" target=""_blank"">http://www-01.ibm.com/support/knowledgecenter/?lang=es#!/SSTMV4_1.6.0/transport/ref_glossary.dita</a> [11.12.2014]";"Variants: incidente de tráfico, suceso de tráfico | Domains: land transport | Context: Ref: Glosario de IBM sobre transporte inteligente, http://www-01.ibm.com/support/knowledgecenter/? [11.12.2014] | Ref: Reglamento Delegado (UE) n° 886/2013 de la Comisión, de 15 de mayo de 2013, que complementa la Directiva 2010/40/UE del Parlamento Europeo y del Consejo en lo que respecta a los datos y procedimientos para facilitar, cuando sea posible, información mínima universal sobre el tráfico en relación con la seguridad vial, con carácter gratuito para el usuario; artículo 3, CELEX:32013R0886/ES"
composición del tren;La composición del tren se refiere a la disposición y arreglos de los vagones o coches que componen un tren, incluyendo su distribución y organización en función de su destino, tipo de transporte y otros factores relacionados con su operación.;Diccionario de transportes públicos urbanos y suburbanos, 1986;Variants: composición del tren, formación de un tren | Domains: TRANSPORT, land transport | Context: Ref: Diccionario de transportes públicos urbanos y suburbanos, 1986 | Ref: Diccionario de transportes públicos urbanos y suburbanos, 1986
