"term";"definition";"retrieved_sources"
"obstrucción no gestionada de una carretera";"La información mínima universal sobre el tráfico en relación con la seguridad vial (IUTSV) es la información que facilita un contenido mínimo acordado en materia de seguridad vial, accesible al mayor número posible de usuarios con un mínimo de esfuerzo.";"[""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32013R0886""]"
"plena vía";"1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1";"[""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32011D0275""]"
"componente de interoperabilidad";"1. El Comité se reunirá en sesión pública, salvo que la Comisión lo determine de otro modo. 2. El Comité se reunirá en sesión pública, salvo que la Comisión lo determine de otro modo. 3. El Comité se reunirá en sesión pública, salvo que la Comisión lo determine de otro modo. 4. El Comité se reunirá en sesión pública, salvo que la Comisión lo determine de otro modo. 5. El Comité se reunirá en sesión pública, salvo que la Comisión lo determine de otro modo. 6. El Comité se reunirá en sesión pública, salvo que la Comisión lo determine de otro modo. 7. El Comité se reunirá en sesión pública, salvo que la Comisión lo determine de otro modo. 8. El";"[""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32008L0057""]"
"tara";"volquete a mano para hormigón Entidades colaboradoras

DEFINICIÓN:

TARA";"[""http://diccionario.raing.es/es/lema/tara-0""]"
"red para bicicletas";"El término “datos” se refiere a cualquier información que se pueda codificar y procesar por medio de un sistema de computación.";"[""https://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32017R1926""]"
"paso libre de rueda en la punta del corazón";"1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1";"[""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32011D0275""]"
"tubería del breque";"Tubería del breque: Es un tubo de acero de sección circular, de diámetro variable, que se utiliza para transportar líquidos o gases. Se compone de dos partes: el cuerpo y la cabeza. El cuerpo es la parte central del tubo, mientras que la cabeza es la parte superior, donde se encuentra la válvula de seguridad.";"[""http://euroferroviarios.net/index.php?name=Reviews&amp;req=showcontent&amp;id=4783""]"
"camión cisterna";"volquete a mano para hormigón Entidades colaboradoras

DEFINICIÓN:";"[""http://diccionario.raing.es/es/lema/cami%C3%B3n-cisterna-0""]"
"plan de circulación vial";"Un plan de circulación vial es un documento que describe las características y condiciones de los caminos públicos en un área determinada, así como las medidas que se tomarán para mejorar su funcionamiento y seguridad. El plan debe incluir información sobre la ubicación, diseño, construcción y mantenimiento de las carreteras, así como las normas de tráfico y seguridad que se aplican en ellas. También debe proporcionar información sobre los planes de desarrollo futuro de las carreteras y las medidas que se tomarán para mejorar su funcionamiento y seguridad.";"[""http://ec.europa.eu/transport/themes/its/news/doc/2014-12-18-rtti/c(2014)9672_es.pdf""]"
"franja ferroviaria";"Adjudicación: la adjudicación de capacidad de infraestructura ferroviaria por un administrador de infraestructura.";"[""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32001L0014""]"
"ciclo de velocidad objetivo";"- ZLEV: factor de emisión cero y baja emisión";"[""https://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32019R1242""]"
