term;definition;source;info_semantica
obstrucción no gestionada de una carretera;Cualquier obstrucción parcial o total de una carretera que no haya sido objeto de medidas de seguridad adecuadas y debidamente señalizada.;"Reglamento Delegado (UE) n° 886/2013 de la Comisión, de 15 de mayo de 2013, que complementa la Directiva 2010/40/UE del Parlamento Europeo y del Consejo en lo que respecta a los datos y procedimientos para facilitar, cuando sea posible, información mínima universal sobre el tráfico en relación con la seguridad vial, con carácter gratuito para el usuario, <a href=""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32013R0886"" target=""_blank"">CELEX:32013R0886/ES</a>";Variants: obstrucción no gestionada de una carretera | Domains: land transport
dirección asistida;dirección hidráulica coaxial en la que la entrada en funcionamiento del servo no se produce hasta que el conductor no tenga que aplicar sobre el volante un esfuerzo superior a 1 o 2 kg., según el sistema;TERMCAT;Variants: dirección asistida | Domains: land transport
plena vía;Sección de una vía sin aparato de vía.;"COM-ES a partir de la Decisión de la Comisión, de 26 de abril de 2011, sobre la especificación técnica de interoperabilidad del subsistema de infraestructura del sistema ferroviario transeuropeo convencional, <a href=""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32011D0275"" id=""CELEX_CONVERTER"" target=""_blank"">CELEX:32011D0275/ES</a>";Variants: plena vía | Domains: land transport | Note: aparato de vía: conjunto completo de: desvío, travesía, etc.
cambiador de hilo;Dispositivo ferroviario que, en las vías mixtas (de doble ancho y tres carriles), permite cambiar el lado en que queda el tercer carril respecto a la marcha del tren, operación necesaria en las maniobras de desvío.;DGT-ES-TERM;Variants: cambiador de hilo, cambiador de lado | Domains: land transport | Note: Vér Graphics.
corazón;elemento de vía utilizado en los cambios de vía e intersecciones de vía en el punto en donde deben cruzarse dos carriles. Esta pieza de acero fundido tiene dos caminos de rodadura o canales que forman una X y quedan alineados con los carriles. Al atravesar el corazón la rueda se apoya sobre la pestaña, la cual recorre uno de los canales;Diccionario de transportes públicos urbanos y suburbanos, 1986;Variants: corazón, punta de corazón | Domains: land transport
fuerza de lazo;Fuerza puntual que actúa horizontalmente, en la parte superior de los carriles, perpendicular al eje de la vía.;<div>COM-ES, a partir de:</div><div>AENOR: UNE-EN 1991-2, <i>Eurocódigo 1: Acciones en estructuras. Parte 2: Cargas de tráfico en puentes</i>, (15.2.2023), (acceso mediante suscripción).<br></div>;Variants: fuerza de lazo | Domains: land transport
camioneta;vehículo parecido al camión, pero de dimensiones más reducidas;TERMCAT. Diccionari de trànsit (en curso de elaboración);Variants: camioneta, pick-up | Domains: TRANSPORT, land transport
freno de zapata;Unidad formada por una zapata de freno y un aparato para aplicar la zapata a la llanta de la rueda.;Diccionario de transportes públicos urbanos y suburbanos, 1986;Variants: freno de zapata | Domains: land transport
incidente de tráfico;Hecho significativo que se produce en una hora y lugar determinado y en el que están implicados un vehículo, una red de carreteras o un dispositivo de tráfico.;"COM-ES a partir del Glosario de IBM sobre transporte inteligente, <a href=""http://www-01.ibm.com/support/knowledgecenter/?lang=es#!/SSTMV4_1.6.0/transport/ref_glossary.dita"" target=""_blank"">http://www-01.ibm.com/support/knowledgecenter/?lang=es#!/SSTMV4_1.6.0/transport/ref_glossary.dita</a> [11.12.2014]";Variants: incidente de tráfico, suceso de tráfico | Domains: land transport
composición del tren;disposición de los diferentes tipos de coches,(automotores, remolques, con o sin cabina, etc.) que componen un tren;Diccionario de transportes públicos urbanos y suburbanos, 1986;Variants: composición del tren, formación de un tren | Domains: TRANSPORT, land transport
componente de interoperabilidad;Todo componente elemental, grupo de componentes, subconjunto o conjunto completo de materiales incorporados o destinados a ser incorporados en un subsistema, de los que dependa directa o indirectamente la interoperabilidad del sistema ferroviario.;"Directiva 2008/57/CE del Parlamento Europeo y del Consejo sobre la interoperabilidad del sistema ferroviario dentro de la Comunidad (Texto refundido), art. 2.f (DO L 191/2008, p. 1), <a href=""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32008L0057"" target=""_blank"">CELEX:32008L0057/ES</a>";"Variants: componente de interoperabilidad | Domains: land transport | Note: El concepto de ""componente"" engloba no solo objetos materiales, sino también inmateriales, como los programas informáticos."
tara;Peso del continente de una mercancía o género, vehículo, caja, vasija, etc., que se rebaja en la pesada total con el contenido.;"Dicc. de la RAI (ámbito de los transportes intermodales),<br> <a href=""http://diccionario.raing.es/es/lema/tara-0"" target=""_blank"">http://diccionario.raing.es/es/lema/tara-0</a> [15.9.2017]";Variants: peso en vacío, peso muerto, tara | Domains: TRANSPORT, technology and technical regulations
autobús con guiado automático;sistema de transporte consistente en autobuses o autocares que pudiendo funcionar normalmente por calles y carreteras con dispositivos de dirección normales y guiados por el conductor, en ciertas zonas de la ciudad (en túneles, puentes, etc., en zonas saturadas de tráfico) penetra en una calzada propia en donde es guiado automáticamente por sensores que tocan a unos muretes laterales de la calzada o por un cable o bucles embebidos en ella a lo largo de la misma;Diccionario de transportes públicos urbanos y suburbanos, 1986;Variants: autobús con guiado automático | Domains: TRANSPORT, information technology and data processing, land transport
intervalo en hora baja;intervalo en las horas que no son horas punta. Viene definido por la máxima espera a que quiere someterse al usuario por no existir a estas horas, en general, problemas de capacidad de transporte;Diccionario de transportes públicos urbanos y suburbanos, 1986;Variants: intervalo base, intervalo en hora baja | Domains: land transport
