term;definition;source;info_semantica
nueva emigración;La nueva emigración se refiere al movimiento de una persona que, después de haber regresado al país de salida u origen, emigra nuevamente.;"Organización Internacional para las Migraciones: <i>Glosario sobre migración</i>, Derecho Internacional sobre Migración n.º 7, Suiza, 2006 <a href=""http://publications.iom.int/bookstore/free/IML_7_SP.pdf"" target=""_blank"">http://publications.iom.int/bookstore/free/IML_7_SP.pdf</a> [5.8.2015]";Variants: nueva emigración | Domains: SOCIAL QUESTIONS | Context: Movimiento de una persona que, después de haber regresado al país de salida u origen, emigra nuevamente. | Ref: Organización Internacional para las Migraciones: Glosario sobre migración , Derecho Internacional sobre Migración n.º 7, Suiza, 2006 http://publications.iom.int/bookstore/free/IML_7_SP.pdf [5.8.2015]
inmigrante;"La definición del término ""inmigrante"" es:";"Consejo-ES a partir de la definición de «inmigración» <a href=""/entry/result/2249889/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:2249889</a> recogida en el Glosario sobre Migración de la OIM <a href=""http://publications.iom.int/bookstore/free/IML_7_SP.pdf"" target=""_blank"">http://publications.iom.int/bookstore/free/IML_7_SP.pdf</a> [15.7.2015].";Variants: inmigrante | Domains: SOCIAL QUESTIONS | Context: Persona que ingresa a un país cuya nacionalidad no posee, con el fin de establecerse en él. | Ref: Consejo-ES a partir de la definición de «inmigración» IATE:2249889 recogida en el Glosario sobre Migración de la OIM http://publications.iom.int/bookstore/free/IML_7_SP.pdf [15.7.2015].
evaluación de la edad;La evaluación de la edad se refiere al proceso mediante el cual las autoridades competentes en materia de asilo o migraciones intentan estimar la edad real o el rango de edad de un solicitante con el objetivo de determinar si este es un adulto o un menor de edad.;"Definición traducida del inglés, a partir de la Oficina Europea de Apoyo al Asilo <i>Guía práctica de la EASO sobre evaluación de la edad</i>, <a href=""https://easo.europa.eu/sites/default/files/EASO_Age_%20assessment_ES.pdf"" target=""_blank"">https://easo.europa.eu/sites/default/files/EASO_Age_%20assessment_ES.pdf</a> [24.11.2020]";Variants: evaluación de la edad | Domains: SOCIAL QUESTIONS | Context: proceso por el que las autoridades responsables en materia de asilo o migraciones tratan de estimar la edad cronológica o el rango de edad de un solicitante [ IATE:780544 ] para determinar si el solicitante es un adulto o un menor de edad | Ref: Definición traducida del inglés, a partir de la Oficina Europea de Apoyo al Asilo Guía práctica de la EASO sobre evaluación de la edad , https://easo.europa.eu/sites/default/files/EASO_Age_%20assessment_ES.pdf [24.11.2020]
desplazamiento secundario irregular;"El término ""desplazamiento secundario irregular"" se refiere al movimiento de personas que buscan asilo en un país diferente al que llegaron originalmente, sin el consentimiento previo de las autoridades locales, sin visado de entrada o con documentos insuficientes o falsos. Este tipo de movimiento suele ser ilegal y puede generar problemas administrativos y sociales en los países receptores. El desplazamiento secundario irregular puede deberse a diversas razones, como la búsqueda de mejores condiciones económicas, la persecución política o la protección de derechos humanos. Es importante destacar que este concepto está relacionado con la migración internacional y la gestión de fronteras, siendo objeto de estudio y debate en contextos políticos y sociales internacionales.";"Consejo-ES, a partir de:<div>Organización Internacional para las Migraciones (OIM), Glosario sobre Migración, <a href=""https://publications.iom.int/system/files/pdf/iml-34-glossary-es.pdf"" target=""_blank"">migración secundaria/movimiento secundario<time datetime=""7.1.2022""> (7.1.2022)</time></a>, Ginebra, 2019.</div> | Parlamento Europeo, <i><a href=""https://www.europarl.europa.eu/RegData/etudes/BRIE/2017/608728/EPRS_BRI(2017)608728_EN.pdf"" target=""_blank"">Secondary movements of asylum-seekers in the EU asylum system<time datetime=""7.1.2022""> (7.1.2022)</time></a></i>, 2017.";Variants: desplazamiento secundario irregular | Domains: SOCIAL QUESTIONS | Context: Movimiento de quienes solicitan o reciben asilo en un país distinto del país al que llegaron en primer lugar, sin el consentimiento previo de las autoridades nacionales, sin visado de entrada o con documentación insuficiente o falsa. | Ref: Consejo-ES, a partir de: Organización Internacional para las Migraciones (OIM), Glosario sobre Migración, migración secundaria/movimiento secundario (7.1.2022) , Ginebra, 2019. | Parlamento Europeo, Secondary movements of asylum-seekers in the EU asylum system (7.1.2022) , 2017.
recepción inicial;La recepción inicial es el procedimiento formal o informal que se activa a la llegada de un solicitante a un centro de acogida, durante el cual se recaba información sobre su historial médico, jurídico, social o psicológico, se lleva a cabo una primera identificación y evaluación de sus necesidades especiales de acogida, y los agentes de acogida le facilitan información sobre sus derechos y obligaciones. Este procedimiento forma parte del proceso de acogida más amplio, que incluye fases posteriores como la permanencia en acogida y otros aspectos relacionados con la atención a los solicitantes de protección internacional.;7CFCA785176C41CC89598719E7870E38;Variants: recepción inicial | Domains: SOCIAL QUESTIONS | Context: procedimiento formal o informal que se activa a la llegada de un solicitante a un centro de acogida, durante el cual se recaba información sobre su historial médico, jurídico, social o psicológico, se lleva a cabo una primera identificación y evaluación de sus necesidades especiales de acogida, y los agentes de acogida le facilitan información sobre sus derechos y obligaciones | Ref: 7CFCA785176C41CC89598719E7870E38
notificación de traslado;La notificación de traslado es una comunicación oficial de la autoridad competente del Estado miembro requirente a un solicitante de protección internacional, mediante la cual se le informa de manera oportuna y en un idioma que él comprenda, de la decisión de trasladarlo al Estado miembro considerado responsable del examen de su solicitud. Esta comunicación tiene lugar en el marco del Reglamento de Dublín, y su objetivo es mantener al solicitante informado sobre las acciones que se llevarán a cabo en relación con su solicitud de protección internacional. La notificación de traslado es un paso crucial en el proceso de determinación del Estado responsable del examen de la solicitud, según lo establecido en el Reglamento (UE) n.º 604/2013.;AF78722F16D6483886983675F44DBE5E;Variants: notificación de traslado | Domains: SOCIAL QUESTIONS | Context: en el contexto del Reglamento de Dublín, una comunicación oficial de la autoridad competente del Estado miembro requirente a un solicitante de protección internacional, en la que se le informa, de manera oportuna y en un idioma que el solicitante comprenda, de la decisión de trasladarlo al Estado miembro considerado responsable del examen de su solicitud | Ref: AF78722F16D6483886983675F44DBE5E
intervención de retorno;"La definición del término ""intervención de retorno"" es:";"COM-ES, basado en Comunicación de la Comisión - Reglamento del Parlamento Europeo y del Consejo sobre la Guardia Europea de Fronteras y Costas, COM(2015) 671 final, <a href=""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:52015PC0671"" target=""_blank"">CELEX:52015PC0671/ES</a> [21.6.2016]";Variants: intervención de retorno | Domains: SOCIAL QUESTIONS | Context: Operación para el retorno de nacionales de terceros países en situación irregular coordinada por la Agencia Europea de la Guardia de Fronteras y Costas con el apoyo técnico y operativo de uno o más Estados miembros en cuyo marco se lleva a cabo el retorno de nacionales de uno o más Estados miembros, tanto mediante el retorno forzoso como en cumplimiento voluntario de una obligación de retorno. | Ref: COM-ES, basado en Comunicación de la Comisión - Reglamento del Parlamento Europeo y del Consejo sobre la Guardia Europea de Fronteras y Costas, COM(2015) 671 final, CELEX:52015PC0671/ES [21.6.2016]
policía judicial;La policía judicial es un cuerpo policial especializado cuya función principal es investigar y perseguir crímenes y delitos, actuando bajo la supervisión de los tribunales y del ministerio fiscal. Su objetivo es descubrir y aprehender a los delincuentes y garantizar que se apliquen las leyes penales.;---;"Variants: policía judicial | Domains: SOCIAL QUESTIONS | Context: La que tiene por objeto la averiguación de los delitos públicos y el descubrimiento y aseguramiento de los delincuentes. En las funciones de investigación penal, la Policía Judicial actúa bajo la dirección de los Juzgados y Tribunales y del Ministerio Fiscal. (Arts. 126 de la Constitución, 443 a 446 de la LOPJ, 29 y ss. de la Ley 2/1/1986 de 13 de marzo, y Decreto 769/1987, de 19 de junio, sobre regulación de la Policía Judicial.) Diccionario Trivium, 1998."" | Ref: ---"
información del país de origen;La información del país de origen se refiere a la documentación y datos recopilados sobre el país de donde proviene un individuo, especialmente en relación con solicitudes de protección internacional. Esta información puede incluir aspectos como la situación política, económica y social del país de origen, así como detalles sobre la vida y circunstancias del solicitante antes de emigrar.;"Glosario sobre Migración y Asilo 2.0, Red Europea de Migraciones, Comisión Europea, enero de 2012, <a href=""http://ec.europa.eu/dgs/home-affairs/what-we-do/networks/european_migration_network/docs/emn-glossary-es-version.pdf"" target=""_blank"">http://ec.europa.eu/dgs/home-affairs/what-we-do/networks/european_migration_network/docs/emn-glossary-es-version.pdf</a> [12.8.2016]";Variants: información del país de origen | Domains: SOCIAL QUESTIONS | Context: Estados miembros a fin de analizar la situación sociopolítica en los países de origen de los solicitantes de protección internacional (y, cuando sea necesario, en los países a través de los cuales hayan transitado) para la valoración, llevada a cabo de manera individualizada, de la solicitud de protección internacional. | Ref: Glosario sobre Migración y Asilo 2.0, Red Europea de Migraciones, Comisión Europea, enero de 2012, http://ec.europa.eu/dgs/home-affairs/what-we-do/networks/european_migration_network/docs/emn-glossary-es-version.pdf [12.8.2016]
enfoque de puntos críticos;El enfoque de puntos críticos es un planteamiento consistente en que la Oficina Europea de Apoyo al Asilo (OEAA), Frontex y Europol trabajen con los estados miembros en primera línea para identificar, registrar y tomar huellas digitales a los migrantes en áreas específicas de alta presión migratoria. Este enfoque tiene como objetivo mejorar la respuesta a la crisis migratoria en estas zonas.;"Consejo-ES basado en la Comunicación de la Comisión «Una Agenda Europea de Migración» <a href=""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:52015DC0240"" target=""_blank"">CELEX:52015DC0240/ES</a>";Variants: enfoque de puntos críticos | Domains: SOCIAL QUESTIONS | Context: Planteamiento consistente en que la Oficina Europea de Apoyo al Asilo (OEAA), Frontex y Europol trabajen sobre el terreno con los Estados miembros situados en primera línea para proceder rápidamente a la identificación, el registro y la toma de huellas dactilares de los migrantes. | Ref: Consejo-ES basado en la Comunicación de la Comisión «Una Agenda Europea de Migración» CELEX:52015DC0240/ES
