"term";"definition";"retrieved_sources"
"intervención de retorno";"La Agencia de Fronteras Europeas (EUROFRONT) es una organización internacional que tiene como objetivo principal la cooperación entre los Estados miembros de la Unión Europea en materia de fronteras.";"[""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:52015PC0671""]"
"enfoque de puntos críticos";"";"[""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:52015DC0240""]"
"decisión de traslado";"1. “Solicitante”: persona que solicita asilo en un Estado miembro.";"[""https://op.europa.eu/s/uF72"", ""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32013R0604""]"
"equipo de intervención rápida en las fronteras";"La Agencia Europea para la Gestión de la Cooperación Operativa en las Fronteras Exteriores de los Estados miembros de la Unión Europea (Frontex) es una agencia de la Unión Europea que tiene como objetivo la cooperación entre los Estados miembros en materia de fronteras exteriores.";"[""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32007R0863""]"
"medida de solidaridad";"El gas natural es un combustible fósil, es decir, un hidrocarburo de cadena alifática, que se encuentra en estado gaseoso a temperatura ambiente.";"[""https://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:02017R1938-20220701"", ""https://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32022R2576""]"
"miembro de la familia";"Un trabajador fronterizo es un trabajador que reside en un Estado miembro y que, durante su último período de actividad por cuenta ajena o propia, haya trabajado en otro Estado miembro.";"[""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:02004R0883-20170411""]"
"procedimiento de retorno";"El retorno es el proceso de devolución de un inmigrante a su país de origen o país de procedencia.";"[""https://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:52018PC0634""]"
"mecanismo de reubicación de crisis";"El Reglamento (UE) nº 604/2013 del Parlamento Europeo y del Consejo, de 26 de junio de 2013, por el que se establecen los criterios y mecanismos de determinación del Estado miembro responsable del examen de una solicitud de protección internacional presentada en uno de los Estados miembros por un nacional de un tercer país o un apátrida.";"[""https://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:52015PC0450""]"
"decisión negativa";"Decisión negativa:";"[""https://op.europa.eu/s/uN9K""]"
"mecanismo de remisión";"La Agencia de Fronteras Europeas (EUROFRONTIERES) es una agencia de la Unión Europea que tiene como objetivo principal la gestión de las fronteras exteriores de la Unión Europea.";"[""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:52015PC0671""]"
"red «Seahorse Mediterráneo»";"El Enfoque Global de la Migración y la Movilidad (GAMM) es el marco general de la política de migración exterior y de asilo de la UE. Ese marco define las modalidades de diálogo político y cooperación operativa de la UE con terceros países en el ámbito de la migración y la movilidad, basadas en unas prioridades claramente definidas que reflejan los objetivos estratégicos de la UE y firmemente ancladas en la política exterior general de la UE, incluida la cooperación al desarrollo.";"[""https://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:52014DC0096""]"
"perspectiva razonable de expulsión";"El retorno es el proceso de devolución de un extranjero a su país de origen o de nacionalidad.";"[""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32008L0115""]"
"estancia";"";"[""https://ec.europa.eu/social/main.jsp?catId=857&amp;langId=es&amp;intPageId=984""]"
"retirada de la protección internacional";"La definición de refugiado es la que se encuentra en el artículo 1 de la Convención de Ginebra de 1951, que dice:";"[""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32013L0032""]"
"Red Europea de Migración";"Artículo 18 Recursos para el traslado de beneficiarios de protección internacional de un Estado miembro a otro 1. Además de su asignación calculada de conformidad con el artículo 15, apartado 1, letra a), los Estados miembros recibirán cada dos años un importe adicional de conformidad con el artículo 15, apartado 2, letra b), basado en una cantidad a tanto alzada de 6 000 EUR por cada beneficiario de protección internacional trasladado. 2. La cantidad a tanto alzada mencionada en el apartado 1 se incrementará a 10 000 EUR por cada beneficiario de protección internacional vulnerable de conformidad con el apartado 5. 3. Los siguientes grupos vulnerables de benefici";"[""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32008D0381"", ""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32014R0516""]"
"evaluación del interés superior del niño";"The best interests of the child shall be a primary consideration in all actions concerning children, whether undertaken by public or private social welfare institutions, courts of law, administrative authorities or legislative bodies. The term “best interests” refers to the child’s physical, psychological, moral, spiritual and social well-being. It is a broad concept that takes into account the child’s present and future needs, including the child’s right to life, survival and development. The best interests of the child should be determined in accordance with the Convention and other relevant international standards, taking into account the child’s views, where appropriate, and the child’s evolving capacities. The best interests of the child should be determined in a manner which is consistent with the child’s right to respect for the privacy of the family, the right to freedom of thought, conscience and religion, and the right to freedom of expression. The best interests of the child should be determined in a manner which";"[""https://www.refworld.org/pdfid/51a84b5e4.pdf""]"
"Programa de Reasentamiento de la Unión";"Reasentamiento:";"[""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:52016PC0468""]"
"política de retorno";"El retorno es el proceso de devolución de un extranjero a su país de origen o de nacionalidad.";"[""https://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32008L0115""]"
"Marco de Reasentamiento y Admisión Humanitaria de la Unión";"Reasentamiento: la admisión de nacionales de terceros países y apátridas que necesiten protección internacional, desde un tercer país del cual o dentro del cual han sido desplazados, al territorio de uno de los Estados miembros con el fin de concederles dicha protección.";"[""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:52016PC0468""]"
"solicitud de protección internacional";"Solicitud inadmisible: una solicitud de protección internacional que no se examine con arreglo a la Directiva 2011/95/UE.";"[""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32013L0032""]"
"reconocimiento del estatuto de protección internacional";"The term “recognition of international protection status” refers to the process by which a country recognizes the validity of another country’s protection of a particular intellectual property right. This recognition can be either formal or informal, and it may involve the exchange of information between the two countries or the establishment of a bilateral agreement. The purpose of this recognition is to ensure that the rights holder is able to enforce their rights in both countries.";"[""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32011R0095""]"
"retorno voluntario";"Retorno voluntario: es el regreso a su país de origen, de tránsito o de tercer país, basado en la voluntad libre del retornante.";"[""https://home-affairs.ec.europa.eu/networks/european-migration-network-emn/emn-asylum-and-migration-glossary/glossary/voluntary-return_en""]"
"acto de persecución";"Acto de persecución:";"[""https://home-affairs.ec.europa.eu/pages/glossary/act-persecution_en""]"
"misión de selección in situ";"Un refugiado es una persona que, debido a razones de origen nacional, racial, étnica, religiosa, política o de pertenencia a un grupo social particular, ha tenido que abandonar su país de origen y no puede volver a él, o no puede permanecer en él, debido a que corra el riesgo de ser perseguido, o de ser sometido a tratamiento inhumano o degradante.";"[""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:52016DC0165""]"
"menor";"";"[""https://ec.europa.eu/immigration/glosario_es#glosM""]"
