term;definition;source
obstrucción no gestionada de una carretera;Cualquier obstrucción parcial o total de una carretera que no haya sido objeto de medidas de seguridad adecuadas y debidamente señalizada.;"Reglamento Delegado (UE) n° 886/2013 de la Comisión, de 15 de mayo de 2013, que complementa la Directiva 2010/40/UE del Parlamento Europeo y del Consejo en lo que respecta a los datos y procedimientos para facilitar, cuando sea posible, información mínima universal sobre el tráfico en relación con la seguridad vial, con carácter gratuito para el usuario, <a href=""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32013R0886"" target=""_blank"">CELEX:32013R0886/ES</a>"
dirección asistida;dirección hidráulica coaxial en la que la entrada en funcionamiento del servo no se produce hasta que el conductor no tenga que aplicar sobre el volante un esfuerzo superior a 1 o 2 kg., según el sistema;TERMCAT
plena vía;Sección de una vía sin aparato de vía.;"COM-ES a partir de la Decisión de la Comisión, de 26 de abril de 2011, sobre la especificación técnica de interoperabilidad del subsistema de infraestructura del sistema ferroviario transeuropeo convencional, <a href=""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32011D0275"" id=""CELEX_CONVERTER"" target=""_blank"">CELEX:32011D0275/ES</a>"
cambiador de hilo;Dispositivo ferroviario que, en las vías mixtas (de doble ancho y tres carriles), permite cambiar el lado en que queda el tercer carril respecto a la marcha del tren, operación necesaria en las maniobras de desvío.;DGT-ES-TERM
corazón;elemento de vía utilizado en los cambios de vía e intersecciones de vía en el punto en donde deben cruzarse dos carriles. Esta pieza de acero fundido tiene dos caminos de rodadura o canales que forman una X y quedan alineados con los carriles. Al atravesar el corazón la rueda se apoya sobre la pestaña, la cual recorre uno de los canales;Diccionario de transportes públicos urbanos y suburbanos, 1986
fuerza de lazo;Fuerza puntual que actúa horizontalmente, en la parte superior de los carriles, perpendicular al eje de la vía.;<div>COM-ES, a partir de:</div><div>AENOR: UNE-EN 1991-2, <i>Eurocódigo 1: Acciones en estructuras. Parte 2: Cargas de tráfico en puentes</i>, (15.2.2023), (acceso mediante suscripción).<br></div>
camioneta;vehículo parecido al camión, pero de dimensiones más reducidas;TERMCAT. Diccionari de trànsit (en curso de elaboración)
freno de zapata;Unidad formada por una zapata de freno y un aparato para aplicar la zapata a la llanta de la rueda.;Diccionario de transportes públicos urbanos y suburbanos, 1986
incidente de tráfico;Hecho significativo que se produce en una hora y lugar determinado y en el que están implicados un vehículo, una red de carreteras o un dispositivo de tráfico.;"COM-ES a partir del Glosario de IBM sobre transporte inteligente, <a href=""http://www-01.ibm.com/support/knowledgecenter/?lang=es#!/SSTMV4_1.6.0/transport/ref_glossary.dita"" target=""_blank"">http://www-01.ibm.com/support/knowledgecenter/?lang=es#!/SSTMV4_1.6.0/transport/ref_glossary.dita</a> [11.12.2014]"
composición del tren;disposición de los diferentes tipos de coches,(automotores, remolques, con o sin cabina, etc.) que componen un tren;Diccionario de transportes públicos urbanos y suburbanos, 1986
componente de interoperabilidad;Todo componente elemental, grupo de componentes, subconjunto o conjunto completo de materiales incorporados o destinados a ser incorporados en un subsistema, de los que dependa directa o indirectamente la interoperabilidad del sistema ferroviario.;"Directiva 2008/57/CE del Parlamento Europeo y del Consejo sobre la interoperabilidad del sistema ferroviario dentro de la Comunidad (Texto refundido), art. 2.f (DO L 191/2008, p. 1), <a href=""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32008L0057"" target=""_blank"">CELEX:32008L0057/ES</a>"
tara;Peso del continente de una mercancía o género, vehículo, caja, vasija, etc., que se rebaja en la pesada total con el contenido.;"Dicc. de la RAI (ámbito de los transportes intermodales),<br> <a href=""http://diccionario.raing.es/es/lema/tara-0"" target=""_blank"">http://diccionario.raing.es/es/lema/tara-0</a> [15.9.2017]"
autobús con guiado automático;sistema de transporte consistente en autobuses o autocares que pudiendo funcionar normalmente por calles y carreteras con dispositivos de dirección normales y guiados por el conductor, en ciertas zonas de la ciudad (en túneles, puentes, etc., en zonas saturadas de tráfico) penetra en una calzada propia en donde es guiado automáticamente por sensores que tocan a unos muretes laterales de la calzada o por un cable o bucles embebidos en ella a lo largo de la misma;Diccionario de transportes públicos urbanos y suburbanos, 1986
intervalo en hora baja;intervalo en las horas que no son horas punta. Viene definido por la máxima espera a que quiere someterse al usuario por no existir a estas horas, en general, problemas de capacidad de transporte;Diccionario de transportes públicos urbanos y suburbanos, 1986
red para bicicletas;Conjunto de rutas para bicicletas constituidas por  carriles bici segregados, en calzada compartida con vehículos, en acera compartida con peatones.;"<div>COM-ES, basado en:</div><br> <a href=""https://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32017R1926"" target=""_blank"">Reglamento Delegado (UE) 2017/1926 de la Comisión, de 31 de mayo de 2017, que complementa la Directiva 2010/40/UE del Parlamento Europeo y del Consejo en lo que se refiere al suministro de servicios de información sobre desplazamientos multimodales en toda la Unión<br></a>"
informe de seguridad;documento que el solicitante o el concesionario de la licencia facilita al órgano reglamentador y que contiene la información relativa a la central nuclear, a su diseño, al análisis de accidentes, y a las disposiciones para reducir al mínimo el riesgo para la población y para el personal del emplazamiento;OIEA
punto de referencia del parabrisas;por puntos de referencia del parabrisas se entiende los puntos situados en la intersección con el parabrisas de las líneas que irradian hacia delante desde los puntos V hasta la superficie exterior del mismo;---
automóviles particulares correspondientes a un modelo de la gama considerada en el acuerdo;"vehículos particulares: 1) que el constructor fabrique o monte en serie; 2) cuya carrocería sea de forma idéntica y cuyos trenes de rodamiento, grupo motopropulsor y tipo de motor, sean idénticos a los de las automóviles particulares de la gama considerada en el acuerdo";DOCE L 015,18.01.1985, p. 24
paso libre de rueda en la punta del corazón;Cota entre las caras activas de la pata de liebre del corazón y del contracarril opuesto, medida en el ancho de vía.;"Decisión de la Comisión, de 26 de abril de 2011, sobre la especificación técnica de interoperabilidad del subsistema de infraestructura del sistema ferroviario transeuropeo convencional, <a href=""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32011D0275"" target=""_blank"">CELEX:32011D0275/ES</a>"
enganche articulado;los enganches podrán fijarse al remolque de tal modo que se puedan desplazar libremente en el plano vertical y no soporten ninguna carga vertical, enganche articulado, o bien estar fijados en el plano vertical de forma que soporten una carga vertical, enganche rígido;---
autobús por teléfono;modalidad de servicio a la demanda en que una flota de microbuses controlados por radio desde un puesto central se manda a recoger a los usuarios que (en general por teléfono) lo han pedido a este puesto central indicando donde están y adónde quieren ir. El puesto central manda para atender a este pasajero, mediante un sistema manual o por ordenador, al microbús que menos debe desviarse de su ruta;Diccionario de transportes públicos urbanos y suburbanos, 1986
tubería del breque;Tubería que transmite el freno a los distintos vehículos de una composición de tren en el sistema de freno neumático.;"<a href=""http://euroferroviarios.net/index.php?name=Reviews&amp;req=showcontent&amp;id=4783"" target=""_blank"">Euroferroviarios &gt; Glosario &gt; Tubería del freno.<time datetime=""22.3.2023""> (22.3.2023)</time></a>"
servicio de lanzadera con alojamiento;los servicios de lanzadera con alojamiento proporcionarán, además del transporte, el alojamiento, con o sin comida, en el lugar de destino y, en su caso, durante el viaje, a por lo menos el 80 por ciento de los viajeros;Reglamento (CEE) N° 684/92 del Consejo , DOCE L 74/1992 2
canal de giro a la izquierda;carril reservado para movimientos de giro y señalizado específicamente;Diccionario Técnico Vial de la AIPCR, 1991
profesión de transportista de viajeros por carretera;la actividad de cualquier empresa que efectúe transportes de viajeros ofrecidos al público o a determinadas categorías de usuarios, mediante vehículos automóviles que, por su tipo de construcción y su equipamiento, sean aptos para transportar a más de nueve personas, incluido el conductor, y estén destinados a tal fin, a cambio de una remuneración pagada por la persona transportada o por el organizador del transporte;DOCE L 212,22.07.1989, p. 103
camión cisterna;Chasis de camión sobre el cual se monta un depósito cilíndrico horizontal proyectado para el transporte de líquidos, productos químicos, gases, sólidos fundibles, lodos, emulsiones o sólidos fluidificables.;"Diccionario Español de Ingeniería, DEI, Real Academia de Ingeniería, Madrid, 2014, <a href=""http://diccionario.raing.es/es/lema/cami%C3%B3n-cisterna-0"" target=""_blank"">«camión cisterna»<time datetime=""25.7.2019""> (25.7.2019)</time></a>"
plan de circulación vial;Medidas permanentes de gestión del tráfico diseñadas por los gestores del tráfico para controlar y ordenar los flujos de tráfico en respuesta a perturbaciones permanentes o recurrentes del tráfico.;"Reglamento Delegado (UE) nº …/.. de la Comisión de 18.12.2014 por el que se complementa la Directiva 2010/40/UE del Parlamento Europeo y del Consejo en lo que se refiere al suministro de servicios de información de tráfico en tiempo real en toda la Unión Europea, <a href=""http://ec.europa.eu/transport/themes/its/news/doc/2014-12-18-rtti/c(2014)9672_es.pdf"" target=""_blank"">http://ec.europa.eu/transport/themes/its/news/doc/2014-12-18-rtti/c(2014)9672_es.pdf</a> [25.4.2015]"
supercarretera;"una carretera especialmente concebida y construida para la circulación de automóviles a la que no tengan acceso las propiedades colindantes y que: a) conste de distintas calzadas para cada sentido de circulación, separadas entre sí, salvo en puntos singulares o con carácter temporal, por una franja de terreno no destinada a la circulación o, en casos excepcionales, por otros medios, b) no cruce a nivel ninguna otra senda, vía de ferrocarril ni de tranvía ni senda para circulación de peatones; c) esté señalizada específicamente como autopista";Directiva 93/89/CEE del Consejo, DO 1993 L 279/33
aceleración máxima;máxima aceleración que es capaz de alcanzar un vehículo, como consecuencia de su sistema de propulsión, en vía o carretera horizontal sin carga de viajeros o mercancía y sin otros elementos o fuerzas externas que puedan tender a aumentarla o disminuirla, como por ejemplo el viento;Diccionario de transportes públicos urbanos y suburbanos, 1986
asiento delantero para el pasajero;"cualquier asiento que, en su posición más avanzada, su ""punto H"" se encuentra en el plano vertical transversal que pasa por el punto R del conductor, o por delante del mismo";Directiva 90/628/CEE de la Comisión , DOCE L 341/1990 3
caballete;sostén formado por un madero horizontal y cuatro tornapuntas arriostradas que le sirven de pie;TERMCAT
camino de servicio;calzada paralela a una carretera de acceso limitado y cuyo objeto es conducir el tráfico a los accesos y servir a los edificios y fincas colindantes;Diccionario Técnico Vial de la AIPCR, 1991
vía de carga;vía destinada al transbordo de las UTI;---
transporte público explotado por la administración;explotación del transporte de una ciudad, zona o línea por la propia administración (ayuntamiento de la ciudad) o un ente directamente dependiente de ella, y que forma parte de la misma;Diccionario de transportes públicos urbanos y suburbanos, 1986
