term;definition;source;info_semantica
aeronomía;Aeronomy is the study of the upper atmosphere, which extends from about 10 km to 1000 km above the Earth's surface. The upper atmosphere is divided in.;Real Academia de Ciencias Exactas, Físicas y Naturales, <i>Vocabulario científico y técnio</i>, tercera edición, Espasa, Madrid, 1996, p. 35.;Variants: aeronomía | Domains: SCIENCE | Context: Estudio de las propiedades físicas y químicas de la atmósfera superior, es decir, por encima de los 40-50 km de altura, donde las características fundamentales de la atmósfera están ligadas a procesos de disociación e ionización. | Ref: Real Academia de Ciencias Exactas, Físicas y Naturales, <i>Vocabulario científico y técnio</i>, tercera edición, Espasa, Madrid, 1996, p. 35.
acreción;## acreción (n.) 1. The increase in the size of a body or organism by growth, as opposed to an increase in mass due to accumulation of material. 2. An.;Glosario multilingüe de protección civil 1990,Grupo de Trabajo Comisión Europea/Estados Miembros;Variants: acreción | Domains: SCIENCE | Context: en meteorología, el fenómeno por el que partículas suspendidas en el aire se adhieren a cuerpos fijos o volantes, como hace el hielo en los cables de teléfono o en los aviones | Ref: Glosario multilingüe de protección civil 1990,Grupo de Trabajo Comisión Europea/Estados Miembros
halófito;1. 2. 3. 4. 5. 6. 7. 8. 9. 10. 11. 12. 13. 14. 15. 16. 17. 18. 19. 20. 21. 22. 23. 24. 25. 26. 27. 28. 29. 30. 31. 32. 33. 34.;"Sobre la base de Salvador Rivas-Martínez: <i>Global Bioclimatics(Clasificación Bioclimática de la Tierra) (Versión 27-08-2004)</i> ( <a href=""http://webs.ucm.es/info/cif/book/bioc/global_bioclimatics_8.htm"" target=""_blank"">http://webs.ucm.es/info/cif/book/bioc/global_bioclimatics_8.htm</a> ) (consultado el 26.2.2018)";"Variants: halófito | Domains: SCIENCE | Context: Planta que prospera en suelos salinos donde abundan las sales sódicas. | Ref: Sobre la base de Salvador Rivas-Martínez: <i>Global Bioclimatics(Clasificación Bioclimática de la Tierra) (Versión 27-08-2004)</i> ( <a href=""http://webs.ucm.es/info/cif/book/bioc/global_bioclimatics_8.htm"" target=""_blank"">http://webs.ucm.es/info/cif/book/bioc/global_bioclimatics_8.htm</a> ) (consultado el 26.2.2018)"
kelvin;1 0 # Definición de kelvin The Kelvin scale is a thermodynamic temperature scale using the unit kelvin, where absolute zero is set at 0 K. It began as.;Glosario multilingüe de protección civil 1990,Grupo de Trabajo Comisión Europea/Estados Miembros;Variants: kelvin | Domains: SCIENCE | Context: Unidad estándar de temperatura termodinámica, correspondiente a la temperatura Celsius. | Ref: Glosario multilingüe de protección civil 1990,Grupo de Trabajo Comisión Europea/Estados Miembros
índice Wmin;## índice Wmin ### Definición de índice Wmin Wmin is the minimum value of the index W, which is defined as the ratio between the number of species in .;ICID-Comité Español de Riegos y Drenajes, 1977;Variants: índice Wmin | Domains: SCIENCE | Context: en condiciones de intensa humedad, cuando el grado de retención es mínimo, los valores del índice W y del índice phi son casi idénticos y el índice W se llama Wmin | Ref: ICID-Comité Español de Riegos y Drenajes, 1977
física de la atmósfera;## física de la atmósfera La física de la atmósfera es una rama de la física que estudia las propiedades físicas de la atmósfera terrestre, incluyendo.;Experto español en la materia.;Variants: física de la atmósfera | Domains: SCIENCE | Context: Estudio de los fenómenos físicos de la atmósfera. | Ref: Experto español en la materia.
actividad fotosintética;Fotosíntesis es la reacción química que ocurre en las plantas, algas y cianobacterias mediante la cual se produce energía a partir de la luz solar. La.;Termcat;Variants: actividad fotosintética | Domains: SCIENCE | Context: poder, de una sustancia u organismo, de transformar la luz en energía utilizable por los organismos vivos | Ref: Termcat
espícula;## espícula (Science: botany) A small, thin, flat, usually green, leaf-like structure, which is attached to the stem of a plant by means of a stalk or.;"<div>COM-ES, basado en:</div><div>British Society for Immunology, Home &gt; Public information &gt; Bitesized immunology &gt; Pathogens and disease &gt;<a href=""https://www.immunology.org/es/public-information/bitesized-immunology/pathogens-and-disease/virus-introducci%C3%B3n"" target=""_blank""> Virus: introducción<time datetime=""5.6.2020""> (5.6.2020)</time></a><br></div>";"Variants: espícula | Domains: SCIENCE | Context: Proteína (típicamente una glicoproteína) codificada por un virus e insertada en su envoltura lipídica, que participa en el reconocimiento de los receptores y en el tropismo viral. | Ref: <div>COM-ES, basado en:</div><div>British Society for Immunology, Home &gt; Public information &gt; Bitesized immunology &gt; Pathogens and disease &gt;<a href=""https://www.immunology.org/es/public-information/bitesized-immunology/pathogens-and-disease/virus-introducci%C3%B3n"" target=""_blank""> Virus: introducción<time datetime=""5.6.2020""> (5.6.2020)</time></a><br></div>"
roedor doméstico;## roedor doméstico ### Definición y sinónimos de roedor doméstico (ciencias naturales) Un roedor es un animal que tiene dientes incisivos que crecen .;DO 1989 C 327/58;Variants: roedor doméstico | Domains: SCIENCE | Context: los roedores nacidos, criados y mantenidos en cautividad | Ref: DO 1989 C 327/58
isóbata de la superficie piezométrica;## isobath of the piezometric surface (isobatía de la superficie piezométrica) The line that connects points on a map with equal piezometric head. The.;ICID-Comité Español de Riegos y Drenajes, 1977;Variants: isóbata de la superficie piezométrica | Domains: SCIENCE | Context: curva en la superficie del terreno, cuyos puntos están a igual distancia por encima de la superficie piezométrica | Ref: ICID-Comité Español de Riegos y Drenajes, 1977
