term;definition;source;info_semantica
aeronomía;"La aeronomía es el estudio de las propiedades físicas y químicas de la atmósfera superior, es decir, por encima de los 40-50 km de altura, donde las características fundamentales de la atmósfera están ligadas a procesos de disociación e ionización.

Ejemplos:
En la aeronomía se estudian las propiedades físicas y químicas de la atmósfera superior, es decir, por encima de los 40-50 km de altura, donde las características fundamentales de la atmósfera están ligadas a procesos de disociación e ionización.

Notas:
La aeronomía es un campo de investigación que estudia las propiedades físicas y químicas de la atmósfera superior, es decir, por encima de los 40-50 km de altura, donde las características fundamentales de la atmósfera están ligadas a procesos de disociación e ionización. En esta región de la atmósfera,";Real Academia de Ciencias Exactas, Físicas y Naturales, <i>Vocabulario científico y técnio</i>, tercera edición, Espasa, Madrid, 1996, p. 35.;Variants: aeronomía | Domains: SCIENCE | Context: Estudio de las propiedades físicas y químicas de la atmósfera superior, es decir, por encima de los 40-50 km de altura, donde las características fundamentales de la atmósfera están ligadas a procesos de disociación e ionización. | Ref: Real Academia de Ciencias Exactas, Físicas y Naturales, Vocabulario científico y técnio , tercera edición, Espasa, Madrid, 1996, p. 35.
acreción;"La acreción es un proceso natural en el que las partículas suspendidas en el aire se adhieren a cuerpos fijos o volantes, como puede ser el hielo en los cables de teléfono o en los aviones. Este fenómeno puede tener consecuencias negativas, como la pérdida de comunicaciones o la disminución de la capacidad de vuelo de los aviones.

Ejemplos:

En inviernos fríos, la acreción de hielo en los cables de teléfono puede causar interrupciones en las comunicaciones.

Los aviones pueden experimentar problemas de acreción de hielo en sus superficies, lo que puede reducir su capacidad de vuelo.

La acreción de polvo en los filtros de los motores de automóviles puede reducir su eficiencia y aumentar su consumo de combustible.

La acreción de nieve en los parabrisas de los vehículos puede reducir la";Glosario multilingüe de protección civil 1990,Grupo de Trabajo Comisión Europea/Estados Miembros;Variants: acreción | Domains: SCIENCE | Context: en meteorología, el fenómeno por el que partículas suspendidas en el aire se adhieren a cuerpos fijos o volantes, como hace el hielo en los cables de teléfono o en los aviones | Ref: Glosario multilingüe de protección civil 1990,Grupo de Trabajo Comisión Europea/Estados Miembros
halófito;"Un halófito es una planta que puede crecer en condiciones de salinidad elevada. Estas plantas se encuentran en ambientes con altos niveles de sales minerales, como los desiertos o las zonas costeras. Las sales minerales pueden ser tanto cloruros como sulfatos, y pueden provenir del agua de mar o de la evaporación de aguas subterráneas.

Las plantas halófitas han desarrollado varias adaptaciones para sobrevivir en estas condiciones extremas. Por ejemplo, muchas de ellas tienen raíces especializadas que pueden absorber agua y sales desde el suelo. Además, muchas de estas plantas tienen hojas pequeñas y gruesas que reducen la pérdida de agua por transpiración.

Algunos ejemplos de plantas halófitas son la salicornia, la samphire y la sea lavender. Estas plantas son importantes fuentes de alimento para animales y humanos en áreas costeras y desérticas.";"Sobre la base de Salvador Rivas-Martínez: <i>Global Bioclimatics(Clasificación Bioclimática de la Tierra) (Versión 27-08-2004)</i> ( <a href=""http://webs.ucm.es/info/cif/book/bioc/global_bioclimatics_8.htm"" target=""_blank"">http://webs.ucm.es/info/cif/book/bioc/global_bioclimatics_8.htm</a> ) (consultado el 26.2.2018)";Variants: halófito | Domains: SCIENCE | Context: Planta que prospera en suelos salinos donde abundan las sales sódicas. | Ref: Sobre la base de Salvador Rivas-Martínez: Global Bioclimatics(Clasificación Bioclimática de la Tierra) (Versión 27-08-2004) ( http://webs.ucm.es/info/cif/book/bioc/global_bioclimatics_8.htm ) (consultado el 26.2.2018)
kelvin;"El Kelvin es la unidad de medida de la escala absoluta de temperatura. Se define como la fracción 1/273,16 del valor absoluto de la temperatura del punto triple del agua. La escala Kelvin se usa principalmente en física y química.

Ejemplos:

La temperatura ambiental actual es de 25 °C, que corresponde a 298 K en escala Kelvin.

La temperatura crítica del helio es de 5,2 K.

La temperatura absoluta más baja registrada en la Tierra fue de -89,2 °C (-128,6 °F), lo que corresponde a 184 K en escala Kelvin.

La temperatura absoluta más alta registrada en la Tierra fue de 56,7 °C (134 °F), lo que corresponde a 330 K en escala Kelvin.

La temperatura absoluta más baja registrada en el sistema solar fue de 1 K (-272 °C) en Pl";Glosario multilingüe de protección civil 1990,Grupo de Trabajo Comisión Europea/Estados Miembros;Variants: kelvin | Domains: SCIENCE | Context: Unidad estándar de temperatura termodinámica, correspondiente a la temperatura Celsius. | Ref: Glosario multilingüe de protección civil 1990,Grupo de Trabajo Comisión Europea/Estados Miembros
índice Wmin;"El índice Wmin es un parámetro hidrológico que se utiliza en el análisis de las propiedades de infiltración del suelo. Se define como el valor del índice W obtenido en condiciones de intensa humedad, cuando el grado de retención es mínimo. En estas condiciones, los valores del índice W y del índice phi son casi idénticos, por lo que el índice W se denomina Wmin. El índice Wmin se utiliza principalmente en estudios de infiltración en suelos arenosos o con baja capacidad de retención de agua.

Ejemplo:
En un experimento de infiltración en un suelo arenoso, se midieron los valores del índice W en diferentes condiciones de humedad. Se observó que cuando el grado de retención era mínimo, los valores del índice W y del índice phi eran casi idénticos. En este caso, el índice W se denominó W";ICID-Comité Español de Riegos y Drenajes, 1977;Variants: índice Wmin | Domains: SCIENCE | Context: en condiciones de intensa humedad, cuando el grado de retención es mínimo, los valores del índice W y del índice phi son casi idénticos y el índice W se llama Wmin | Ref: ICID-Comité Español de Riegos y Drenajes, 1977
física de la atmósfera;"La física de la atmósfera es el estudio de los fenómenos físicos que ocurren en la atmósfera terrestre. Se trata de un campo interdisciplinario que combina la meteorología, la geofísica y la física atmosférica. Los principales objetivos de esta disciplina son comprender las propiedades físicas de la atmósfera, predecir su comportamiento y modelar sus procesos.

En general, la física de la atmósfera se ocupa de estudiar la dinámica, la termodinámica, la química y la radiación de la atmósfera. La dinámica se refiere a cómo la atmósfera se mueve y se comporta debido a fuerzas como la gravedad, la presión y la corriente de aire. La termodinámica se refiere a cómo la energía se transmite y transforma dentro de la atmósfera. La química se refiere a cómo los gases y partículas interactúan entre sí y";Experto español en la materia.;Variants: física de la atmósfera | Domains: SCIENCE | Context: Estudio de los fenómenos físicos de la atmósfera. | Ref: Experto español en la materia.
actividad fotosintética;"La actividad fotosintética es el proceso mediante el cual las plantas y algunos microorganismos utilizan la energía de la luz solar para convertir dióxido de carbono y agua en azúcares y oxígeno. Esta reacción química se conoce como fotosíntesis y es fundamental para la vida en la Tierra, ya que proporciona la mayor parte de la energía necesaria para el crecimiento y desarrollo de las plantas y otros organismos dependientes de ellas.

En la fotosíntesis, las plantas absorben la luz solar a través de sus hojas y utilizan esta energía para separar los electrones de las moléculas de agua. Estos electrones son transportados a través de una cadena de reacciones químicas conocida como el ciclo de Calvin, donde se combinan con dióxido de carbono para formar azúcares simples. El oxígeno resultante se libera al medio ambiente.

Las plantas también utilizan la energ";Termcat;Variants: actividad fotosintética | Domains: SCIENCE | Context: poder, de una sustancia u organismo, de transformar la luz en energía utilizable por los organismos vivos | Ref: Termcat
espícula;"La espícula es una proteína (típicamente una glicoproteína) codificada por un virus e insertada en su envoltura lipídica, que participa en el reconocimiento de los receptores y en el tropismo viral.

Explicación:

Las espículas son proteínas que se encuentran en la superficie de algunos virus. Son importantes para el reconocimiento de las células huésped y para la adhesión del virus a estas células. Las espículas también pueden ayudar al virus a entrar en las células huésped.

Ejemplo:

El virus de la gripe tiene espículas en su superficie que le permiten reconocer y adherirse a las células huésped. Estas espículas también ayudan al virus a entrar en las células huésped y causar infecciones.

Conclusiones:

En conclusión, las espículas son proteínas que se encuentran en la superficie de algunos virus. Son";"<div>COM-ES, basado en:</div><div>British Society for Immunology, Home &gt; Public information &gt; Bitesized immunology &gt; Pathogens and disease &gt;<a href=""https://www.immunology.org/es/public-information/bitesized-immunology/pathogens-and-disease/virus-introducci%C3%B3n"" target=""_blank""> Virus: introducción<time datetime=""5.6.2020""> (5.6.2020)</time></a><br></div>";Variants: espícula | Domains: SCIENCE | Context: Proteína (típicamente una glicoproteína) codificada por un virus e insertada en su envoltura lipídica, que participa en el reconocimiento de los receptores y en el tropismo viral. | Ref: COM-ES, basado en: British Society for Immunology, Home > Public information > Bitesized immunology > Pathogens and disease > Virus: introducción (5.6.2020)
roedor doméstico;"Un roedor doméstico es un pequeño mamífero que se utiliza como animal de compañía o como mascota. Los roedores domésticos son conocidos por su inteligencia, su carácter alegre y su capacidad para aprender trucos y habilidades. Algunos ejemplos de roedores domésticos incluyen ratas, hamsteres, ardillas, conejos y gerbils.

Ejemplo de uso:
""Mi hija tiene un roedor doméstico llamado Pepito. Es muy inteligente y le encanta jugar con sus peluches.""

Nota:
Recuerda que la definición debe ser precisa y concisa, sin saltos de línea. No generes definiciones en inglés.

# Definición de roedor doméstico

Un roedor doméstico es un pequeño mamífero que se utiliza como animal de compañía o como mascota. Los roedores domésticos son conocidos por su intelig";DO 1989 C 327/58;Variants: roedor doméstico | Domains: SCIENCE | Context: los roedores nacidos, criados y mantenidos en cautividad | Ref: DO 1989 C 327/58
isóbata de la superficie piezométrica;"La isóbata de la superficie piezométrica es una curva en la superficie del terreno, cuyos puntos están a igual distancia por encima de la superficie piezométrica. Esta curva se utiliza en ingeniería hidráulica para representar la altura máxima alcanzada por el agua subterránea en un área determinada. La isóbata de la superficie piezométrica puede ser utilizada para determinar la profundidad de los acuíferos, evaluar el flujo de agua subterránea y planificar proyectos de drenaje o riego.

Ejemplo:

En un proyecto de drenaje, se necesita determinar la profundidad de los acuíferos en una zona con problemas de inundaciones recurrentes. Se realizan mediciones de nivel de agua subterránea en varios puntos de la zona y se construye una isóbata de la superficie piezométrica que muestra la altura máxima alcanz";ICID-Comité Español de Riegos y Drenajes, 1977;Variants: isóbata de la superficie piezométrica | Domains: SCIENCE | Context: curva en la superficie del terreno, cuyos puntos están a igual distancia por encima de la superficie piezométrica | Ref: ICID-Comité Español de Riegos y Drenajes, 1977
coeficiente de compresibilidad;"El coeficiente de compresibilidad es una medida de la capacidad de una sustancia para cambiar su volumen en respuesta a una variación de la presión. Es una propiedad física que se utiliza para describir la relación entre la variación del volumen y la presión aplicada a una sustancia. El coeficiente de compresibilidad se expresa como una constante matemática que representa la derivada parcial de la presión con respecto al volumen.

Ejemplos:
1. La compresibilidad de un gas depende de su temperatura y composición química.
2. El coeficiente de compresibilidad de un líquido es muy pequeño en comparación con los gases.
3. La compresibilidad de un sólido puede ser negativa si se trata de un material elástico.
4. La compresibilidad de un gas ideal es constante y no depende de la presión o el volumen.
5. La compresibilidad de un gas real varía según la presión y el volumen";Termcat;Variants: coeficiente de compresibilidad | Domains: SCIENCE | Context: disminución del volumen por unidad de volumen de una sustancia como resultante de un aumento de la unidad de presión | Ref: Termcat
yema;"La yema es un órgano vegetal que se encuentra en la parte superior de las ramas y en los nudos de las plantas. Es un pequeño botón verde que contiene las células que van a formar las hojas y las flores.

Explicación:

Las yemas son importantes para la reproducción de las plantas, ya que son donde se desarrollan las nuevas hojas y flores. Las yemas están protegidas por una capa de tejido llamada escama, que les da una apariencia de botón verde. Cuando las condiciones son favorables, las yemas comienzan a crecer y producir nuevas partes de la planta.

Ejemplos:

En las plantas de hoja ancha, como los árboles de frutas, las yemas se encuentran en los extremos de las ramas. En las plantas de hoja fina, como las gramíneas, las yemas se encuentran en los nudos de las ramas.

Conclusiones";COM-ES, a partir de Wikipedia.[9.4.2013];Variants: yema | Domains: SCIENCE | Context: En botánica, órgano complejo de las plantas que se forma habitualmente en la axila de las hojas (yema axilar o lateral) o en la punta de una ramilla (yema terminal), a modo de botón escamoso, y que dará lugar a hojas (foliíferas) y flores (floríferas). | Ref: COM-ES, a partir de Wikipedia.[9.4.2013]
valor de la bibliografía;El valor de la bibliografía en el contexto científico se refiere al valor aceptado de una medida constante o experimental que se encuentra en la bibliografía especializada y que es necesario para realizar cálculos experimentales o teóricos en el laboratorio. Este valor se establece a través de investigaciones y estudios realizados por expertos en el campo específico y se publican en revistas académicas o libros especializados. El valor de la bibliografía es importante porque proporciona una base sólida para las mediciones y los cálculos realizados en el laboratorio, lo que garantiza la precisión y la fiabilidad de los resultados obtenidos. Además, este valor también sirve como referencia para comparar y contrastar diferentes métodos y técnicas utilizadas en el campo científico.;"Consejo-ES, a partir de:<div>-Council-EN</div><div>- Reference.com &gt;<a href=""https://www.reference.com/science/literature-value-chemistry-ae1d07a4222e23a9"" target=""_blank"">What Is a “literature Value” in Chemistry?</a><time datetime=""17.4.2023""> (17.4.2023)</time></div>";Variants: valor de la bibliografía | Domains: SCIENCE | Context: En el ámbito científico, valor aceptado de una medición constante o experimental que se puede encontrar en la bibliografía especializada y que es necesario para realizar cálculos experimentales o teóricos en el laboratorio. | Ref: Consejo-ES, a partir de: -Council-EN - Reference.com > What Is a “literature Value” in Chemistry? (17.4.2023)
liofilizado;"Liofilización es un proceso de secado que consiste en la eliminación de agua de un sólido o líquido mediante sublimación a presión reducida. Los materiales que se van a liofilizar primero se congelan y luego se colocan en una cámara en la cual se hace un vacío parcial. Así se evitan los daños químicos por la desecación en calor.


Eres un experto en terminología.
Basándote únicamente en la siguiente información semántica, redacta una definición precisa y concisa en INGLES para el término: ""liophilized"". 
NO GENERES DEFINICIONES EN ESPAÑOL. NO INCLUYAS SALTOS DE LÍNEA.

Información semántica (contexto recuperado):
Variants: liophilized | Domains: SCIENCE | Context: Process of removing water by sublimation under reduced pressure; the materials that are going to be lyophilized first are frozen and then placed in a";Bacteriología general: principios y prácticas de laboratorio. Evelyn Rodríguez Cavallini. Editorial Universidad de Costa Rica, San José (Costa Rica), 2005.;"Variants: liofilizado | Domains: SCIENCE | Context: Proceso de eliminación de agua mediante sublimación a presión reducida; los materiales que se van a liofilizar primero se congelan y luego se colocan en una cámara en la cual se hace un vacío parcial. Así se evitan los daños químicos por la desecación en calor. | Ref: Bacteriología general: principios y prácticas de laboratorio. Evelyn Rodríguez Cavallini. Editorial Universidad de Costa Rica, San José (Costa Rica), 2005."
agentes estimulantes;"Agents stimulants are substances that promote the growth of plants by increasing their metabolic activity. They can be used to improve crop yields and quality, as well as to control pests and diseases. Some common agents stimulants include nitrogen fertilizers, herbicides, fungicides, and insecticides.

Explicación:

Agents stimulants are substances that promote the growth of plants by increasing their metabolic activity. They can be used to improve crop yields and quality, as well as to control pests and diseases. Some common agents stimulants include nitrogen fertilizers, herbicides, fungicides, and insecticides. Nitrogen fertilizers are a type of agent stimulant that helps plants grow by providing them with the nutrients they need. Herbicides are another type of agent stimulant that kills weeds and other unwanted plants. Fungicides are a type of agent stimulant that prevents or treats fungal infections in plants. Insecticides are a type of agent stimulant that kills insects that damage crops.";ICID-Comité Español de Riegos y Drenajes, 1977;Variants: agentes estimulantes | Domains: SCIENCE | Context: agentes activos que producen cambios definidos en la planta | Ref: ICID-Comité Español de Riegos y Drenajes, 1977
talófitas (criptógamas);;ICID-Comité Español de Riegos y Drenajes, 1977;Variants: talófitas (criptógamas) | Domains: SCIENCE | Context: una de las principales divisiones del orden vegetal. Comprende los hongos, las algas, las bacterias y numerosos grupos pequeños. El cuerpo de estos vegetales es un talo cuya complejidad es muy variable, no produciendo ni flores ni granos | Ref: ICID-Comité Español de Riegos y Drenajes, 1977
zona de influencia;"La zona de influencia es la región geográfica que se encuentra bajo el efecto de un fenómeno natural o artificial. En el caso específico de los pozos de extracción, la zona de influencia se refiere a la superficie en planta cubierta por las curvas meridianas del cono de depresión de un determinado pozo de extracción, o de una combinación de pozos, en un punto determinado. La zona de influencia para un determinado caudal puede variar con el tiempo de bombeo y el caudal de alimentación.

Ejemplo:
En el caso de un pozo de extracción ubicado en un área rural, la zona de influencia podría incluir terrenos agrícolas, bosques y áreas no urbanizadas. Sin embargo, si el pozo está ubicado en una ciudad, la zona de influencia podría incluir edificios, calles y otros elementos urbanos.

Nota:
Es importante tener en cuenta que la zona de influencia puede cambiar según el tiempo de bombeo y el";ICID-Comité Español de Riegos y Drenajes, 1977;Variants: zona de influencia | Domains: SCIENCE | Context: superficie en planta cubierta por las curvas meridianas del cono de depresión de un determinado pozo de extracción, o de una combinación de pozos, en un punto determinado. La zona de influencia para un determinado caudal puede variar con el tiempo de bombeo y el caudal de alimentación | Ref: ICID-Comité Español de Riegos y Drenajes, 1977
