term;definition;source;info_semantica
aeronomía;La aeronomía es el estudio de las propiedades físicas y químicas de la atmósfera superior, que se encuentra por encima de los 40-50 km de altura, donde las características fundamentales de la atmósfera están ligadas a procesos de disociación e ionización.;Real Academia de Ciencias Exactas, Físicas y Naturales, <i>Vocabulario científico y técnio</i>, tercera edición, Espasa, Madrid, 1996, p. 35.;Variants: aeronomía | Domains: SCIENCE | Context: Estudio de las propiedades físicas y químicas de la atmósfera superior, es decir, por encima de los 40-50 km de altura, donde las características fundamentales de la atmósfera están ligadas a procesos de disociación e ionización. | Ref: Real Academia de Ciencias Exactas, Físicas y Naturales, Vocabulario científico y técnio , tercera edición, Espasa, Madrid, 1996, p. 35.
acreción;"El término ""acreción"" puede ser definido como el proceso mediante el cual partículas suspendidas en el aire se adhieren a cuerpos fijos o volantes, como ocurre con el hielo en cables de teléfono o aviones.";Glosario multilingüe de protección civil 1990,Grupo de Trabajo Comisión Europea/Estados Miembros;Variants: acreción | Domains: SCIENCE | Context: en meteorología, el fenómeno por el que partículas suspendidas en el aire se adhieren a cuerpos fijos o volantes, como hace el hielo en los cables de teléfono o en los aviones | Ref: Glosario multilingüe de protección civil 1990,Grupo de Trabajo Comisión Europea/Estados Miembros
halófito;La definición es:;"Sobre la base de Salvador Rivas-Martínez: <i>Global Bioclimatics(Clasificación Bioclimática de la Tierra) (Versión 27-08-2004)</i> ( <a href=""http://webs.ucm.es/info/cif/book/bioc/global_bioclimatics_8.htm"" target=""_blank"">http://webs.ucm.es/info/cif/book/bioc/global_bioclimatics_8.htm</a> ) (consultado el 26.2.2018)";Variants: halófito | Domains: SCIENCE | Context: Planta que prospera en suelos salinos donde abundan las sales sódicas. | Ref: Sobre la base de Salvador Rivas-Martínez: Global Bioclimatics(Clasificación Bioclimática de la Tierra) (Versión 27-08-2004) ( http://webs.ucm.es/info/cif/book/bioc/global_bioclimatics_8.htm ) (consultado el 26.2.2018)
kelvin;La unidad de medida de temperatura termodinámica estándar, que equivale a la diferencia entre la temperatura del punto triple del agua y cero grados Celsius.;Glosario multilingüe de protección civil 1990,Grupo de Trabajo Comisión Europea/Estados Miembros;Variants: kelvin | Domains: SCIENCE | Context: Unidad estándar de temperatura termodinámica, correspondiente a la temperatura Celsius. | Ref: Glosario multilingüe de protección civil 1990,Grupo de Trabajo Comisión Europea/Estados Miembros
índice Wmin;"La definición del término ""índice Wmin"" es: El valor mínimo del índice W, que ocurre bajo condiciones de intensa humedad, cuando el grado de retención es mínimo, siendo prácticamente igual a los valores del índice phi. Es utilizado en estudios hidrológicos relacionados con la infiltración del agua en suelos.";ICID-Comité Español de Riegos y Drenajes, 1977;Variants: índice Wmin | Domains: SCIENCE | Context: en condiciones de intensa humedad, cuando el grado de retención es mínimo, los valores del índice W y del índice phi son casi idénticos y el índice W se llama Wmin | Ref: ICID-Comité Español de Riegos y Drenajes, 1977
física de la atmósfera;La física de la atmósfera es el estudio de los fenómenos físicos de la atmósfera.;Experto español en la materia.;Variants: física de la atmósfera | Domains: SCIENCE | Context: Estudio de los fenómenos físicos de la atmósfera. | Ref: Experto español en la materia.
actividad fotosintética;La actividad fotosintética es el proceso mediante el cual ciertos organismos, como las plantas, algas y algunas bacterias, convierten la luz solar en energía química, produciendo glucosa y oxígeno a través de reacciones bioquímicas que involucran clorofila y otros pigmentos fotosintéticos. Esta actividad es fundamental para la supervivencia de la vida en la Tierra, ya que proporciona la base energética para la cadena alimentaria y regula el ciclo del carbono en la biosfera.;Termcat;Variants: actividad fotosintética | Domains: SCIENCE | Context: poder, de una sustancia u organismo, de transformar la luz en energía utilizable por los organismos vivos | Ref: Termcat
espícula;"La definición del término ""espícula"" en español es:";"<div>COM-ES, basado en:</div><div>British Society for Immunology, Home &gt; Public information &gt; Bitesized immunology &gt; Pathogens and disease &gt;<a href=""https://www.immunology.org/es/public-information/bitesized-immunology/pathogens-and-disease/virus-introducci%C3%B3n"" target=""_blank""> Virus: introducción<time datetime=""5.6.2020""> (5.6.2020)</time></a><br></div>";Variants: espícula | Domains: SCIENCE | Context: Proteína (típicamente una glicoproteína) codificada por un virus e insertada en su envoltura lipídica, que participa en el reconocimiento de los receptores y en el tropismo viral. | Ref: COM-ES, basado en: British Society for Immunology, Home > Public information > Bitesized immunology > Pathogens and disease > Virus: introducción (5.6.2020)
roedor doméstico;El roedor doméstico se refiere a cualquier animal roedor que ha sido domesticado por humanos y vive bajo su cuidado. Esto incluye animales como ratones, ratas y otros miembros de la familia Muridae que han sido criados o manteniendose en cautiverio.;DO 1989 C 327/58;Variants: roedor doméstico | Domains: SCIENCE | Context: los roedores nacidos, criados y mantenidos en cautividad | Ref: DO 1989 C 327/58
isóbata de la superficie piezométrica;La isóbata de la superficie piezométrica es una curva en la superficie del terreno cuyos puntos se encuentran a igual distancia por encima de la superficie piezométrica.;ICID-Comité Español de Riegos y Drenajes, 1977;Variants: isóbata de la superficie piezométrica | Domains: SCIENCE | Context: curva en la superficie del terreno, cuyos puntos están a igual distancia por encima de la superficie piezométrica | Ref: ICID-Comité Español de Riegos y Drenajes, 1977
coeficiente de compresibilidad;El coeficiente de compresibilidad es un parámetro que describe la relación entre la disminución del volumen de una sustancia y la variación correspondiente de la presión. Se define como la razón entre la disminución del volumen por unidad de volumen y la unidad de presión.;Termcat;Variants: coeficiente de compresibilidad | Domains: SCIENCE | Context: disminución del volumen por unidad de volumen de una sustancia como resultante de un aumento de la unidad de presión | Ref: Termcat
yema;La yema es un órgano complejo de las plantas que se forma en la axila de las hojas o en la punta de una ramilla, a modo de botón escamoso, y dará lugar a hojas y flores.;COM-ES, a partir de Wikipedia.[9.4.2013];Variants: yema | Domains: SCIENCE | Context: En botánica, órgano complejo de las plantas que se forma habitualmente en la axila de las hojas (yema axilar o lateral) o en la punta de una ramilla (yema terminal), a modo de botón escamoso, y que dará lugar a hojas (foliíferas) y flores (floríferas). | Ref: COM-ES, a partir de Wikipedia.[9.4.2013]
