term;definition;source
aeronomía;Estudio de las propiedades físicas y químicas de la atmósfera superior, es decir, por encima de los 40-50 km de altura, donde las características fundamentales de la atmósfera están ligadas a procesos de disociación e ionización.;Real Academia de Ciencias Exactas, Físicas y Naturales, <i>Vocabulario científico y técnio</i>, tercera edición, Espasa, Madrid, 1996, p. 35.
acreción;en meteorología, el fenómeno por el que partículas suspendidas en el aire se adhieren a cuerpos fijos o volantes, como hace el hielo en los cables de teléfono o en los aviones;Glosario multilingüe de protección civil 1990,Grupo de Trabajo Comisión Europea/Estados Miembros
halófito;Planta que prospera en suelos salinos donde abundan las sales sódicas.;"Sobre la base de Salvador Rivas-Martínez: <i>Global Bioclimatics(Clasificación Bioclimática de la Tierra) (Versión 27-08-2004)</i> ( <a href=""http://webs.ucm.es/info/cif/book/bioc/global_bioclimatics_8.htm"" target=""_blank"">http://webs.ucm.es/info/cif/book/bioc/global_bioclimatics_8.htm</a> ) (consultado el 26.2.2018)"
kelvin;Unidad estándar de temperatura termodinámica, correspondiente a la temperatura Celsius.;Glosario multilingüe de protección civil 1990,Grupo de Trabajo Comisión Europea/Estados Miembros
índice Wmin;en condiciones de intensa humedad, cuando el grado de retención es mínimo, los valores del índice W y del índice phi son casi idénticos y el índice W se llama Wmin;ICID-Comité Español de Riegos y Drenajes, 1977
física de la atmósfera;Estudio de los fenómenos físicos de la atmósfera.;Experto español en la materia.
actividad fotosintética;poder, de una sustancia u organismo, de transformar la luz en energía utilizable por los organismos vivos;Termcat
espícula;Proteína (típicamente una glicoproteína) codificada por un virus e insertada en su envoltura lipídica, que participa en el reconocimiento de los receptores y en el tropismo viral.;"<div>COM-ES, basado en:</div><div>British Society for Immunology, Home &gt; Public information &gt; Bitesized immunology &gt; Pathogens and disease &gt;<a href=""https://www.immunology.org/es/public-information/bitesized-immunology/pathogens-and-disease/virus-introducci%C3%B3n"" target=""_blank""> Virus: introducción<time datetime=""5.6.2020""> (5.6.2020)</time></a><br></div>"
roedor doméstico;los roedores nacidos, criados y mantenidos en cautividad;DO 1989 C 327/58
isóbata de la superficie piezométrica;curva en la superficie del terreno, cuyos puntos están a igual distancia por encima de la superficie piezométrica;ICID-Comité Español de Riegos y Drenajes, 1977
coeficiente de compresibilidad;disminución del volumen por unidad de volumen de una sustancia como resultante de un aumento de la unidad de presión;Termcat
yema;En botánica, órgano complejo de las plantas que se forma habitualmente en la axila de las hojas (yema axilar o lateral) o en la punta de una ramilla (yema terminal), a modo de botón escamoso, y que dará lugar a hojas (foliíferas) y flores (floríferas).;COM-ES, a partir de Wikipedia.[9.4.2013]
valor de la bibliografía;En el ámbito científico, valor aceptado de una medición constante o experimental que se puede encontrar en la bibliografía especializada y que es necesario para realizar cálculos experimentales o teóricos en el laboratorio.;"Consejo-ES, a partir de:<div>-Council-EN</div><div>- Reference.com &gt;<a href=""https://www.reference.com/science/literature-value-chemistry-ae1d07a4222e23a9"" target=""_blank"">What Is a “literature Value” in Chemistry?</a><time datetime=""17.4.2023""> (17.4.2023)</time></div>"
liofilizado;"Proceso de eliminación de agua mediante sublimación a presión reducida; los materiales que se van a liofilizar primero se congelan y luego se colocan en una cámara en la cual se hace un vacío parcial. Así se evitan los daños químicos por la desecación en calor.";Bacteriología general: principios y prácticas de laboratorio. Evelyn Rodríguez Cavallini. Editorial Universidad de Costa Rica, San José (Costa Rica), 2005.
agentes estimulantes;agentes activos que producen cambios definidos en la planta;ICID-Comité Español de Riegos y Drenajes, 1977
talófitas (criptógamas);una de las principales divisiones del orden vegetal. Comprende los hongos, las algas, las bacterias y numerosos grupos pequeños. El cuerpo de estos vegetales es un talo cuya complejidad es muy variable, no produciendo ni flores ni granos;ICID-Comité Español de Riegos y Drenajes, 1977
zona de influencia;superficie en planta cubierta por las curvas meridianas del cono de depresión de un determinado pozo de extracción, o de una combinación de pozos, en un punto determinado. La zona de influencia para un determinado caudal puede variar con el tiempo de bombeo y el caudal de alimentación;ICID-Comité Español de Riegos y Drenajes, 1977
tafonomía;Estudio de los procesos de fosilización y de la formación de los yacimientos de fósiles.;Fernández-López S., 1995. Taphonomie et interprétation des paléoenvironnements. Geobios, M. S. 18, 137-154. Explorador de la Gravedad y de la Circulación Oceánica.;Satélite cuyo objetivo es el estudio detallado del campo de gravedad terrestre y el establecimiento preciso, casi milimétrico (su margen de error ha sido fijado en menos de dos centímetros), de la superficie gravitatoria de referencia de nuestro planeta, es decir, la geoide de la Tierra.;"Artículo «El ojo que verá el interior de la tierra», ABC, 26/08/2008. Disponible en <a href=""http://www.fecyt.es/fecyt/detalle.do?elegidaSiguiente=&amp;elegidaNivel3=&amp;elegidaNivel2=;SalaPrensa;noticias32cientificas&amp;elegidaNivel1=;SalaPrensa&amp;tc=noticias_cientificas&amp;id=174690"" target=""_blank"">http://www.fecyt.es/fecyt/detalle.do?elegidaSiguiente=&amp;elegidaNivel3=&amp;elegidaNivel2=;SalaPrensa;noticias32cientificas&amp;elegidaNivel1=;SalaPrensa&amp;tc=noticias_cientificas&amp;id=174690</a>"
índice de productividad de la vegetación;Indicador que evalúa el estado de una masa vegetal comparando el valor actual del NDVI con su valor promedio durante un periodo dado.;"COM-ES, basado en:  <br>Copernicus Global Land Service &gt; Products &gt; Vegetation &gt; Vegetation Productivity Index, <a href=""https://land.copernicus.eu/global/products/vpi"" target=""_blank"">https://land.copernicus.eu/global/products/vpi</a> [24.1.2019]"
función objetiva;en un programa no lineal, función, que expresa condiciones dadas para un sistema, que se quiere hacer mínima sometida a determinados vínculos;J.A. Alonso y J.M. Otero, Ingenieros
humedad relativa;razón que guarda la presión real de vapor de un espacio, a una temperatura determinada, con la presión de saturación que correspondería a esa misma temperatura;Glosario multilingüe de protección civil 1990,Grupo de Trabajo Comisión Europea/Estados Miembros
efecto determinista;efecto biológico de la radiación para el que generalmente existe un nivel umbral de dosis por encima del cual la gravedad del efecto es mayor cuanto más elevada es la dosis;Glosario CE-Garantía de calidad y protección radiológica en radiodiagnóstico, 1999
clinómetro;instrumento para medir ángulos;Gran enciclopedia Larousse, 1988
índice de refracción;Relación entre la velocidad de la luz en el vacío y la velocidad de la luz en un medio determinado, según la ecuación: n=c<sub>0/c</sub>;Diccionario de química física. J. M. Costa. Ediciones Díaz de Santos, Barcelona (España), 2005.
mancha solar;porción relativamente fría de la fotosfera del Sol. Se presenta en forma de mancha obscura y generalmente esta asociada con tormentas magnéticas en la Tierra que afectan las radiocomunicaciones;Glos prov telec
cuerpo celeste;Cualquier cuerpo exterior a la Tierra, lo cual incluye, por extensión, cualquier satélite artificial, sonda o vehículo espacial.;«Cuerpo celeste», Real Academia de Ciencias Exactas, Físicas y Naturales, <i>Vocabulario científico y técnico</i>, tercera edición, Espasa, Madrid, 1996, p. 275.
espectro visible;dominio espectral de radiación electromagnética con longitudes de onda comprendidas entre los límites de 380 y 780 nanómetros (nm), y que comprende los siete colores del arco iris: violado, añil, azul, verde, amarillo, anaranjado y rojo;CCIR I 681
ola;alteración de la línea de superficie del mar causada por vientos locales y representada numéricamente mediante la escala Douglas;Glosario multilingüe de protección civil 1990,Grupo de Trabajo Comisión Europea/Estados Miembros
angélica de los bosques;"planta de hasta 2 m de altura con tallos fistulosos y hojas que se consumen como verdura, y con un fruto que tiene propiedades insecticidas; se localiza en Europa, Oeste de Asia y Norteamérica";TERMCAT
teoría del control;En los campos de la ingeniería y las matemáticas, teoría que se ocupa del comportamiento de los sistemas dinámicos.;"Consejo-ES, a partir de:<div>Simrock,, S.: <i><a href=""https://cds.cern.ch/record/1100534/files/p73.pdf"" target=""_blank"">Control theory<time datetime=""6.7.2021""> (6.7.2021)</time></a></i></div>"
cuerpo negro;cuerpo ideal que absorbe toda la radiación incidente, sin reflejar nada de ella;TERMCAT
VPI;Indicador que evalúa el estado de una masa vegetal comparando el valor actual del NDVI con su valor promedio durante un periodo dado.;"COM-ES, basado en: <br>Copernicus Global Land Service &gt; Products &gt; Vegetation &gt; Vegetation Productivity Index, <a href=""https://land.copernicus.eu/global/products/vpi"" target=""_blank"">https://land.copernicus.eu/global/products/vpi</a> [24.1.2019]"
entrelazamiento;Fenómeno cuántico  en el cual los estados cuánticos de dos o más objetos se deben describir  mediante un estado único que involucra a todos los objetos del sistema, aun  cuando los objetos estén separados espacialmente, lo que lleva a  correlaciones entre las propiedades físicas observables.;"<div>COM-ES, basado en_</div><div>Wikipedia, <a href=""https://es.wikipedia.org/wiki/Entrelazamiento_cu%C3%A1ntico"" target=""_blank"">«entrelazamiento cuántico»<time datetime=""2.4.2020""> (2.4.2020)</time></a><br></div>"
selección con ayuda de marcadores;Técnica moderna de mejora vegetal que no implica la transferencia de secuencias genéticas aisladas, como la ingeniería genética, sino que ofrece herramientas para seleccionar de manera dirigida el material vegetal existente, facilitando el proceso de mejora vegetal.;"Greenpeace, Selección asistida por marcadores: una biotecnología no invasiva alternativa a la ingeniería genética (2009) <a href=""http://www.greenpeace.org/espana/Global/espana/report/other/selecci-n-asistida-por-marcado.pdf"" target=""_blank"">http://www.greenpeace.org/espana/Global/espana/report/other/selecci-n-asistida-por-marcado.pdf</a> [9.5.2016]"
organismos coliformes;grupo de bacterias aerobias y facultativamente anaerobias, Gram-negativas, no esporulantes, fermentadoras de lactosa y habitantes típicas del intestino grueso humano y animal;Dicc. de Términos Medioambientales, Área Editorial, S.A., Diario Expansión, Madrid, 1992
byssus;filamentos que sirven de órgano de fijación a ciertos moluscos del género Pinna;Arancel Aduanero Notex CCD 50.00
esfera celeste;Esfera ideal, concéntrica con la terráquea, y en la cual se mueven aparentemente los astros.;Diccionario de la Real Academia Española (DRAE), XXIIª edición
limícola;que vive en el limo, barro o lodo;DRAE, 1995
amento;inflorescencia racimosa formada por flores unisexuales, a menujdo sin perianto o muy reducido, dispuestas sobre un eje generalmente de péndulo y colgante;"<a href=""http://www.unex.es/botanica/queplantaes/glosario.htm,"" target=""_blank"">http://www.unex.es/botanica/queplantaes/glosario.htm,</a> 30.04.2003"
detección fotométrica;Detección basada en una propiedad del soluto como es la absorbancia en el ultravioleta.;Principios de análisis instrumental. Douglas A. Skoog, F. James Holler, Timothy A. Nieman. McGraw-Hill, quinta edición, Madrid (España), 2001.
hidrastis;Especie de la familia Ranunculaceae, empleada en fitoterapia como hemostática (eficaz para detener una hemorragia).;Consejo Superior de Investigaciones Científicas, CSIC (22-10-2011)
física atmosférica;Estudio de los fenómenos físicos de la atmósfera.;Experto español en la materia.
resistencia específica a la tracción;Resistencia a la tracción en pascales, equivalente a N/m<sup>2</sup> divididos por el peso específico en N/m<sup>3</sup>, medido a una temperatura de (296 ± 2) K ((23 ± 2) °C) y una humedad relativa del (50 ± 5)%.;"Reglamento (CE) n.º 428/2009 del Consejo, de 5 de mayo de 2009, por el que se establece un régimen comunitario de control de las exportaciones, la transferencia, el corretaje y el tránsito de productos de doble uso, <a href=""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32009R0428"" target=""_blank"">CELEX:32009R0428/ES</a>"
fotogrametría;conjunto de métodos y de operaciones que permiten la confección de mapas y planos, incluida la determinación de la tercera dimensión, a partir de fotografías estereoscópicas;PANAREDA, J.M. et al..Diccionari de cartografía, 1994
sarracenia purpúrea;Planta carnívora, perenne del Canadá con hojas radicales teñidas de rojo en los nervios y en los bordes, ahuecadas en forma de cucurucho, y flores grandes, purpúreas por fuera y verdes por dentro.;"Compendio de la flora española. Botánica descriptiva. Blas Lázaro e Ibiza. Tomo 2, pag 325. <a href=""http://bibdigital.rjb.csic.es/spa/Libro.php?Libro=694&amp;Pagina=1"" target=""_blank"">http://bibdigital.rjb.csic.es/spa/Libro.php?Libro=694&amp;Pagina=1</a> (22-10-2011)"
magnitud física;toda propiedad o dimensión de un cuerpo que puede ser medida, como longitud, peso, viscosidad, masa, temperatura, volumen, etc;ICID-Comité Español de Riegos y Drenajes, 1977
fracción de cobertura vegetal;Fracción de la superficie del suelo ocupada por la vegetación.;"COM-ES, basado en: <br>«Procesado de imágenes de satélite: obtención de magnitudes biofísicas de la vegetación», Poveda Sánchez-Guerrero, I., González Martín, I., Díaz San Andrés, A., Balbontín Nesvara, C. <p>Universidad de Castilla La Mancha - INSTITUTO DE DESARROLLO REGIONAL <a href=""http://www.teledeteccionysig.es/formacion/proyectos/Proyecto3.pdf"" target=""_blank"">http://www.teledeteccionysig.es/formacion/proyectos/Proyecto3.pdf</a> [25.1.2019]</p>"
célula convectiva;Masa de aire en el interior de la cual se da un proceso convectivo sin que se produzca mezcla apreciable con las masas vecinas.;"M. C. Llasat y M. Llasat-Botija: «Diccionario de riesgos naturales», versión preliminar (en fase de revisión por expertos), Grupo de Análisis de Situaciones Meteorológicas Adversas, Departamento de Astronomía y Meteorología, Universidad de Barcelona <a href=""http://gama.am.ub.es/edrinacas/diccionario/diccionario.swf"" target=""_blank"">http://gama.am.ub.es/edrinacas/diccionario/diccionario.swf</a> (31.3.2009)"
autoridad administrativa;una autoridad administrativa nacional designada de acuerdo con el Artículo IX;DOCE L 384,31.12.1982, p. 7
pez de agua dulce;Animal acuático con branquias que habita en ríos, arroyos, lagos, lagunas o aguas estancadas dulces con un grado de salinidad inferior a 0,5 %.;"Parlamento-ES, apartir de: <div>- García, C.: <a href=""https://magicanaturaleza.com/c-peces/peces-de-agua-dulce/"" target=""_blank"">«Peces de agua dulce: definición, características, tipos y más»<time datetime=""30.6.2020""> (30.6.2020)</time></a>, <i>Mágica Naturaleza</i></div><div>-Pescaderías Coruñesas: <a href=""https://www.pescaderiascorunesas.es/clasificacion/por-tipo-de-agua/pescado-de-agua-dulce"" target=""_blank"">«Pescado de agua dulce»<time datetime=""30.6.2020""> (30.6.2020)</time></a><br></div>"
obtención de imágenes cuánticas;Obtención de imágenes  de un objeto mediante procedimientos basados en las propiedades cuánticas de  los fotones, en particular el entrelazamiento cuántico.;"<div>COM-ES, basado en:</div><div>Naukas, <a href=""https://francis.naukas.com/2013/07/07/francis-en-eureka-imagenes-fantasmas-utilizando-el-entrelazamiento-entre-fotones/"" target=""_blank"">«Francis en ¡Eureka!: Imágenes ""fantasmas"" utilizando el entrelazamiento entre fotones»<time datetime=""7.4.2020""> (7.4.2020)</time></a>, julio de 2013<br></div>"
planetología;"""Las ciencias planetarias, también llamadas planetología o astronomía planetaria, son el conjunto de materias interdisciplinares implicadas en el estudio de los planetas, o sistemas planetarios, incluyendo al Sistema Solar, de cuyos planetas se tienen más datos, por lo que sus modelos son más elaborados, pero también a los planetas extrasolares. Las ciencias planetarias estudian objetos que van desde el tamaño de un meteorito hasta los gigantes de gas del tamaño de varias veces el planeta Júpiter.";"Wikipedia <a href=""http://es.wikipedia.org/wiki/Ciencias_planetarias"" target=""_blank"">http://es.wikipedia.org/wiki/Ciencias_planetarias</a>"
amapolas;Plantas herbáceas, con látex, el cual a menudo tiene color amarillo o blanco. Hojas alternas, simples o compuestas. Inflorescencia cimosa, a menudo umbeliforme o flores aisladas. Flores hermafroditas, actinomorfas. Cáliz con 2 sépalos libres. Corola con 4 pétalos libres. Numerosos estambres. Gineceo con ovario súpero, con 2 carpelos. Fruto en cápsula poricida o valvicida.;"Herbario Virtual del Mediterráneo Occidental. <a href=""http://herbarivirtual.uib.es/cas-ub/familia/2182.html"" target=""_blank"">http://herbarivirtual.uib.es/cas-ub/familia/2182.html</a> (22-10-2011)"
genómica comparativa;Comparación entre secuencias génicas de diversas especies.;"Instituto de Salud Carlos III, Área de Bioinformática y Salud Pública, Genómica &lt; <a href=""http://biotic.isciii.es/"" target=""_blank"">http://biotic.isciii.es/</a> &gt;"
radiación cósmica de fondo;Radiación electromagnética procedente del universo primigenio, y que data de unos 300 000 años después del estado inicial del universo.;"«Radiación de fondo de microondas», Centro Virtual Cervantes, <i>100 conceptos básicos de astronomía</i>, <a href=""https://cvc.cervantes.es/ciencia/astronomia/100_conceptos_basicos/conceptos/r1.htm#radiacion_fondo_microondas"" target=""_blank"">https://cvc.cervantes.es/ciencia/astronomia/100_conceptos_basicos/conceptos/r1.htm#radiacion_fondo_microondas</a> [18.01.2019]"
ciclo de manchas solares;el ciclo de las manchas solares es el periodo más o menos undecenal comprendido entre dos mínimos de la actividad solar;DANTERM 15031
cocristal;Material cristalino constituido por dos o más especies moleculares, (un compuesto orgánico y un coformador o excipiente);"<a href=""http://www.apte.org/es/noticia-parque1318.cfm"" target=""_blank"">http://www.apte.org/es/noticia-parque1318.cfm</a>"
falsos soles;Nombre dado a los parahelios, paranthelios y anthelios cuando son particularmente brillantes;"Glosario meteorlológico, Dirección General de Protección Civil y Emergencias (Ministerio del Interior), España: <a href=""http://www.proteccioncivil.org/vademecum/vdm0254.htm"" target=""_blank"">http://www.proteccioncivil.org/vademecum/vdm0254.htm</a>"
coherencia;Adecuación de los datos para ser combinados con fiabilidad en diferentes formas y para diversos usos.;"Reglamento (CE) 223/2009 del Parlamento Europeo y del Consejo, relativo a la estadística europea y por el que se deroga el Reglamento (CE, Euratom) 1101/2008 relativo a la transmisión a la Oficina Estadística de las Comunidades Europeas de las informaciones amparadas por el secreto estadístico (…) (DO L 87/09) <a href=""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32009R0223"" target=""_blank"">CELEX:32009R0223/ES</a>"
partícula cósmica extragaláctica;partícula que proviene de una radiación cósmica extragaláctica;Termcat
aerangis;Género de orquídeas epífitas que comprende alrededor de setenta especies que se distribuyen en África oriental y las islas del océano Índico.;Consejo Superior de Investigaciones Científicas, CSIC (22-10-2011)
tasa de absorción diferencial;Coeficiente que mide la diferencia entre los rayos X absorbidos fotoeléctricamente y los no absorbidos en absoluto, lo que produce la imagen radiográfica;"Diccionario médico de la Universidad José Carlos Mariátegui, <a href=""http://www.ujcm.edu.pe/diccionario/buscar.php?mode=&amp;meta=leter&amp;dic=medico&amp;q=absorción%20diferencial"" target=""_blank"">http://www.ujcm.edu.pe/diccionario/buscar.php?mode=&amp;meta=leter&amp;dic=medico&amp;q=absorción%20diferencial</a>"
periodo de semidesintegración;el tiempo requerido para que la mitad de una sustancia radiactiva, en este caso radiocarbono que tiene un sistema vivo o un ecosistema, sea eliminada o desintegrada por procesos naturales;Kaennel/Schweingruber,Multilingual Glossary of Dendrochronology,WSL/Haupt,1995
sistema inteligente;Sistema con capacidad de percibir contextos de acción, de actuar y de asociar determinados contextos a determinadas acciones.;"Parlamento-ES, a partir de: Bryson, J. J.: «<a href=""https://www.bbvaopenmind.com/articulos/la-ultima-decada-y-el-futuro-del-impacto-de-la-ia-en-la-sociedad/ "" target=""_blank"">La última década y el futuro del impacto de la IA en la sociedad<time datetime=""7.9.2020""> (7.9.2020)</time></a>» en <i>¿Hacia una nueva Ilustración? Una década trascendente</i>, Madrid, BBVA, 2018."
monoico;Organismo en el que las estructuras reproductoras, tanto masculinas como femeninas, se encuentran en el mismo individuo.;"Enciclopedia Libre Universal en Español, <a href=""http://enciclopedia.us.es/index.php/Monoico"" target=""_blank"">http://enciclopedia.us.es/index.php/Monoico</a> [17.10.2012]"
botón;En botánica, órgano complejo de las plantas que se forma habitualmente en la axila de las hojas (yema axilar o lateral) o en la punta de una ramilla (yema terminal), a modo de botón escamoso, y que dará lugar a hojas (foliíferas) y flores (floríferas).;COM-ES, a partir de Wikipedia.[9.4.2013]
retrodifusión;difusión de una radiación por un material con ángulos mayores de 90º con respecto a la dirección inicial;Glosario CE-Garantía de calidad y protección radiológica en radiodiagnóstico, 1999
ciclo biogeoquímico;Modo en el que los átomos de un elemento fundamental para la vida (como el carbono, el nitrógeno o el fósforo) se transfieren desde los cuerpos de organismos vivos hasta el entorno físico y retornan desde el entorno físico hasta los cuerpos de organismos vivos.;"COM-ES a partir de la definición del Glosario de la FAO sobre términos de servicios de ecosistemas en la agricultura, 2013, Portal terminológico de la FAO [30.10.2017]: <br> <a href=""http://www.fao.org/faoterm/es/?defaultCollId=21"" target=""_blank"">http://www.fao.org/faoterm/es/?defaultCollId=21</a>"
gobernanza del riesgo;Conjunto de componentes políticos, sociales, legales, científicos y éticos que justifican la operación razonablemente segura de instalaciones que comportan riesgo. Ref.: Glosario de terminología de la Sociedad Nuclear Española;"Sodiedad Nuclear Española <a href=""http://www.sne.es/sne/"" target=""_blank"">http://www.sne.es/sne/</a>"
orquídeas;Género de orquídeas epífitas que comprende alrededor de setenta especies que se distribuyen en África oriental y las islas del océano Índico.;Consejo Superior de Investigaciones Científicas, CSIC (22-10-2011)
